,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,25,0.1,"[136, 174, 77, 393]",0.6714304041051956,0.6885512794678241,0.8289916862076316,0.7522729695824094
1,25,0.2,"[155, 155, 91, 379]",0.6804618345093008,0.7050517822371759,0.8063525900660841,0.7523072302182646
2,25,0.3,"[152, 158, 92, 378]",0.6818216805644643,0.7058490871016178,0.808015348539757,0.7534841323505135
3,25,0.4,"[0, 310, 2, 468]",0.6021295702373315,0.6020491972327207,0.999573651673417,0.7514784267254424
4,25,0.5,"[0, 310, 0, 470]",0.6018216805644643,0.6018114656378659,1.0,0.7514136066274885
5,50,0.1,"[155, 155, 90, 380]",0.6804618345093008,0.704959933387303,0.8066083990620336,0.7523662927701
6,50,0.2,"[160, 150, 94, 376]",0.6840795381654906,0.7115850488243463,0.7988062246855681,0.7526769402518638
7,50,0.3,"[162, 148, 97, 373]",0.6845670301475304,0.7128268495798384,0.7968876572159455,0.7525164928977114
8,50,0.4,"[306, 4, 445, 25]",0.4315843489416292,0.8736677718620053,0.06484758047324664,0.12073290201527183
9,50,0.5,"[310, 0, 470, 0]",0.39807568954457984,0.0,0.0,0.0
10,75,0.1,"[155, 155, 94, 376]",0.6821808851828095,0.7087992112176777,0.8009379663184821,0.752056539033842
11,75,0.2,"[162, 148, 97, 373]",0.6845413726747915,0.7127185550261868,0.7971008313792368,0.752551154614389
12,75,0.3,"[165, 145, 94, 376]",0.6877485567671584,0.7157194983891083,0.798166702195694,0.7546971166106122
13,75,0.4,"[1, 309, 2, 468]",0.603592046183451,0.6030059364799774,0.9989767640162013,0.752054195402252
14,75,0.5,"[0, 310, 0, 470]",0.601975625400898,0.6019041288410761,1.0,0.7514858317003794
