,N_Estimators,Max_Depth,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,200,5,"[148, 162, 85, 385]","[138, 173, 70, 399]","[150, 161, 83, 386]","[127, 184, 69, 400]","[151, 160, 77, 392]","[143, 167, 75, 394]",[1423 1681  787 3904],[1427 1677  795 3896],[1444 1660  801 3890],[1436 1668  800 3891],[1452 1652  797 3894]
1,200,7,"[156, 154, 94, 376]","[148, 163, 79, 390]","[166, 145, 89, 380]","[156, 155, 81, 388]","[162, 149, 94, 375]","[154, 156, 90, 379]",[1569 1535  892 3799],[1587 1517  866 3825],[1587 1517  877 3814],[1580 1524  889 3802],[1585 1519  880 3811]
2,200,10,"[161, 149, 100, 370]","[160, 151, 92, 377]","[180, 131, 94, 375]","[167, 144, 86, 383]","[174, 137, 89, 380]","[158, 152, 94, 375]",[1653 1451  934 3757],[1631 1473  899 3792],[1604 1500  924 3767],[1642 1462  910 3781],[1628 1476  912 3779]
3,300,5,"[151, 159, 87, 383]","[139, 172, 72, 397]","[150, 161, 80, 389]","[134, 177, 69, 400]","[147, 164, 75, 394]","[140, 170, 72, 397]",[1431 1673  783 3908],[1439 1665  792 3899],[1436 1668  801 3890],[1440 1664  805 3886],[1451 1653  798 3893]
4,300,7,"[161, 149, 95, 375]","[153, 158, 78, 391]","[167, 144, 90, 379]","[154, 157, 82, 387]","[161, 150, 89, 380]","[152, 158, 89, 380]",[1579 1525  887 3804],[1592 1512  865 3826],[1588 1516  880 3811],[1581 1523  887 3804],[1574 1530  872 3819]
5,300,10,"[162, 148, 99, 371]","[161, 150, 86, 383]","[176, 135, 93, 376]","[165, 146, 87, 382]","[174, 137, 89, 380]","[164, 146, 92, 377]",[1654 1450  922 3769],[1630 1474  890 3801],[1612 1492  914 3777],[1647 1457  913 3778],[1619 1485  909 3782]
6,400,5,"[150, 160, 86, 384]","[140, 171, 73, 396]","[149, 162, 81, 388]","[137, 174, 69, 400]","[148, 163, 73, 396]","[142, 168, 75, 394]",[1438 1666  789 3902],[1435 1669  783 3908],[1438 1666  798 3893],[1447 1657  806 3885],[1451 1653  796 3895]
7,400,7,"[160, 150, 95, 375]","[151, 160, 81, 388]","[167, 144, 90, 379]","[156, 155, 81, 388]","[165, 146, 87, 382]","[154, 156, 92, 377]",[1584 1520  887 3804],[1586 1518  863 3828],[1586 1518  878 3813],[1578 1526  887 3804],[1585 1519  870 3821]
8,400,10,"[161, 149, 97, 373]","[159, 152, 87, 382]","[175, 136, 96, 373]","[165, 146, 84, 385]","[171, 140, 91, 378]","[164, 146, 90, 379]",[1642 1462  928 3763],[1625 1479  892 3799],[1610 1494  910 3781],[1648 1456  908 3783],[1626 1478  918 3773]
9,500,5,"[150, 160, 86, 384]","[141, 170, 76, 393]","[149, 162, 81, 388]","[138, 173, 71, 398]","[148, 163, 74, 395]","[140, 170, 76, 393]",[1441 1663  800 3891],[1441 1663  782 3909],[1431 1673  803 3888],[1447 1657  809 3882],[1456 1648  800 3891]
10,500,7,"[160, 150, 94, 376]","[152, 159, 81, 388]","[169, 142, 89, 380]","[156, 155, 81, 388]","[166, 145, 90, 379]","[154, 156, 90, 379]",[1588 1516  887 3804],[1586 1518  864 3827],[1584 1520  871 3820],[1575 1529  890 3801],[1593 1511  875 3816]
11,500,10,"[158, 152, 97, 373]","[158, 153, 87, 382]","[176, 135, 94, 375]","[164, 147, 86, 383]","[169, 142, 93, 376]","[166, 144, 90, 379]",[1641 1463  928 3763],[1633 1471  887 3804],[1605 1499  910 3781],[1641 1463  909 3782],[1633 1471  920 3771]
