,N_Estimators,Max_Depth,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,300,5,50,"[168, 142, 118, 352]",0.6701731879409878,0.708003225968666,0.7691750159880624,0.7373019597622309
1,300,5,100,"[168, 142, 118, 352]",0.6695317511225143,0.7067458091855053,0.7706672351311021,0.7372986331366433
2,300,5,150,"[168, 142, 118, 352]",0.6698396407953817,0.7076473542943844,0.7691750159880623,0.7371045372558672
3,300,10,50,"[167, 143, 118, 352]",0.6667864015394483,0.7089730941228833,0.7570667235131102,0.7322181974499973
4,300,10,100,"[167, 143, 118, 352]",0.6670942912123157,0.7092634677422108,0.7571946280110851,0.732434817145094
5,300,10,150,"[167, 143, 118, 352]",0.666914688903143,0.7090830156938945,0.7571519931784269,0.732318258949398
6,300,15,50,"[167, 143, 118, 352]",0.6649134060295061,0.7070469207821494,0.756725644851844,0.7310316417520092
7,300,15,100,"[167, 143, 118, 352]",0.6649903784477229,0.7070823373228581,0.7568535493498187,0.7311117842109295
8,300,15,150,"[167, 143, 118, 352]",0.6647851186658114,0.7068908161139522,0.7567682796845021,0.7309689311315337
9,500,5,50,"[168, 142, 118, 352]",0.670096215522771,0.7079997827671105,0.7689618418247709,0.7372023114775178
10,500,5,100,"[168, 142, 118, 352]",0.669660038486209,0.7068977475965498,0.7706246002984438,0.7373649356856739
11,500,5,150,"[168, 142, 118, 352]",0.6698652982681207,0.7078003747452772,0.768833937326796,0.7370360801325694
12,500,10,50,"[167, 143, 118, 352]",0.6667094291212315,0.7089053343828245,0.757024088680452,0.7321624052962015
13,500,10,100,"[167, 143, 118, 352]",0.6670942912123157,0.7092801849708448,0.7571519931784267,0.73242336700518
14,500,10,150,"[167, 143, 118, 352]",0.666940346375882,0.7090947932788755,0.7571946280110852,0.7323441319866069
15,500,15,50,"[167, 143, 118, 352]",0.6648877485567672,0.7070683003622951,0.7565977403538691,0.7309839214927158
16,500,15,100,"[167, 143, 118, 352]",0.6651186658114175,0.7071570071359632,0.7570240886804519,0.7312305330657745
17,500,15,150,"[167, 143, 118, 352]",0.6647851186658114,0.7068908161139522,0.7567682796845021,0.7309689311315337
