,Max_depth,N_estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,3,50,"[162, 148, 102, 368]","[151, 160, 91, 378]","[168, 143, 90, 379]","[148, 163, 74, 395]","[173, 138, 95, 374]","[156, 154, 96, 373]",[1590 1514  937 3754],[1584 1520  945 3746],[1590 1514  930 3761],[1593 1511  926 3765],[1607 1497  925 3766]
1,3,75,"[167, 143, 101, 369]","[154, 157, 92, 377]","[180, 131, 88, 381]","[151, 160, 76, 393]","[172, 139, 93, 376]","[156, 154, 94, 375]",[1616 1488  932 3759],[1616 1488  937 3754],[1597 1507  938 3753],[1609 1495  921 3770],[1641 1463  938 3753]
2,3,100,"[167, 143, 103, 367]","[156, 155, 87, 382]","[182, 129, 90, 379]","[163, 148, 87, 382]","[176, 135, 94, 375]","[158, 152, 96, 373]",[1649 1455  947 3744],[1619 1485  955 3736],[1619 1485  935 3756],[1648 1456  935 3756],[1652 1452  941 3750]
3,3,125,"[165, 145, 101, 369]","[155, 156, 87, 382]","[185, 126, 90, 379]","[165, 146, 83, 386]","[176, 135, 94, 375]","[158, 152, 95, 374]",[1648 1456  942 3749],[1633 1471  953 3738],[1647 1457  933 3758],[1658 1446  947 3744],[1668 1436  949 3742]
4,3,150,"[166, 144, 103, 367]","[155, 156, 85, 384]","[184, 127, 90, 379]","[164, 147, 86, 383]","[184, 127, 94, 375]","[157, 153, 99, 370]",[1662 1442  952 3739],[1645 1459  954 3737],[1652 1452  947 3744],[1662 1442  951 3740],[1676 1428  960 3731]
5,4,50,"[161, 149, 98, 372]","[151, 160, 92, 377]","[171, 140, 90, 379]","[153, 158, 79, 390]","[178, 133, 96, 373]","[157, 153, 98, 371]",[1621 1483  945 3746],[1612 1492  949 3742],[1625 1479  961 3730],[1615 1489  959 3732],[1632 1472  956 3735]
6,4,75,"[163, 147, 105, 365]","[156, 155, 89, 380]","[172, 139, 89, 380]","[162, 149, 84, 385]","[177, 134, 92, 377]","[157, 153, 100, 369]",[1635 1469  950 3741],[1629 1475  952 3739],[1636 1468  940 3751],[1645 1459  961 3730],[1646 1458  948 3743]
7,4,100,"[165, 145, 103, 367]","[156, 155, 87, 382]","[180, 131, 91, 378]","[164, 147, 86, 383]","[178, 133, 89, 380]","[158, 152, 100, 369]",[1652 1452  948 3743],[1644 1460  962 3729],[1649 1455  952 3739],[1645 1459  973 3718],[1658 1446  959 3732]
8,4,125,"[166, 144, 106, 364]","[155, 156, 87, 382]","[181, 130, 91, 378]","[167, 144, 86, 383]","[178, 133, 94, 375]","[160, 150, 98, 371]",[1664 1440  953 3738],[1648 1456  950 3741],[1646 1458  953 3738],[1667 1437  969 3722],[1660 1444  961 3730]
9,4,150,"[162, 148, 106, 364]","[159, 152, 87, 382]","[179, 132, 91, 378]","[164, 147, 86, 383]","[177, 134, 92, 377]","[162, 148, 99, 370]",[1661 1443  967 3724],[1646 1458  963 3728],[1649 1455  949 3742],[1675 1429  971 3720],[1670 1434  962 3729]
10,5,50,"[162, 148, 105, 365]","[155, 156, 93, 376]","[174, 137, 95, 374]","[153, 158, 79, 390]","[175, 136, 96, 373]","[158, 152, 97, 372]",[1618 1486  957 3734],[1618 1486  982 3709],[1625 1479  967 3724],[1647 1457  984 3707],[1659 1445  964 3727]
11,5,75,"[166, 144, 101, 369]","[155, 156, 91, 378]","[179, 132, 94, 375]","[167, 144, 82, 387]","[175, 136, 98, 371]","[157, 153, 99, 370]",[1642 1462  960 3731],[1625 1479  979 3712],[1644 1460  945 3746],[1666 1438  968 3723],[1654 1450  970 3721]
12,5,100,"[167, 143, 103, 367]","[160, 151, 93, 376]","[183, 128, 95, 374]","[169, 142, 84, 385]","[174, 137, 97, 372]","[156, 154, 95, 374]",[1661 1443  967 3724],[1645 1459  986 3705],[1642 1462  951 3740],[1675 1429  969 3722],[1674 1430  985 3706]
13,5,125,"[162, 148, 103, 367]","[164, 147, 90, 379]","[183, 128, 97, 372]","[170, 141, 84, 385]","[170, 141, 97, 372]","[159, 151, 98, 371]",[1658 1446  967 3724],[1651 1453  978 3713],[1652 1452  967 3724],[1678 1426  967 3724],[1687 1417  980 3711]
14,5,150,"[165, 145, 108, 362]","[162, 149, 89, 380]","[183, 128, 98, 371]","[171, 140, 87, 382]","[169, 142, 94, 375]","[161, 149, 98, 371]",[1665 1439  967 3724],[1653 1451  984 3707],[1643 1461  974 3717],[1678 1426  979 3712],[1699 1405  991 3700]
15,6,50,"[163, 147, 104, 366]","[156, 155, 93, 376]","[172, 139, 98, 371]","[161, 150, 86, 383]","[179, 132, 105, 364]","[154, 156, 97, 372]",[1635 1469  998 3693],[1638 1466 1002 3689],[1647 1457  991 3700],[1672 1432  984 3707],[1675 1429 1013 3678]
16,6,75,"[169, 141, 105, 365]","[164, 147, 91, 378]","[175, 136, 97, 372]","[168, 143, 90, 379]","[178, 133, 105, 364]","[157, 153, 99, 370]",[1658 1446  998 3693],[1652 1452  989 3702],[1642 1462 1001 3690],[1685 1419  988 3703],[1666 1438  998 3693]
17,6,100,"[169, 141, 107, 363]","[168, 143, 88, 381]","[179, 132, 101, 368]","[175, 136, 88, 381]","[170, 141, 98, 371]","[159, 151, 103, 366]",[1668 1436 1005 3686],[1664 1440 1004 3687],[1654 1450  998 3693],[1700 1404  979 3712],[1664 1440  997 3694]
18,6,125,"[166, 144, 107, 363]","[164, 147, 87, 382]","[176, 135, 108, 361]","[174, 137, 91, 378]","[168, 143, 96, 373]","[161, 149, 103, 366]",[1652 1452 1010 3681],[1666 1438  994 3697],[1657 1447 1008 3683],[1703 1401  996 3695],[1677 1427 1006 3685]
19,6,150,"[168, 142, 113, 357]","[160, 151, 89, 380]","[173, 138, 105, 364]","[172, 139, 91, 378]","[168, 143, 96, 373]","[158, 152, 102, 367]",[1642 1462 1013 3678],[1653 1451 1005 3686],[1664 1440 1005 3686],[1710 1394 1004 3687],[1677 1427 1015 3676]
20,7,50,"[165, 145, 110, 360]","[156, 155, 100, 369]","[173, 138, 103, 366]","[163, 148, 84, 385]","[180, 131, 108, 361]","[155, 155, 94, 375]",[1650 1454 1017 3674],[1627 1477 1015 3676],[1649 1455  997 3694],[1676 1428 1013 3678],[1690 1414 1031 3660]
21,7,75,"[162, 148, 110, 360]","[157, 154, 97, 372]","[175, 136, 98, 371]","[169, 142, 84, 385]","[179, 132, 101, 368]","[157, 153, 94, 375]",[1648 1456 1001 3690],[1635 1469 1016 3675],[1640 1464  993 3698],[1688 1416 1010 3681],[1678 1426 1031 3660]
22,7,100,"[162, 148, 112, 358]","[163, 148, 96, 373]","[170, 141, 99, 370]","[172, 139, 88, 381]","[177, 134, 102, 367]","[162, 148, 94, 375]",[1656 1448 1003 3688],[1649 1455 1022 3669],[1645 1459  996 3695],[1697 1407 1012 3679],[1681 1423 1030 3661]
23,7,125,"[164, 146, 112, 358]","[166, 145, 97, 372]","[175, 136, 98, 371]","[177, 134, 92, 377]","[172, 139, 100, 369]","[159, 151, 101, 368]",[1664 1440 1021 3670],[1654 1450 1045 3646],[1646 1458 1000 3691],[1694 1410 1009 3682],[1673 1431 1019 3672]
24,7,150,"[163, 147, 112, 358]","[167, 144, 97, 372]","[170, 141, 102, 367]","[174, 137, 93, 376]","[172, 139, 102, 367]","[161, 149, 107, 362]",[1658 1446 1033 3658],[1668 1436 1056 3635],[1661 1443 1020 3671],[1697 1407 1002 3689],[1684 1420 1033 3658]
