,Max_depth,N_estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,3,50,"[163, 147, 96, 374]","[143, 168, 91, 378]","[165, 146, 90, 379]","[144, 167, 77, 392]","[168, 143, 97, 372]","[160, 150, 98, 371]",[1577 1527  934 3757],[1601 1503  961 3730],[1595 1509  931 3760],[1604 1500  958 3733],[1588 1516  931 3760]
1,3,75,"[166, 144, 100, 370]","[152, 159, 91, 378]","[176, 135, 92, 377]","[148, 163, 82, 387]","[176, 135, 95, 374]","[158, 152, 96, 373]",[1619 1485  953 3738],[1619 1485  962 3729],[1611 1493  938 3753],[1611 1493  954 3737],[1612 1492  942 3749]
2,3,100,"[170, 140, 108, 362]","[155, 156, 91, 378]","[181, 130, 92, 377]","[155, 156, 83, 386]","[174, 137, 95, 374]","[159, 151, 96, 373]",[1645 1459  964 3727],[1636 1468  971 3720],[1629 1475  948 3743],[1632 1472  959 3732],[1633 1471  959 3732]
3,3,125,"[169, 141, 109, 361]","[152, 159, 90, 379]","[184, 127, 92, 377]","[156, 155, 87, 382]","[175, 136, 96, 373]","[164, 146, 101, 368]",[1658 1446  975 3716],[1650 1454  968 3723],[1644 1460  956 3735],[1653 1451  971 3720],[1639 1465  972 3719]
4,3,150,"[173, 137, 110, 360]","[152, 159, 86, 383]","[183, 128, 92, 377]","[158, 153, 87, 382]","[175, 136, 97, 372]","[164, 146, 101, 368]",[1657 1447  979 3712],[1661 1443  970 3721],[1643 1461  953 3738],[1662 1442  965 3726],[1652 1452  983 3708]
5,4,50,"[173, 137, 107, 363]","[146, 165, 89, 380]","[170, 141, 95, 374]","[148, 163, 81, 388]","[179, 132, 97, 372]","[158, 152, 107, 362]",[1620 1484  973 3718],[1627 1477  973 3718],[1615 1489  970 3721],[1620 1484  984 3707],[1639 1465  970 3721]
6,4,75,"[173, 137, 105, 365]","[152, 159, 92, 377]","[175, 136, 96, 373]","[156, 155, 83, 386]","[176, 135, 96, 373]","[157, 153, 102, 367]",[1633 1471  970 3721],[1636 1468  972 3719],[1635 1469  961 3730],[1641 1463  980 3711],[1638 1466  970 3721]
7,4,100,"[172, 138, 108, 362]","[156, 155, 91, 378]","[176, 135, 95, 374]","[160, 151, 87, 382]","[172, 139, 95, 374]","[159, 151, 103, 366]",[1650 1454  969 3722],[1644 1460  966 3725],[1650 1454  951 3740],[1655 1449  964 3727],[1656 1448  986 3705]
8,4,125,"[170, 140, 109, 361]","[159, 152, 91, 378]","[180, 131, 92, 377]","[161, 150, 87, 382]","[172, 139, 97, 372]","[159, 151, 104, 365]",[1662 1442  973 3718],[1647 1457  974 3717],[1649 1455  957 3734],[1649 1455  962 3729],[1669 1435  994 3697]
9,4,150,"[169, 141, 108, 362]","[157, 154, 92, 377]","[177, 134, 94, 375]","[163, 148, 89, 380]","[170, 141, 96, 373]","[160, 150, 107, 362]",[1659 1445  985 3706],[1655 1449  980 3711],[1648 1456  962 3729],[1654 1450  971 3720],[1663 1441 1001 3690]
10,5,50,"[170, 140, 103, 367]","[149, 162, 97, 372]","[171, 140, 95, 374]","[155, 156, 88, 381]","[173, 138, 95, 374]","[156, 154, 101, 368]",[1617 1487  974 3717],[1640 1464  985 3706],[1644 1460  960 3731],[1640 1464  991 3700],[1651 1453  992 3699]
11,5,75,"[170, 140, 103, 367]","[152, 159, 93, 376]","[175, 136, 93, 376]","[160, 151, 85, 384]","[175, 136, 97, 372]","[157, 153, 102, 367]",[1639 1465  973 3718],[1641 1463  992 3699],[1648 1456  958 3733],[1637 1467  991 3700],[1652 1452  997 3694]
12,5,100,"[170, 140, 105, 365]","[156, 155, 94, 375]","[177, 134, 94, 375]","[166, 145, 90, 379]","[174, 137, 97, 372]","[157, 153, 102, 367]",[1660 1444  977 3714],[1642 1462  983 3708],[1644 1460  956 3735],[1649 1455  982 3709],[1662 1442  993 3698]
13,5,125,"[171, 139, 108, 362]","[153, 158, 94, 375]","[177, 134, 93, 376]","[165, 146, 89, 380]","[175, 136, 96, 373]","[160, 150, 105, 364]",[1662 1442  987 3704],[1643 1461  989 3702],[1641 1463  965 3726],[1646 1458  988 3703],[1668 1436 1007 3684]
14,5,150,"[171, 139, 110, 360]","[158, 153, 95, 374]","[176, 135, 95, 374]","[167, 144, 89, 380]","[176, 135, 96, 373]","[159, 151, 106, 363]",[1673 1431  999 3692],[1656 1448  998 3693],[1642 1462  985 3706],[1653 1451  991 3700],[1684 1420 1018 3673]
15,6,50,"[172, 138, 105, 365]","[155, 156, 100, 369]","[177, 134, 101, 368]","[160, 151, 87, 382]","[177, 134, 103, 366]","[156, 154, 101, 368]",[1655 1449 1004 3687],[1637 1467 1015 3676],[1662 1442  985 3706],[1657 1447  999 3692],[1660 1444 1019 3672]
16,6,75,"[171, 139, 108, 362]","[158, 153, 96, 373]","[174, 137, 100, 369]","[166, 145, 91, 378]","[174, 137, 101, 368]","[155, 155, 103, 366]",[1653 1451 1007 3684],[1639 1465 1014 3677],[1657 1447  989 3702],[1666 1438 1007 3684],[1654 1450 1015 3676]
17,6,100,"[171, 139, 108, 362]","[159, 152, 93, 376]","[175, 136, 102, 367]","[167, 144, 89, 380]","[172, 139, 100, 369]","[160, 150, 104, 365]",[1664 1440 1000 3691],[1656 1448 1028 3663],[1647 1457  987 3704],[1666 1438 1019 3672],[1660 1444 1031 3660]
18,6,125,"[174, 136, 107, 363]","[160, 151, 97, 372]","[175, 136, 102, 367]","[170, 141, 85, 384]","[171, 140, 103, 366]","[158, 152, 105, 364]",[1675 1429 1005 3686],[1658 1446 1032 3659],[1648 1456  994 3697],[1669 1435 1011 3680],[1679 1425 1032 3659]
19,6,150,"[174, 136, 109, 361]","[163, 148, 98, 371]","[177, 134, 101, 368]","[168, 143, 86, 383]","[174, 137, 104, 365]","[159, 151, 104, 365]",[1686 1418 1010 3681],[1646 1458 1039 3652],[1648 1456 1014 3677],[1674 1430 1013 3678],[1681 1423 1055 3636]
20,7,50,"[168, 142, 108, 362]","[158, 153, 96, 373]","[174, 137, 103, 366]","[162, 149, 88, 381]","[178, 133, 100, 369]","[158, 152, 104, 365]",[1658 1446 1018 3673],[1638 1466 1036 3655],[1668 1436 1010 3681],[1654 1450 1006 3685],[1657 1447 1033 3658]
21,7,75,"[170, 140, 106, 364]","[159, 152, 95, 374]","[178, 133, 95, 374]","[169, 142, 91, 378]","[171, 140, 102, 367]","[160, 150, 108, 361]",[1669 1435 1015 3676],[1637 1467 1042 3649],[1662 1442 1004 3687],[1656 1448 1007 3684],[1663 1441 1035 3656]
22,7,100,"[173, 137, 109, 361]","[160, 151, 96, 373]","[177, 134, 96, 373]","[170, 141, 89, 380]","[170, 141, 101, 368]","[159, 151, 103, 366]",[1675 1429 1018 3673],[1653 1451 1047 3644],[1664 1440 1026 3665],[1674 1430 1020 3671],[1673 1431 1052 3639]
23,7,125,"[174, 136, 110, 360]","[161, 150, 103, 366]","[175, 136, 102, 367]","[172, 139, 90, 379]","[167, 144, 101, 368]","[160, 150, 104, 365]",[1684 1420 1031 3660],[1658 1446 1042 3649],[1657 1447 1029 3662],[1682 1422 1032 3659],[1673 1431 1062 3629]
24,7,150,"[174, 136, 110, 360]","[158, 153, 103, 366]","[174, 137, 102, 367]","[175, 136, 91, 378]","[166, 145, 95, 374]","[159, 151, 102, 367]",[1670 1434 1018 3673],[1666 1438 1063 3628],[1662 1442 1039 3652],[1679 1425 1020 3671],[1668 1436 1059 3632]
