,Max_depth,N_estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,3,50,"[158, 152, 86, 384]",0.6826427196921103,0.7097934885426265,0.7995736516734173,0.7520095615639896
1,3,75,"[163, 147, 91, 379]",0.6839769082745348,0.7126468074675774,0.7957365167341718,0.7518988057470473
2,3,100,"[167, 143, 95, 375]",0.6862347658755612,0.7157568745351888,0.7939032189298657,0.7528046465453275
3,3,125,"[171, 139, 98, 372]",0.6867479153303401,0.7167250577946231,0.7928373481134086,0.7528592237167823
4,3,150,"[171, 139, 100, 370]",0.6859781911481717,0.7170495251919637,0.7898955446599872,0.7517091106113697
5,4,50,"[167, 143, 97, 373]",0.6830019243104554,0.7128706011219579,0.7924536346194841,0.7505510646734045
6,4,75,"[173, 137, 104, 366]",0.6843361128928801,0.7149673740367288,0.7907056064804945,0.7509258739124726
7,4,100,"[174, 136, 106, 364]",0.6854650416933932,0.7163243966383679,0.79032189298657,0.7515026605508435
8,4,125,"[178, 132, 106, 364]",0.6851058370750481,0.7169801492836421,0.7876785333617566,0.7506649033688501
9,4,150,"[177, 133, 109, 361]",0.6843617703656191,0.7167445834662426,0.7862289490513751,0.7498773200938382
10,5,50,"[169, 141, 100, 370]",0.6831045542014111,0.714953739914103,0.7873374547004903,0.7493912697977552
11,5,75,"[172, 138, 107, 363]",0.6844900577293136,0.716427128972389,0.7873800895331486,0.7502247252269963
12,5,100,"[174, 136, 108, 362]",0.6849775497113535,0.717427820876047,0.7861863142187167,0.7502289291396086
13,5,125,"[176, 134, 111, 359]",0.684746632456703,0.7177501509346795,0.7847367299083351,0.7497441266156064
14,5,150,"[179, 131, 111, 359]",0.6847722899294421,0.718115995404639,0.7838840332551695,0.7495558028474838
15,6,50,"[173, 137, 107, 363]",0.6810006414368185,0.7151071868540063,0.7811127691323811,0.7466535447353186
16,6,75,"[176, 134, 112, 358]",0.6818216805644643,0.7158996922019925,0.7813685781283308,0.7472008381805691
17,6,100,"[179, 131, 110, 360]",0.6828736369467607,0.7171646011231249,0.7810701342997229,0.7477505241511583
18,6,125,"[178, 132, 111, 359]",0.682309172546504,0.7173792208698935,0.7789810274994671,0.7469100930654031
19,6,150,"[176, 134, 108, 362]",0.681539448364336,0.7172512519893249,0.7771903645278192,0.7460172854805414
20,7,50,"[173, 137, 108, 362]",0.6803078896728671,0.7159724766713997,0.777019825197186,0.745246862194245
21,7,75,"[165, 145, 108, 362]",0.6803078896728671,0.715916912940612,0.7771477296951609,0.7452755449012681
22,7,100,"[167, 143, 114, 356]",0.6803335471456061,0.71689973033708,0.7747601790662972,0.7447063162970792
23,7,125,"[166, 144, 112, 358]",0.6794611930724824,0.7162832126601497,0.7739074824131316,0.7439767459969103
24,7,150,"[165, 145, 112, 358]",0.678101347017319,0.7154858758553393,0.7721594542741419,0.7427388684657884
