,N_Estimators,Max_Depth,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,200,5,"[137, 173, 82, 388]",0.6833611289288005,0.6955182305257142,0.8428053719889149,0.762110206359763
1,200,7,"[153, 157, 91, 379]",0.6934188582424632,0.7130423323387838,0.8209337028352163,0.7631935365760422
2,200,10,"[157, 153, 96, 374]",0.6948813341885824,0.7185254762096221,0.8104881688339374,0.7617388374261391
3,300,5,"[141, 169, 81, 389]",0.6842334830019243,0.6954289365992683,0.8456619057770197,0.7632221392051056
4,300,7,"[155, 155, 89, 381]",0.6933418858242464,0.7129789554082075,0.8208910680025581,0.763138896338855
5,300,10,"[159, 151, 97, 373]",0.6962924951892238,0.719407214469996,0.8120656576422938,0.7629321722227697
6,400,5,"[142, 168, 82, 388]",0.683515073765234,0.6946802923386647,0.8458750799403113,0.7628571259506564
7,400,7,"[156, 154, 91, 379]",0.6936497754971136,0.7131379791399912,0.8213174163291409,0.7634143020400912
8,400,10,"[161, 149, 98, 372]",0.6959589480436177,0.7192386066966637,0.8115966744830526,0.7626286628720518
9,500,5,"[142, 168, 81, 389]",0.6837459910198845,0.6949381238948918,0.8457471754423365,0.7629608135435294
10,500,7,"[157, 153, 89, 381]",0.6941116100064144,0.713629386660821,0.8212747814964825,0.7636772684115292
11,500,10,"[157, 153, 96, 374]",0.6957280307889673,0.7190453672931911,0.8114687699850778,0.7624636190588555
