,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,0.1,,,50,"[165, 145, 98, 372]",0.6820782552918538,0.708774853614387,0.8007674269878491,0.7519597509828209
1,rbf,0.1,1.0,,50,"[20, 290, 7, 463]",0.6208851828094933,0.6174414060800035,0.9730974205926242,0.7554715730806613
2,poly,0.1,1.0,2.0,50,"[157, 153, 97, 373]",0.6797947402180886,0.7097297941233589,0.7917714772969516,0.7484952646253223
3,poly,0.1,1.0,3.0,50,"[62, 248, 98, 372]",0.5681590763309814,0.6044733772011057,0.8168833937326795,0.6947571799399428
4,rbf,0.1,10.0,,50,"[0, 310, 0, 470]",0.6031045542014112,0.6029137265723122,0.9973566403751866,0.751522004079326
5,poly,0.1,10.0,2.0,50,"[71, 239, 152, 318]",0.5348300192431046,0.5888109803300487,0.7521210829247496,0.66045849062473
6,poly,0.1,10.0,3.0,50,"[70, 240, 123, 347]",0.5484028223220012,0.5958666555998807,0.775484971221488,0.6738872144483001
7,linear,1.0,,,50,"[165, 145, 98, 372]",0.6818473380372034,0.7086139186780933,0.8005542528245577,0.7517747540495181
8,rbf,1.0,1.0,,50,"[135, 175, 112, 358]",0.6611930724823606,0.6944927947657241,0.7802174376465573,0.7348528821873631
9,poly,1.0,1.0,2.0,50,"[56, 254, 102, 368]",0.5571776779987172,0.5966585248396279,0.8150500959283734,0.6889035075374338
10,poly,1.0,1.0,3.0,50,"[69, 241, 136, 334]",0.548505452212957,0.5957803076424569,0.7766787465359197,0.6742643864573998
11,rbf,1.0,10.0,,50,"[77, 233, 49, 421]",0.6272995509942271,0.6423269567936376,0.8590492432317204,0.7350079813426282
12,poly,1.0,10.0,2.0,50,"[76, 234, 152, 318]",0.5353175112251443,0.5893562370885645,0.7511404817736089,0.6604024372260335
13,poly,1.0,10.0,3.0,50,"[75, 235, 137, 333]",0.5479153303399615,0.5957630149801644,0.7736516734171819,0.6731114764477276
14,linear,10.0,,,50,"[165, 145, 98, 372]",0.681975625400898,0.7086976139886513,0.8006821573225326,0.7518794098549487
15,rbf,10.0,1.0,,50,"[143, 167, 117, 353]",0.6490057729313663,0.6930655735570909,0.7479855041568961,0.7194646999283438
16,poly,10.0,1.0,2.0,50,"[72, 238, 132, 338]",0.5349839640795382,0.5888300304129894,0.75310168407589,0.6608595307526586
17,poly,10.0,1.0,3.0,50,"[73, 237, 133, 337]",0.5467350865939704,0.5948889923145206,0.773523768919207,0.6725201915283611
18,rbf,10.0,10.0,,50,"[77, 233, 49, 421]",0.6272995509942271,0.6423269567936376,0.8590492432317204,0.7350079813426282
19,poly,10.0,10.0,2.0,50,"[69, 241, 149, 321]",0.5318024374599102,0.5871799594707034,0.7472180771690471,0.6575403587361676
20,poly,10.0,10.0,3.0,50,"[69, 241, 131, 339]",0.5458370750481079,0.5941007953914766,0.7742485610743978,0.6722889310047908
21,linear,100.0,,,50,"[166, 144, 96, 374]",0.6822835150737652,0.7102446500353418,0.7973566403751866,0.7512806159231971
22,rbf,100.0,1.0,,50,"[143, 167, 117, 353]",0.6490057729313663,0.6930655735570909,0.7479855041568961,0.7194646999283438
23,poly,100.0,1.0,2.0,50,"[76, 234, 143, 327]",0.5325978191148172,0.5877306772858659,0.7476870603282882,0.6580610502091666
24,poly,100.0,1.0,3.0,50,"[71, 239, 130, 340]",0.5477100705580501,0.5955239989554252,0.774291195907056,0.6732126902110358
25,rbf,100.0,10.0,,50,"[77, 233, 49, 421]",0.6272995509942271,0.6423269567936376,0.8590492432317204,0.7350079813426282
26,poly,100.0,10.0,2.0,50,"[69, 241, 122, 348]",0.5344451571520205,0.5885017193828403,0.7523768919206992,0.6603412943782508
27,poly,100.0,10.0,3.0,50,"[71, 239, 112, 358]",0.5421167415009622,0.5965851909850749,0.7380089533148582,0.6592138682632472
28,linear,1000.0,,,50,"[185, 125, 128, 342]",0.6774085952533675,0.7116651427380519,0.7802600724792155,0.7442770292970728
29,rbf,1000.0,1.0,,50,"[143, 167, 117, 353]",0.6490057729313663,0.6930655735570909,0.7479855041568961,0.7194646999283438
30,poly,1000.0,1.0,2.0,50,"[71, 239, 138, 332]",0.5323669018601669,0.5875706067681039,0.747814964826263,0.6580137594218163
31,poly,1000.0,1.0,3.0,50,"[69, 241, 130, 340]",0.5496087235407312,0.5966424351858834,0.7766361117032616,0.6748262742377072
32,rbf,1000.0,10.0,,50,"[77, 233, 49, 421]",0.6272995509942271,0.6423269567936376,0.8590492432317204,0.7350079813426282
33,poly,1000.0,10.0,2.0,50,"[68, 242, 138, 332]",0.5343681847338038,0.5885027767046038,0.7519931784267746,0.6602147360609607
34,poly,1000.0,10.0,3.0,50,"[74, 236, 128, 342]",0.5344708146247594,0.596277071810818,0.7011724578981027,0.6430901762115913
