,Alpha,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,"[157, 153, 110, 360]","[167, 144, 117, 352]","[135, 176, 60, 409]","[173, 138, 120, 349]","[152, 159, 91, 378]","[168, 142, 122, 347]",[1716 1388 1136 3555],[1653 1451 1174 3517],[1556 1548  983 3708],[1663 1441 1095 3596],[1607 1497 1085 3606]
1,0.0005,"[171, 139, 126, 344]","[130, 181, 76, 393]","[175, 136, 91, 378]","[130, 181, 63, 406]","[132, 179, 67, 402]","[133, 177, 86, 383]",[1533 1571  895 3796],[1626 1478  940 3751],[1575 1529  925 3766],[1512 1592  905 3786],[1741 1363 1065 3626]
2,0.0008,"[176, 134, 128, 342]","[151, 160, 91, 378]","[184, 127, 99, 370]","[130, 181, 62, 407]","[139, 172, 72, 397]","[150, 160, 88, 381]",[1552 1552  884 3807],[1645 1459  947 3744],[1594 1510  982 3709],[1540 1564  896 3795],[1728 1376 1044 3647]
3,0.001,"[140, 170, 80, 390]","[155, 156, 97, 372]","[176, 135, 92, 377]","[157, 154, 89, 380]","[138, 173, 77, 392]","[107, 203, 56, 413]",[1502 1602  826 3865],[1687 1417  988 3703],[1553 1551  940 3751],[1626 1478  940 3751],[1617 1487  954 3737]
4,0.002,"[163, 147, 97, 373]","[134, 177, 92, 377]","[156, 155, 80, 389]","[130, 181, 64, 405]","[140, 171, 72, 397]","[129, 181, 80, 389]",[1463 1641  803 3888],[1615 1489  926 3765],[1535 1569  867 3824],[1593 1511  942 3749],[1643 1461  979 3712]
5,0.003,"[167, 143, 102, 368]","[146, 165, 95, 374]","[180, 131, 92, 377]","[122, 189, 60, 409]","[153, 158, 89, 380]","[131, 179, 79, 390]",[1519 1585  872 3819],[1543 1561  879 3812],[1618 1486  954 3737],[1563 1541  911 3780],[1580 1524  896 3795]
6,0.004,"[147, 163, 86, 384]","[151, 160, 97, 372]","[175, 136, 91, 378]","[150, 161, 80, 389]","[151, 160, 88, 381]","[137, 173, 83, 386]",[1519 1585  859 3832],[1523 1581  875 3816],[1538 1566  901 3790],[1547 1557  899 3792],[1572 1532  895 3796]
7,0.005,"[155, 155, 90, 380]","[146, 165, 94, 375]","[168, 143, 88, 381]","[159, 152, 78, 391]","[155, 156, 79, 390]","[140, 170, 82, 387]",[1528 1576  857 3834],[1511 1593  865 3826],[1472 1632  865 3826],[1507 1597  876 3815],[1549 1555  887 3804]
8,0.01,"[140, 170, 87, 383]","[122, 189, 81, 388]","[137, 174, 76, 393]","[128, 183, 65, 404]","[134, 177, 73, 396]","[139, 171, 88, 381]",[1326 1778  785 3906],[1357 1747  800 3891],[1368 1736  811 3880],[1353 1751  795 3896],[1389 1715  812 3879]
