,Alpha,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,0.0001,50,"[172, 138, 112, 358]",0.6889288005131495,0.7168182092028449,0.7985930505222767,0.7554941928410449
1,0.0001,100,"[170, 140, 111, 359]",0.6894419499679281,0.7168884628644194,0.7998294606693669,0.7560875940195094
2,0.0001,150,"[175, 135, 112, 358]",0.6897241821680564,0.7168752993210361,0.8006395224898742,0.7564411843622152
3,0.001,50,"[160, 150, 96, 374]",0.689493264913406,0.7164037176111364,0.801193775314432,0.7564282178346404
4,0.001,100,"[163, 147, 101, 369]",0.689544579858884,0.7164435039394175,0.8012364101470902,0.7564684825539001
5,0.001,150,"[164, 146, 98, 372]",0.6898011545862732,0.716932459707502,0.8006821573225326,0.7564941170238093
6,0.01,50,"[145, 165, 83, 387]",0.673226427196921,0.6893093505457386,0.8320187593263697,0.7539695136110455
7,0.01,100,"[145, 165, 83, 387]",0.6739191789608723,0.6898196501229981,0.8324877424856109,0.7544674998871307
8,0.01,150,"[144, 166, 84, 386]",0.6736112892880051,0.6896334747063947,0.8321466638243444,0.7542165203450499
