,Kernel,C,Gamma,Degree,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,100.0,,,50,0.5,"[153, 157, 108, 362]",0.6665298268120591,0.6995769024593169,0.7814964826263056,0.7382580572827208
1,linear,1000.0,,,50,0.5,"[153, 157, 108, 362]",0.6659140474663247,0.6992515650971761,0.7806011511404817,0.737682615808018
