,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,100,"[201, 109, 153, 317]",0.6574983964079537,0.7443657944769916,0.6562353442762737,0.6975231844508644
1,200,"[200, 110, 153, 317]",0.6574727389352149,0.7442833253716543,0.6563206139415902,0.6975350221617215
2,300,"[200, 110, 153, 317]",0.6574983964079537,0.7442962352521134,0.6563632487742486,0.6975651817721256
3,400,"[201, 109, 153, 317]",0.657421423989737,0.7443301180268846,0.6561074397782989,0.6974356429652087
4,500,"[201, 109, 153, 317]",0.6573957665169982,0.7443408229113301,0.6560221701129824,0.6973920606263263
5,800,"[201, 109, 153, 317]",0.657447081462476,0.7444135692792466,0.6560221701129824,0.697423331649205
6,1000,"[201, 109, 153, 317]",0.6573701090442591,0.744329712706176,0.6559795352803242,0.6973624837546547
