,Kernel,C,Gamma,Degree,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,100.0,,,50,0.5,"[162, 148, 93, 377]",0.6832328415651059,0.7104383248510883,0.7994883820081007,0.7523370289912534
1,linear,1000.0,,,50,0.5,"[163, 147, 93, 377]",0.6834381013470173,0.7110860751325768,0.798337241526327,0.7521896724152375
