,Neighbors,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,12,50,"[171, 139, 124, 346]","[163, 148, 108, 361]","[165, 146, 109, 360]","[173, 138, 105, 364]","[167, 144, 118, 351]","[158, 152, 115, 354]",[1645 1459 1123 3568],[1644 1460 1099 3592],[1637 1467 1121 3570],[1668 1436 1129 3562],[1656 1448 1129 3562]
1,12,100,"[170, 140, 117, 353]","[159, 152, 105, 364]","[164, 147, 111, 358]","[173, 138, 107, 362]","[168, 143, 117, 352]","[159, 151, 113, 356]",[1641 1463 1115 3576],[1645 1459 1093 3598],[1639 1465 1120 3571],[1666 1438 1116 3575],[1663 1441 1132 3559]
2,12,150,"[167, 143, 115, 355]","[160, 151, 106, 363]","[159, 152, 110, 359]","[173, 138, 105, 364]","[167, 144, 117, 352]","[158, 152, 117, 352]",[1644 1460 1118 3573],[1648 1456 1104 3587],[1641 1463 1117 3574],[1662 1442 1116 3575],[1670 1434 1136 3555]
3,14,50,"[168, 142, 120, 350]","[158, 153, 107, 362]","[164, 147, 108, 361]","[173, 138, 106, 363]","[172, 139, 115, 354]","[161, 149, 113, 356]",[1655 1449 1115 3576],[1648 1456 1101 3590],[1644 1460 1112 3579],[1669 1435 1118 3573],[1669 1435 1117 3574]
4,14,100,"[166, 144, 115, 355]","[155, 156, 105, 364]","[164, 147, 108, 361]","[174, 137, 106, 363]","[170, 141, 113, 356]","[162, 148, 114, 355]",[1647 1457 1100 3591],[1652 1452 1095 3596],[1661 1443 1133 3558],[1668 1436 1113 3578],[1675 1429 1122 3569]
5,14,150,"[167, 143, 116, 354]","[157, 154, 107, 362]","[166, 145, 109, 360]","[173, 138, 105, 364]","[169, 142, 113, 356]","[158, 152, 113, 356]",[1646 1458 1106 3585],[1651 1453 1098 3593],[1650 1454 1120 3571],[1672 1432 1103 3588],[1679 1425 1118 3573]
6,16,50,"[168, 142, 119, 351]","[164, 147, 111, 358]","[164, 147, 105, 364]","[173, 138, 104, 365]","[174, 137, 113, 356]","[161, 149, 110, 359]",[1663 1441 1117 3574],[1665 1439 1099 3592],[1649 1455 1115 3576],[1678 1426 1103 3588],[1682 1422 1109 3582]
7,16,100,"[167, 143, 117, 353]","[157, 154, 106, 363]","[162, 149, 110, 359]","[173, 138, 107, 362]","[173, 138, 113, 356]","[161, 149, 113, 356]",[1652 1452 1108 3583],[1667 1437 1100 3591],[1657 1447 1128 3563],[1681 1423 1103 3588],[1677 1427 1121 3570]
8,16,150,"[164, 146, 113, 357]","[157, 154, 107, 362]","[164, 147, 109, 360]","[172, 139, 106, 363]","[170, 141, 111, 358]","[159, 151, 113, 356]",[1651 1453 1097 3594],[1661 1443 1095 3596],[1658 1446 1117 3574],[1668 1436 1106 3585],[1679 1425 1116 3575]
