,Kernel,C,Gamma,Degree,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,100.0,,,50,0.5,"[168, 142, 97, 373]",0.6872867222578576,0.713984512015406,0.8014069494777234,0.7551728333072271
1,linear,1000.0,,,50,0.5,"[169, 141, 99, 371]",0.6871840923669019,0.7145281629885156,0.799701556171392,0.7547177657622015
