,N_Estimators,Max_Depth,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,500,5,50,"[157, 153, 94, 376]",0.68436177,0.708351979,0.808313792,0.755038226
1,500,10,50,"[176, 134, 111, 359]",0.685336754,0.719563383,0.781837561,0.749406466
2,500,15,50,"[166, 144, 120, 350]",0.665760103,0.707786916,0.757237263,0.731674528
3,300,5,50,"[156, 154, 94, 376]",0.6844644,0.70836364,0.8085696,0.75515663
4,300,10,50,"[176, 134, 111, 359]",0.68551636,0.7197972,0.78175229,0.74949346
5,300,15,50,"[165, 145, 120, 350]",0.66555484,0.70749414,0.7574078,0.73159794
