,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,25,0.1,"[124, 186, 71, 399]",0.668120590121873,0.6823880875535359,0.8390535067149862,0.7526533312075475
1,25,0.2,"[151, 159, 91, 379]",0.6771007055805003,0.7015070351460888,0.8066936687273503,0.7504301889260618
2,25,0.3,"[157, 153, 96, 374]",0.6794098781270044,0.7063460437974853,0.7997868258367086,0.7501646052433811
3,25,0.4,"[164, 146, 95, 375]",0.6812059012187299,0.7089209182420149,0.7978682583670859,0.7507672919666066
4,25,0.5,"[163, 147, 100, 370]",0.6817960230917255,0.7103051482252387,0.7958217863994884,0.7506331554798303
5,50,0.1,"[151, 159, 90, 380]",0.6769980756895446,0.7012382402248694,0.8071626518865912,0.7504792720783682
6,50,0.2,"[163, 147, 95, 375]",0.6812315586914688,0.7088364900859483,0.7981667021956937,0.7508522610408864
7,50,0.3,"[163, 147, 99, 371]",0.6821552277100705,0.7108750999467237,0.7953101684075892,0.7507236577407346
8,50,0.4,"[164, 146, 101, 369]",0.6828479794740218,0.7118842285964735,0.7945853762523982,0.7509620315651635
9,50,0.5,"[165, 145, 101, 369]",0.682386144964721,0.7116856475508051,0.7938179492645491,0.7505085895494557
10,75,0.1,"[156, 154, 95, 375]",0.6791533033996152,0.7059091137762529,0.8002558089959496,0.750124579630711
11,75,0.2,"[164, 146, 99, 371]",0.6821552277100705,0.7108749877196712,0.795310168407589,0.7507235271462468
12,75,0.3,"[164, 146, 101, 369]",0.6825914047466324,0.7117909243612731,0.7941163930931572,0.7507000983490925
13,75,0.4,"[166, 144, 101, 369]",0.6823348300192431,0.7119244970376885,0.7930505222767,0.7502967317080314
14,75,0.5,"[166, 144, 100, 370]",0.6834637588197563,0.712455658850161,0.7947985504156896,0.7513745090402051
