,Neighbors,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,5,"[175, 135, 151, 319]","[169, 142, 122, 347]","[152, 159, 130, 339]","[156, 155, 116, 353]","[157, 154, 118, 351]","[156, 154, 145, 324]",[1597 1507 1282 3409],[1625 1479 1325 3366],[1583 1521 1325 3366],[1630 1474 1301 3390],[1643 1461 1322 3369]
1,10,"[191, 119, 156, 314]","[184, 127, 146, 323]","[183, 128, 151, 318]","[205, 106, 152, 317]","[185, 126, 165, 304]","[183, 127, 161, 308]",[1874 1230 1537 3154],[1893 1211 1543 3148],[1857 1247 1533 3158],[1901 1203 1522 3169],[1895 1209 1527 3164]
2,12,"[187, 123, 153, 317]","[180, 131, 146, 323]","[184, 127, 138, 331]","[203, 108, 141, 328]","[189, 122, 163, 306]","[183, 127, 150, 319]",[1854 1250 1472 3219],[1880 1224 1468 3223],[1870 1234 1485 3206],[1902 1202 1446 3245],[1914 1190 1470 3221]
3,14,"[188, 122, 147, 323]","[172, 139, 147, 322]","[177, 134, 148, 321]","[199, 112, 134, 335]","[179, 132, 149, 320]","[186, 124, 148, 321]",[1839 1265 1457 3234],[1870 1234 1414 3277],[1869 1235 1416 3275],[1866 1238 1453 3238],[1878 1226 1412 3279]
4,16,"[181, 129, 133, 337]","[169, 142, 144, 325]","[188, 123, 139, 330]","[188, 123, 127, 342]","[180, 131, 145, 324]","[181, 129, 145, 324]",[1822 1282 1390 3301],[1830 1274 1337 3354],[1830 1274 1398 3293],[1846 1258 1370 3321],[1853 1251 1363 3328]
5,20,"[178, 132, 126, 344]","[162, 149, 133, 336]","[186, 125, 129, 340]","[194, 117, 119, 350]","[176, 135, 136, 333]","[180, 130, 132, 337]",[1791 1313 1292 3399],[1819 1285 1305 3386],[1792 1312 1352 3339],[1821 1283 1332 3359],[1848 1256 1344 3347]
