,N_Estimators,Max_Depth,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,200,5,"[137, 173, 82, 388]","[132, 179, 67, 402]","[145, 166, 77, 392]","[128, 183, 64, 405]","[137, 174, 66, 403]","[135, 175, 68, 401]",[1367 1737  736 3955],[1380 1724  749 3942],[1371 1733  732 3959],[1383 1721  730 3961],[1365 1739  740 3951]
1,200,7,"[153, 157, 91, 379]","[149, 162, 78, 391]","[170, 141, 93, 376]","[147, 164, 75, 394]","[158, 153, 82, 387]","[149, 161, 79, 390]",[1552 1552  842 3849],[1552 1552  850 3841],[1554 1550  834 3857],[1553 1551  834 3857],[1560 1544  840 3851]
2,200,10,"[157, 153, 96, 374]","[157, 154, 85, 384]","[171, 140, 92, 377]","[165, 146, 87, 382]","[171, 140, 91, 378]","[158, 152, 87, 382]",[1633 1471  903 3788],[1609 1495  885 3806],[1612 1492  888 3803],[1606 1498  903 3788],[1613 1491  866 3825]
3,300,5,"[141, 169, 81, 389]","[132, 179, 67, 402]","[146, 165, 70, 399]","[121, 190, 64, 405]","[139, 172, 66, 403]","[136, 174, 67, 402]",[1369 1735  719 3972],[1377 1727  733 3958],[1357 1747  726 3965],[1366 1738  721 3970],[1364 1740  721 3970]
4,300,7,"[155, 155, 89, 381]","[150, 161, 78, 391]","[165, 146, 93, 376]","[147, 164, 81, 388]","[162, 149, 82, 387]","[151, 159, 80, 389]",[1550 1554  850 3841],[1553 1551  837 3854],[1562 1542  836 3855],[1551 1553  844 3847],[1553 1551  834 3857]
5,300,10,"[159, 151, 97, 373]","[156, 155, 87, 382]","[170, 141, 92, 377]","[166, 145, 87, 382]","[172, 139, 89, 380]","[159, 151, 85, 384]",[1629 1475  894 3797],[1615 1489  883 3808],[1609 1495  880 3811],[1621 1483  883 3808],[1617 1487  868 3823]
6,400,5,"[142, 168, 82, 388]","[131, 180, 67, 402]","[143, 168, 69, 400]","[122, 189, 63, 406]","[140, 171, 67, 402]","[134, 176, 66, 403]",[1356 1748  715 3976],[1381 1723  730 3961],[1350 1754  730 3961],[1357 1747  717 3974],[1356 1748  723 3968]
7,400,7,"[156, 154, 91, 379]","[150, 161, 77, 392]","[164, 147, 92, 377]","[148, 163, 78, 391]","[161, 150, 81, 388]","[153, 157, 80, 389]",[1555 1549  843 3848],[1550 1554  843 3848],[1560 1544  830 3861],[1553 1551  838 3853],[1553 1551  837 3854]
8,400,10,"[161, 149, 98, 372]","[157, 154, 88, 381]","[169, 142, 92, 377]","[162, 149, 89, 380]","[175, 136, 90, 379]","[157, 153, 83, 386]",[1636 1468  903 3788],[1617 1487  880 3811],[1601 1503  876 3815],[1615 1489  889 3802],[1620 1484  871 3820]
9,500,5,"[142, 168, 81, 389]","[131, 180, 67, 402]","[143, 168, 71, 398]","[122, 189, 61, 408]","[139, 172, 68, 401]","[133, 177, 67, 402]",[1355 1749  720 3971],[1371 1733  734 3957],[1364 1740  733 3958],[1361 1743  715 3976],[1361 1743  716 3975]
10,500,7,"[157, 153, 89, 381]","[150, 161, 76, 393]","[167, 144, 94, 375]","[150, 161, 79, 390]","[162, 149, 79, 390]","[154, 156, 80, 389]",[1565 1539  839 3852],[1550 1554  848 3843],[1559 1545  835 3856],[1555 1549  841 3850],[1561 1543  829 3862]
11,500,10,"[157, 153, 96, 374]","[158, 153, 85, 384]","[173, 138, 91, 378]","[162, 149, 87, 382]","[173, 138, 91, 378]","[161, 149, 84, 385]",[1637 1467  897 3794],[1612 1492  879 3812],[1598 1506  878 3813],[1622 1482  892 3799],[1614 1490  876 3815]
