,Alpha,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,50,"[176, 134, 108, 362]","[156, 155, 95, 374]","[180, 131, 87, 382]","[152, 159, 87, 382]","[164, 147, 99, 370]","[153, 157, 99, 370]",[1635 1469  974 3717],[1531 1573  893 3798],[1529 1575  932 3759],[1624 1480  967 3724],[1593 1511  965 3726]
1,0.0001,100,"[167, 143, 101, 369]","[160, 151, 98, 371]","[184, 127, 87, 382]","[154, 157, 88, 381]","[169, 142, 103, 366]","[153, 157, 98, 371]",[1635 1469  964 3727],[1538 1566  925 3766],[1517 1587  926 3765],[1602 1502  942 3749],[1590 1514  954 3737]
2,0.0001,150,"[166, 144, 100, 370]","[154, 157, 92, 377]","[182, 129, 90, 379]","[153, 158, 86, 383]","[168, 143, 101, 368]","[153, 157, 97, 372]",[1618 1486  952 3739],[1553 1551  931 3760],[1506 1598  917 3774],[1597 1507  938 3753],[1590 1514  953 3738]
3,0.001,50,"[164, 146, 99, 371]","[164, 147, 99, 370]","[183, 128, 90, 379]","[145, 166, 82, 387]","[164, 147, 97, 372]","[161, 149, 104, 365]",[1621 1483  962 3729],[1559 1545  932 3759],[1539 1565  933 3758],[1570 1534  925 3766],[1592 1512  962 3729]
4,0.001,100,"[167, 143, 99, 371]","[164, 147, 101, 368]","[183, 128, 90, 379]","[147, 164, 83, 386]","[161, 150, 93, 376]","[157, 153, 101, 368]",[1615 1489  958 3733],[1541 1563  915 3776],[1541 1563  936 3755],[1580 1524  932 3759],[1588 1516  960 3731]
5,0.001,150,"[168, 142, 99, 371]","[164, 147, 99, 370]","[181, 130, 90, 379]","[147, 164, 83, 386]","[163, 148, 96, 373]","[155, 155, 98, 371]",[1615 1489  956 3735],[1543 1561  913 3778],[1544 1560  946 3745],[1570 1534  924 3767],[1594 1510  960 3731]
6,0.01,50,"[142, 168, 86, 384]","[137, 174, 87, 382]","[147, 164, 85, 384]","[123, 188, 57, 412]","[129, 182, 73, 396]","[133, 177, 86, 383]",[1364 1740  813 3878],[1341 1763  796 3895],[1324 1780  808 3883],[1334 1770  803 3888],[1338 1766  802 3889]
7,0.01,100,"[142, 168, 86, 384]","[139, 172, 85, 384]","[149, 162, 86, 383]","[124, 187, 57, 412]","[128, 183, 73, 396]","[131, 179, 84, 385]",[1365 1739  812 3879],[1335 1769  798 3893],[1341 1763  808 3883],[1344 1760  807 3884],[1340 1764  814 3877]
8,0.01,150,"[142, 168, 85, 385]","[140, 171, 85, 384]","[149, 162, 85, 384]","[125, 186, 57, 412]","[128, 183, 74, 395]","[132, 178, 86, 383]",[1370 1734  813 3878],[1332 1772  796 3895],[1335 1769  800 3891],[1345 1759  812 3879],[1340 1764  805 3886]
