,Kernel,C,Gamma,Degree,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,100.0,,,50,0.5,"[167, 143, 109, 361]",0.6913919178960872,0.7195910897399329,0.7982519718610104,0.7568827367777307
1,linear,1000.0,,,50,0.5,"[168, 142, 110, 360]",0.6900833867864015,0.7191274360499875,0.7958644212321466,0.755551306558593
