,Alpha,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,50,"[167, 143, 95, 375]","[153, 158, 91, 378]","[163, 148, 94, 375]","[167, 144, 90, 379]","[169, 142, 99, 370]","[164, 146, 104, 365]",[1627 1477  973 3718],[1576 1528  930 3761],[1614 1490  961 3730],[1596 1508  948 3743],[1593 1511  953 3738]
1,0.0001,100,"[163, 147, 92, 378]","[149, 162, 92, 377]","[165, 146, 95, 374]","[148, 163, 82, 387]","[162, 149, 96, 373]","[162, 148, 103, 366]",[1603 1501  958 3733],[1594 1510  942 3749],[1598 1506  949 3742],[1575 1529  937 3754],[1598 1506  964 3727]
2,0.0001,150,"[163, 147, 91, 379]","[149, 162, 92, 377]","[174, 137, 103, 366]","[147, 164, 82, 387]","[161, 150, 98, 371]","[157, 153, 100, 369]",[1595 1509  953 3738],[1598 1506  950 3741],[1587 1517  948 3743],[1595 1509  941 3750],[1595 1509  961 3730]
3,0.001,50,"[167, 143, 92, 378]","[152, 159, 94, 375]","[168, 143, 97, 372]","[151, 160, 76, 393]","[160, 151, 95, 374]","[159, 151, 100, 369]",[1602 1502  949 3742],[1573 1531  933 3758],[1579 1525  941 3750],[1585 1519  944 3747],[1580 1524  933 3758]
4,0.001,100,"[166, 144, 92, 378]","[154, 157, 93, 376]","[167, 144, 96, 373]","[155, 156, 84, 385]","[158, 153, 94, 375]","[158, 152, 102, 367]",[1595 1509  946 3745],[1576 1528  937 3754],[1577 1527  944 3747],[1572 1532  937 3754],[1572 1532  933 3758]
5,0.001,150,"[165, 145, 92, 378]","[155, 156, 94, 375]","[167, 144, 96, 373]","[157, 154, 85, 384]","[160, 151, 95, 374]","[157, 153, 102, 367]",[1603 1501  951 3740],[1583 1521  938 3753],[1578 1526  945 3746],[1576 1528  934 3757],[1574 1530  932 3759]
6,0.01,50,"[136, 174, 85, 385]","[134, 177, 86, 383]","[143, 168, 84, 385]","[129, 182, 61, 408]","[133, 178, 77, 392]","[132, 178, 86, 383]",[1358 1746  822 3869],[1365 1739  813 3878],[1343 1761  816 3875],[1354 1750  824 3867],[1371 1733  809 3882]
7,0.01,100,"[138, 172, 85, 385]","[132, 179, 83, 386]","[143, 168, 82, 387]","[126, 185, 60, 409]","[132, 179, 77, 392]","[133, 177, 85, 384]",[1369 1735  819 3872],[1373 1731  819 3872],[1347 1757  813 3878],[1354 1750  817 3874],[1372 1732  815 3876]
8,0.01,150,"[135, 175, 85, 385]","[132, 179, 83, 386]","[144, 167, 82, 387]","[126, 185, 60, 409]","[131, 180, 75, 394]","[132, 178, 86, 383]",[1367 1737  818 3873],[1373 1731  822 3869],[1348 1756  822 3869],[1360 1744  822 3869],[1373 1731  818 3873]
