,Alpha,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,"[155, 155, 110, 360]","[195, 116, 159, 310]","[70, 241, 41, 428]","[144, 167, 88, 381]","[136, 175, 68, 401]","[136, 174, 93, 376]",[1538 1566 1107 3584],[1481 1623  999 3692],[1618 1486 1146 3545],[1405 1699  940 3751],[1490 1614 1071 3620]
1,0.0005,"[175, 135, 144, 326]","[171, 140, 127, 342]","[161, 150, 112, 357]","[146, 165, 90, 379]","[159, 152, 99, 370]","[155, 155, 104, 365]",[1643 1461 1179 3512],[1608 1496 1113 3578],[1574 1530 1062 3629],[1514 1590 1045 3646],[1593 1511 1129 3562]
2,0.0008,"[176, 134, 142, 328]","[155, 156, 112, 357]","[161, 150, 115, 354]","[146, 165, 89, 380]","[167, 144, 102, 367]","[160, 150, 106, 363]",[1617 1487 1146 3545],[1533 1571 1018 3673],[1465 1639 1008 3683],[1516 1588 1033 3658],[1577 1527 1098 3593]
3,0.001,"[144, 166, 99, 371]","[130, 181, 89, 380]","[161, 150, 115, 354]","[150, 161, 94, 375]","[167, 144, 101, 368]","[151, 159, 104, 365]",[1546 1558 1078 3613],[1534 1570 1015 3676],[1515 1589 1013 3678],[1510 1594 1030 3661],[1554 1550 1073 3618]
4,0.002,"[144, 166, 99, 371]","[148, 163, 101, 368]","[160, 151, 111, 358]","[149, 162, 92, 377]","[150, 161, 90, 379]","[165, 145, 113, 356]",[1529 1575 1037 3654],[1507 1597  986 3705],[1459 1645  943 3748],[1471 1633  999 3692],[1502 1602 1028 3663]
5,0.003,"[146, 164, 99, 371]","[148, 163, 98, 371]","[152, 159, 109, 360]","[150, 161, 91, 378]","[153, 158, 87, 382]","[150, 160, 108, 361]",[1509 1595 1016 3675],[1491 1613  966 3725],[1459 1645  942 3749],[1460 1644  982 3709],[1547 1557 1067 3624]
6,0.004,"[158, 152, 109, 361]","[148, 163, 98, 371]","[152, 159, 109, 360]","[148, 163, 89, 380]","[153, 158, 86, 383]","[150, 160, 108, 361]",[1427 1677  941 3750],[1496 1608  969 3722],[1486 1618  954 3737],[1450 1654  985 3706],[1542 1562 1058 3633]
7,0.005,"[158, 152, 109, 361]","[148, 163, 98, 371]","[160, 151, 112, 357]","[148, 163, 89, 380]","[153, 158, 85, 384]","[150, 160, 108, 361]",[1356 1748  886 3805],[1477 1627  963 3728],[1486 1618  959 3732],[1444 1660  975 3716],[1453 1651  980 3711]
8,0.01,"[75, 235, 50, 420]","[106, 205, 67, 402]","[66, 245, 40, 429]","[62, 249, 37, 432]","[147, 164, 80, 389]","[151, 159, 101, 368]",[1026 2078  654 4037],[1240 1864  753 3938],[1190 1914  753 3938],[1055 2049  650 4041],[1195 1909  758 3933]
