,Neighbors,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,5,"[159, 151, 134, 336]","[148, 163, 112, 357]","[158, 153, 114, 355]","[180, 131, 118, 351]","[153, 158, 119, 350]","[158, 152, 105, 364]",[1593 1511 1247 3444],[1552 1552 1227 3464],[1550 1554 1218 3473],[1555 1549 1219 3472],[1541 1563 1215 3476]
1,10,"[185, 125, 142, 328]","[165, 146, 135, 334]","[188, 123, 134, 335]","[194, 117, 143, 326]","[177, 134, 127, 342]","[179, 131, 136, 333]",[1835 1269 1405 3286],[1816 1288 1427 3264],[1830 1274 1435 3256],[1836 1268 1397 3294],[1831 1273 1420 3271]
2,12,"[173, 137, 140, 330]","[163, 148, 119, 350]","[185, 126, 133, 336]","[190, 121, 136, 333]","[180, 131, 134, 335]","[178, 132, 127, 342]",[1795 1309 1351 3340],[1771 1333 1385 3306],[1788 1316 1360 3331],[1806 1298 1345 3346],[1808 1296 1349 3342]
3,14,"[176, 134, 133, 337]","[163, 148, 123, 346]","[187, 124, 120, 349]","[184, 127, 133, 336]","[179, 132, 117, 352]","[170, 140, 127, 342]",[1776 1328 1293 3398],[1754 1350 1326 3365],[1746 1358 1311 3380],[1757 1347 1298 3393],[1771 1333 1299 3392]
4,16,"[178, 132, 136, 334]","[163, 148, 120, 349]","[177, 134, 114, 355]","[179, 132, 125, 344]","[176, 135, 118, 351]","[167, 143, 122, 347]",[1755 1349 1246 3445],[1714 1390 1272 3419],[1730 1374 1271 3420],[1732 1372 1273 3418],[1750 1354 1241 3450]
5,20,"[171, 139, 129, 341]","[163, 148, 110, 359]","[171, 140, 106, 363]","[174, 137, 118, 351]","[168, 143, 112, 357]","[171, 139, 118, 351]",[1711 1393 1188 3503],[1689 1415 1202 3489],[1675 1429 1215 3476],[1693 1411 1197 3494],[1719 1385 1169 3522]
