,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,100,"[202, 108, 164, 306]","[198, 113, 160, 309]","[205, 106, 146, 323]","[217, 94, 145, 324]","[206, 105, 171, 298]","[196, 114, 167, 302]",[2049 1055 1637 3054],[2048 1056 1637 3054],[2051 1053 1638 3053],[2046 1058 1647 3044],[2049 1055 1640 3051]
1,200,"[202, 108, 164, 306]","[198, 113, 159, 310]","[205, 106, 148, 321]","[216, 95, 145, 324]","[207, 104, 171, 298]","[196, 114, 164, 305]",[2050 1054 1636 3055],[2048 1056 1638 3053],[2049 1055 1640 3051],[2042 1062 1647 3044],[2051 1053 1634 3057]
2,300,"[202, 108, 164, 306]","[198, 113, 160, 309]","[205, 106, 148, 321]","[216, 95, 145, 324]","[205, 106, 171, 298]","[196, 114, 164, 305]",[2047 1057 1636 3055],[2044 1060 1639 3052],[2048 1056 1644 3047],[2044 1060 1648 3043],[2049 1055 1639 3052]
3,400,"[202, 108, 164, 306]","[198, 113, 160, 309]","[204, 107, 147, 322]","[216, 95, 145, 324]","[207, 104, 170, 299]","[196, 114, 164, 305]",[2048 1056 1634 3057],[2043 1061 1637 3054],[2052 1052 1640 3051],[2047 1057 1647 3044],[2048 1056 1637 3054]
4,500,"[202, 108, 164, 306]","[198, 113, 161, 308]","[204, 107, 148, 321]","[216, 95, 145, 324]","[207, 104, 170, 299]","[196, 114, 164, 305]",[2049 1055 1636 3055],[2045 1059 1636 3055],[2051 1053 1642 3049],[2046 1058 1646 3045],[2047 1057 1637 3054]
5,800,"[202, 108, 164, 306]","[198, 113, 160, 309]","[204, 107, 146, 323]","[216, 95, 146, 323]","[207, 104, 169, 300]","[196, 114, 164, 305]",[2047 1057 1633 3058],[2044 1060 1636 3055],[2051 1053 1642 3049],[2046 1058 1649 3042],[2046 1058 1635 3056]
6,1000,"[202, 108, 164, 306]","[198, 113, 161, 308]","[204, 107, 145, 324]","[216, 95, 145, 324]","[207, 104, 169, 300]","[196, 114, 164, 305]",[2048 1056 1632 3059],[2045 1059 1638 3053],[2049 1055 1642 3049],[2046 1058 1648 3043],[2046 1058 1636 3055]
