,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,50,0.5,"[165, 145, 116, 354]",0.6699679281590764,0.705357228570074,0.7756128757194627,0.738796902235648
1,50,0.75,"[165, 145, 116, 354]",0.669737010904426,0.7045588907408353,0.7771050948625027,0.7390399334566284
2,50,1.0,"[165, 145, 116, 354]",0.66891597177678,0.7029777118018217,0.7790662971647837,0.7390450532897075
3,100,0.5,"[165, 145, 116, 354]",0.6692495189223862,0.7042357413174694,0.7765508420379449,0.7386117375180706
4,100,0.75,"[165, 145, 116, 354]",0.6699935856318152,0.7060426656479765,0.7738222127478149,0.7383655647688754
5,100,1.0,"[165, 145, 116, 354]",0.6694804361770366,0.7043290234133233,0.7769771903645278,0.7388573326208995
6,150,0.5,"[165, 145, 116, 354]",0.6696087235407313,0.7048372644168113,0.775953954380729,0.7386777865726679
7,150,0.75,"[165, 145, 116, 354]",0.6698139833226427,0.7056781225535642,0.774291195907056,0.738376103198808
8,150,1.0,"[165, 145, 116, 354]",0.6700449005772932,0.7060168941651362,0.7740353869111063,0.7384480414157709
