,N_Estimators,Max_Depth,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,200,5,"[152, 158, 88, 382]",0.6832071840923668,0.7054536419657857,0.8130888936260925,0.7554488318329131
1,200,7,"[163, 147, 99, 371]",0.6864913406029506,0.713205878288184,0.8012790449797483,0.7546750043419043
2,200,10,"[162, 148, 105, 365]",0.6828736369467607,0.7153557739613287,0.7856746962268172,0.748864728308717
3,300,5,"[156, 154, 88, 382]",0.6833354714560615,0.7057352159410268,0.8126625452995098,0.7554279759287239
4,300,7,"[162, 148, 101, 369]",0.6865426555484285,0.713362085957437,0.8010232359837988,0.7546463427784089
5,300,10,"[162, 148, 108, 362]",0.6834381013470174,0.7156920082996192,0.7863994883820081,0.7493745157254437
6,400,5,"[157, 153, 88, 382]",0.682822322001283,0.7054888936780597,0.8118951183116605,0.7549541303353677
7,400,7,"[161, 149, 99, 371]",0.6864656831302117,0.7132955074145438,0.8009806011511404,0.7545924895336652
8,400,10,"[159, 151, 107, 363]",0.6835407312379731,0.716117190246092,0.7855894265615007,0.7492401516054871
9,500,5,"[156, 154, 87, 383]",0.6834637588197563,0.7061382666174462,0.8118951183116605,0.7553285419323161
10,500,7,"[160, 150, 98, 372]",0.6861064785118666,0.7130927366056524,0.8005116179918994,0.7542706934498963
11,500,10,"[161, 149, 106, 364]",0.6842078255291854,0.7164706294494586,0.786527392879983,0.7498596866746883
