,N_Estimators,Max_Depth,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,200,5,"[152, 158, 88, 382]","[141, 170, 80, 389]","[157, 154, 89, 380]","[153, 158, 78, 391]","[164, 147, 96, 373]","[145, 165, 82, 387]",[1532 1572  891 3800],[1501 1603  855 3836],[1481 1623  860 3831],[1525 1579  903 3788],[1518 1586  875 3816]
1,200,7,"[163, 147, 99, 371]","[155, 156, 84, 385]","[168, 143, 91, 378]","[158, 153, 84, 385]","[169, 142, 99, 370]","[154, 156, 88, 381]",[1623 1481  945 3746],[1586 1518  914 3777],[1552 1552  928 3763],[1599 1505  934 3757],[1602 1502  940 3751]
2,200,10,"[162, 148, 105, 365]","[164, 147, 95, 374]","[178, 133, 103, 366]","[165, 146, 95, 374]","[172, 139, 104, 365]","[155, 155, 100, 369]",[1660 1444 1013 3678],[1646 1458 1008 3683],[1602 1502 1004 3687],[1652 1452  991 3700],[1627 1477 1011 3680]
3,300,5,"[156, 154, 88, 382]","[143, 168, 80, 389]","[157, 154, 92, 377]","[153, 158, 78, 391]","[160, 151, 90, 379]","[147, 163, 83, 386]",[1537 1567  890 3801],[1507 1597  860 3831],[1491 1613  867 3824],[1530 1574  901 3790],[1507 1597  876 3815]
4,300,7,"[162, 148, 101, 369]","[156, 155, 85, 384]","[168, 143, 90, 379]","[157, 154, 83, 386]","[170, 141, 100, 369]","[153, 157, 88, 381]",[1624 1480  948 3743],[1598 1506  920 3771],[1545 1559  920 3771],[1608 1496  948 3743],[1595 1509  931 3760]
5,300,10,"[162, 148, 108, 362]","[167, 144, 95, 374]","[177, 134, 103, 366]","[164, 147, 93, 376]","[172, 139, 103, 366]","[156, 154, 98, 371]",[1667 1437 1013 3678],[1654 1450 1004 3687],[1586 1518  999 3692],[1652 1452  981 3710],[1633 1471 1013 3678]
6,400,5,"[157, 153, 88, 382]","[144, 167, 81, 388]","[156, 155, 93, 376]","[153, 158, 79, 390]","[161, 150, 93, 376]","[148, 162, 84, 385]",[1538 1566  891 3800],[1500 1604  862 3829],[1487 1617  870 3821],[1531 1573  906 3785],[1514 1590  883 3808]
7,400,7,"[161, 149, 99, 371]","[154, 157, 85, 384]","[169, 142, 91, 378]","[161, 150, 82, 387]","[170, 141, 99, 370]","[154, 156, 89, 380]",[1623 1481  946 3745],[1604 1500  921 3770],[1545 1559  929 3762],[1605 1499  943 3748],[1591 1513  929 3762]
8,400,10,"[159, 151, 107, 363]","[166, 145, 96, 373]","[177, 134, 102, 367]","[164, 147, 94, 375]","[173, 138, 105, 364]","[156, 154, 98, 371]",[1666 1438 1015 3676],[1660 1444 1012 3679],[1594 1510 1005 3686],[1654 1450  979 3712],[1641 1463 1018 3673]
9,500,5,"[156, 154, 87, 383]","[147, 164, 82, 387]","[155, 156, 90, 379]","[149, 162, 79, 390]","[162, 149, 93, 376]","[149, 161, 81, 388]",[1534 1570  889 3802],[1505 1599  864 3827],[1505 1599  876 3815],[1536 1568  902 3789],[1515 1589  881 3810]
10,500,7,"[160, 150, 98, 372]","[154, 157, 86, 383]","[169, 142, 91, 378]","[160, 151, 83, 386]","[170, 141, 100, 369]","[154, 156, 89, 380]",[1624 1480  951 3740],[1599 1505  919 3772],[1549 1555  932 3759],[1606 1498  946 3745],[1587 1517  931 3760]
11,500,10,"[161, 149, 106, 364]","[166, 145, 98, 371]","[178, 133, 103, 366]","[165, 146, 93, 376]","[174, 137, 105, 364]","[155, 155, 99, 370]",[1672 1432 1017 3674],[1657 1447 1010 3681],[1597 1507 1004 3687],[1655 1449  972 3719],[1638 1466 1004 3687]
