,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
18,rbf,10.0,10.0,,50,"[167, 143, 118, 352]","[146, 165, 103, 366]","[173, 138, 123, 346]","[150, 161, 95, 374]","[147, 164, 87, 382]","[140, 170, 100, 369]",[1580 1524 1096 3595],[1538 1566 1042 3649],[1609 1495 1106 3585],[1615 1489 1127 3564],[1602 1502 1156 3535]
19,poly,10.0,10.0,2.0,50,"[1, 309, 0, 470]","[10, 301, 18, 451]","[20, 291, 23, 446]","[9, 302, 7, 462]","[21, 290, 35, 434]","[21, 289, 20, 449]",[ 111 2993  129 4562],[ 136 2968  228 4463],[  95 3009  138 4553],[ 119 2985  132 4559],[  95 3009   97 4594]
20,poly,10.0,10.0,3.0,50,"[17, 293, 22, 448]","[7, 304, 6, 463]","[1, 310, 2, 467]","[10, 301, 6, 463]","[35, 276, 35, 434]","[31, 279, 46, 423]",[ 176 2928  186 4505],[ 259 2845  460 4231],[1030 2074 1485 3206],[ 427 2677  592 4099],[ 673 2431  929 3762]
21,linear,100.0,,,50,"[156, 154, 109, 361]","[149, 162, 101, 368]","[160, 151, 114, 355]","[151, 160, 93, 376]","[160, 151, 97, 372]","[156, 154, 108, 361]",[1576 1528 1079 3612],[1546 1558 1023 3668],[1523 1581 1000 3691],[1494 1610 1009 3682],[1484 1620 1013 3678]
22,rbf,100.0,1.0,,50,"[168, 142, 118, 352]","[151, 160, 107, 362]","[173, 138, 123, 346]","[151, 160, 96, 373]","[158, 153, 103, 366]","[152, 158, 107, 362]",[1625 1479 1139 3552],[1612 1492 1105 3586],[1647 1457 1140 3551],[1646 1458 1156 3535],[1640 1464 1190 3501]
23,poly,100.0,1.0,2.0,50,"[0, 310, 1, 469]","[10, 301, 15, 454]","[1, 310, 4, 465]","[6, 305, 4, 465]","[28, 283, 90, 379]","[19, 291, 22, 447]",[  97 3007  170 4521],[ 132 2972  204 4487],[ 159 2945  185 4506],[  87 3017   94 4597],[ 161 2943  158 4533]
24,poly,100.0,1.0,3.0,50,"[3, 307, 2, 468]","[32, 279, 41, 428]","[9, 302, 6, 463]","[10, 301, 7, 462]","[45, 266, 58, 411]","[43, 267, 66, 403]",[ 205 2899  238 4453],[ 814 2290 1202 3489],[ 243 2861  240 4451],[ 229 2875  242 4449],[ 181 2923  187 4504]
25,rbf,100.0,10.0,,50,"[167, 143, 118, 352]","[146, 165, 103, 366]","[173, 138, 123, 346]","[150, 161, 95, 374]","[147, 164, 87, 382]","[140, 170, 100, 369]",[1580 1524 1096 3595],[1538 1566 1042 3649],[1609 1495 1106 3585],[1615 1489 1127 3564],[1602 1502 1156 3535]
26,poly,100.0,10.0,2.0,50,"[2, 308, 0, 470]","[10, 301, 15, 454]","[1, 310, 3, 466]","[9, 302, 6, 463]","[16, 295, 16, 453]","[16, 294, 19, 450]",[  80 3024   77 4614],[ 102 3002  133 4558],[  78 3026   68 4623],[  90 3014  103 4588],[  72 3032   79 4612]
27,poly,100.0,10.0,3.0,50,"[14, 296, 11, 459]","[302, 9, 460, 9]","[17, 294, 10, 459]","[302, 9, 462, 7]","[50, 261, 87, 382]","[44, 266, 65, 404]",[ 793 2311 1136 3555],[ 246 2858  446 4245],[1487 1617 2211 2480],[1040 2064 1475 3216],[ 206 2898  296 4395]
28,linear,1000.0,,,50,"[156, 154, 110, 360]","[149, 162, 103, 366]","[161, 150, 112, 357]","[146, 165, 90, 379]","[195, 116, 130, 339]","[158, 152, 101, 368]",[1620 1484 1114 3577],[1581 1523 1086 3605],[1663 1441 1143 3548],[1546 1558 1064 3627],[1607 1497 1125 3566]
29,rbf,1000.0,1.0,,50,"[168, 142, 118, 352]","[151, 160, 107, 362]","[173, 138, 123, 346]","[151, 160, 96, 373]","[158, 153, 103, 366]","[152, 158, 107, 362]",[1625 1479 1139 3552],[1612 1492 1105 3586],[1647 1457 1140 3551],[1646 1458 1156 3535],[1640 1464 1190 3501]
30,poly,1000.0,1.0,2.0,50,"[2, 308, 1, 469]","[10, 301, 15, 454]","[5, 306, 13, 456]","[18, 293, 59, 410]","[25, 286, 44, 425]","[22, 288, 25, 444]",[ 121 2983  193 4498],[ 107 2997  162 4529],[ 150 2954  155 4536],[ 113 2991  129 4562],[  84 3020  115 4576]
31,poly,1000.0,1.0,3.0,50,"[13, 297, 12, 458]","[247, 64, 307, 162]","[34, 277, 45, 424]","[7, 304, 5, 464]","[55, 256, 78, 391]","[31, 279, 42, 427]",[ 447 2657  539 4152],[ 468 2636  757 3934],[ 869 2235 1281 3410],[ 461 2643  649 4042],[ 408 2696  517 4174]
32,rbf,1000.0,10.0,,50,"[167, 143, 118, 352]","[146, 165, 103, 366]","[173, 138, 123, 346]","[150, 161, 95, 374]","[147, 164, 87, 382]","[140, 170, 100, 369]",[1580 1524 1096 3595],[1538 1566 1042 3649],[1609 1495 1106 3585],[1615 1489 1127 3564],[1602 1502 1156 3535]
33,poly,1000.0,10.0,2.0,50,"[2, 308, 0, 470]","[11, 300, 17, 452]","[2, 309, 4, 465]","[7, 304, 7, 462]","[18, 293, 18, 451]","[17, 293, 21, 448]",[  79 3025   85 4606],[  95 3009  171 4520],[  85 3019   79 4612],[  87 3017  111 4580],[ 107 2997   88 4603]
34,poly,1000.0,10.0,3.0,50,"[2, 308, 2, 468]","[28, 283, 34, 435]","[0, 311, 2, 467]","[302, 9, 462, 7]","[66, 245, 92, 377]","[61, 249, 72, 397]",[ 563 2541  763 3928],[ 914 2190 1438 3253],[ 745 2359 1105 3586],[ 708 2396 1031 3660],[ 301 2803  554 4137]
