,Estimators,Learning Rate,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,25,0.1,"[119, 191, 69, 401]","[109, 202, 71, 398]","[132, 179, 78, 391]","[128, 183, 60, 409]","[116, 195, 57, 412]","[121, 189, 68, 401]",[1177 1927  716 3975],[1155 1949  691 4000],[1153 1951  707 3984],[1162 1942  697 3994],[1202 1902  723 3968]
1,25,0.2,"[151, 159, 96, 374]","[136, 175, 89, 380]","[146, 165, 90, 379]","[144, 167, 73, 396]","[149, 162, 78, 391]","[138, 172, 88, 381]",[1430 1674  892 3799],[1436 1668  876 3815],[1394 1710  882 3809],[1451 1653  887 3804],[1470 1634  888 3803]
2,25,0.3,"[157, 153, 99, 371]","[143, 168, 95, 374]","[156, 155, 96, 373]","[149, 162, 76, 393]","[154, 157, 88, 381]","[148, 162, 98, 371]",[1511 1593  951 3740],[1483 1621  915 3776],[1478 1626  932 3759],[1502 1602  914 3777],[1544 1560  948 3743]
3,25,0.4,"[161, 149, 101, 369]","[144, 167, 95, 374]","[159, 152, 97, 372]","[155, 156, 79, 390]","[154, 157, 89, 380]","[152, 158, 102, 367]",[1541 1563  975 3716],[1519 1585  933 3758],[1500 1604  948 3743],[1525 1579  942 3749],[1569 1535  983 3708]
4,25,0.5,"[166, 144, 102, 368]","[147, 164, 97, 372]","[163, 148, 98, 371]","[157, 154, 80, 389]","[156, 155, 87, 382]","[159, 151, 102, 367]",[1570 1534  977 3714],[1543 1561  941 3750],[1507 1597  946 3745],[1541 1563  947 3744],[1576 1528  986 3705]
5,50,0.1,"[150, 160, 96, 374]","[136, 175, 89, 380]","[146, 165, 90, 379]","[144, 167, 73, 396]","[149, 162, 78, 391]","[137, 173, 88, 381]",[1426 1678  888 3803],[1432 1672  870 3821],[1391 1713  879 3812],[1451 1653  885 3806],[1461 1643  885 3806]
6,50,0.2,"[161, 149, 101, 369]","[144, 167, 95, 374]","[159, 152, 97, 372]","[156, 155, 79, 390]","[154, 157, 89, 380]","[151, 159, 101, 368]",[1541 1563  974 3717],[1519 1585  932 3759],[1500 1604  947 3744],[1527 1577  940 3751],[1565 1539  978 3713]
7,50,0.3,"[164, 146, 102, 368]","[147, 164, 96, 373]","[167, 144, 96, 373]","[158, 153, 81, 388]","[157, 154, 86, 383]","[158, 152, 102, 367]",[1578 1526  974 3717],[1541 1563  939 3752],[1511 1593  945 3746],[1556 1548  948 3743],[1576 1528  986 3705]
8,50,0.4,"[163, 147, 102, 368]","[145, 166, 98, 371]","[171, 140, 98, 371]","[153, 158, 81, 388]","[158, 153, 87, 382]","[158, 152, 103, 366]",[1580 1524  980 3711],[1553 1551  942 3749],[1533 1571  951 3740],[1560 1544  948 3743],[1594 1510  985 3706]
9,50,0.5,"[163, 147, 100, 370]","[145, 166, 98, 371]","[173, 138, 97, 372]","[152, 159, 82, 387]","[158, 153, 88, 381]","[159, 151, 104, 365]",[1582 1522  980 3711],[1550 1554  942 3749],[1552 1552  964 3727],[1566 1538  947 3744],[1595 1509  981 3710]
10,75,0.1,"[157, 153, 99, 371]","[141, 170, 94, 375]","[156, 155, 96, 373]","[149, 162, 76, 393]","[154, 157, 87, 382]","[147, 163, 98, 371]",[1507 1597  945 3746],[1481 1623  913 3778],[1471 1633  927 3764],[1495 1609  911 3780],[1541 1563  946 3745]
11,75,0.2,"[164, 146, 102, 368]","[147, 164, 96, 373]","[166, 145, 96, 373]","[158, 153, 81, 388]","[157, 154, 86, 383]","[158, 152, 102, 367]",[1577 1527  975 3716],[1541 1563  939 3752],[1511 1593  945 3746],[1553 1551  947 3744],[1576 1528  984 3707]
12,75,0.3,"[162, 148, 102, 368]","[145, 166, 98, 371]","[173, 138, 97, 372]","[153, 158, 82, 387]","[158, 153, 87, 382]","[160, 150, 104, 365]",[1584 1520  980 3711],[1557 1547  943 3748],[1542 1562  955 3736],[1567 1537  948 3743],[1595 1509  977 3714]
13,75,0.4,"[162, 148, 98, 372]","[147, 164, 99, 370]","[175, 136, 99, 370]","[151, 160, 81, 388]","[160, 151, 91, 378]","[159, 151, 105, 364]",[1584 1520  980 3711],[1551 1553  943 3748],[1548 1556  971 3720],[1564 1540  944 3747],[1598 1506  984 3707]
14,75,0.5,"[166, 144, 97, 373]","[148, 163, 99, 370]","[177, 134, 99, 370]","[153, 158, 80, 389]","[162, 149, 92, 377]","[160, 150, 104, 365]",[1595 1509  979 3712],[1549 1555  946 3745],[1546 1558  969 3722],[1561 1543  942 3749],[1600 1504  980 3711]
