,Kernel,C,Gamma,Degree,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,100.0,,,50,0.5,"[170, 140, 101, 369]",0.6823861449647209,0.7093514667087926,0.8000426348326583,0.7519693579235793
1,linear,1000.0,,,50,0.5,"[170, 140, 101, 369]",0.682745349583066,0.7098090848727082,0.7998294606693669,0.7521321708160212
