,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,25,0.1,"[136, 174, 77, 393]",0.6704554201411161,0.6872160801479014,0.8303133660200384,0.7520178630812425
1,25,0.2,"[159, 151, 91, 379]",0.6798973701090442,0.7049317850793603,0.8050735450863356,0.7516817461553829
2,25,0.3,"[158, 152, 93, 377]",0.6835663887107118,0.7101671812200211,0.8011511404817735,0.7529199750014024
3,25,0.4,"[6, 304, 3, 467]",0.6095958948043618,0.6074456896412719,0.9929652526113835,0.7537707943236187
4,25,0.5,"[0, 310, 2, 468]",0.6020525978191148,0.601960935562927,0.9999147303346835,0.7515060238412546
5,50,0.1,"[158, 152, 91, 379]",0.6797177677998717,0.7046405546583948,0.8053719889149434,0.7516461527186322
6,50,0.2,"[158, 152, 91, 379]",0.6842591404746633,0.7116129049633441,0.7992325730121509,0.7528812892955276
7,50,0.3,"[159, 151, 93, 377]",0.6850801796023092,0.7130452193466464,0.797740353869111,0.7530184724897298
8,50,0.4,"[297, 13, 356, 114]",0.5458627325208467,0.8557998607246328,0.295160946493285,0.4386944157986036
9,50,0.5,"[309, 1, 462, 8]",0.4082360487491982,0.862511110313646,0.019825197186101044,0.03874389492482744
10,75,0.1,"[158, 152, 93, 377]",0.6833867864015394,0.7098839088931271,0.8014069494777232,0.7528737204098248
11,75,0.2,"[159, 151, 93, 377]",0.6850545221295702,0.7130342831857492,0.7976977190364527,0.7529933888353078
12,75,0.3,"[164, 146, 95, 375]",0.6866196279666452,0.7147280759234786,0.7976124493711362,0.7538986274686337
13,75,0.4,"[16, 294, 5, 465]",0.6173444515715202,0.612838046879824,0.9888723086761884,0.7567125937751005
14,75,0.5,"[0, 310, 2, 468]",0.6024887748556766,0.6022394560824101,0.9997868258367086,0.7516868814201129
