,Neighbors,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,5,"[173, 137, 126, 344]",0.6288646568313021,0.6783857326460082,0.7295672564485185,0.7027926662864042
1,10,"[164, 146, 118, 352]",0.638845413726748,0.7075226745409976,0.6817309742059262,0.6942383895294235
2,12,"[175, 135, 128, 342]",0.6461321359846055,0.7097669244434346,0.6969942442975912,0.7032822925810058
3,14,"[168, 142, 118, 352]",0.6478255291853752,0.710489158978344,0.7000213174163291,0.7051193436353378
4,16,"[170, 140, 119, 351]",0.6500064143681847,0.711278784536842,0.7043274355148157,0.7077215545448003
5,20,"[168, 142, 118, 352]",0.6508531109685696,0.7097731349727391,0.7102963120869752,0.7100081757875718
