,Alpha,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,"[129, 181, 80, 390]","[211, 100, 169, 300]","[146, 165, 80, 389]","[130, 181, 59, 410]","[193, 118, 129, 340]","[146, 164, 89, 380]",[1562 1542 1004 3687],[1673 1431 1079 3612],[1503 1601  956 3735],[1417 1687  834 3857],[1519 1585  981 3710]
1,0.0005,"[167, 143, 100, 370]","[136, 175, 93, 376]","[177, 134, 105, 364]","[153, 158, 86, 383]","[129, 182, 61, 408]","[144, 166, 84, 385]",[1517 1587  912 3779],[1659 1445 1052 3639],[1572 1532  952 3739],[1596 1508  974 3717],[1617 1487 1010 3681]
2,0.0008,"[169, 141, 112, 358]","[181, 130, 118, 351]","[179, 132, 104, 365]","[139, 172, 80, 389]","[163, 148, 97, 372]","[146, 164, 87, 382]",[1579 1525  956 3735],[1574 1530  995 3696],[1529 1575  914 3777],[1595 1509  986 3705],[1628 1476 1007 3684]
3,0.001,"[173, 137, 109, 361]","[162, 149, 99, 370]","[153, 158, 87, 382]","[139, 172, 76, 393]","[162, 149, 97, 372]","[147, 163, 89, 380]",[1544 1560  919 3772],[1568 1536  978 3713],[1587 1517  989 3702],[1580 1524  960 3731],[1606 1498  982 3709]
4,0.002,"[164, 146, 102, 368]","[156, 155, 96, 373]","[165, 146, 100, 369]","[137, 174, 66, 403]","[165, 146, 96, 373]","[145, 165, 83, 386]",[1565 1539  923 3768],[1578 1526  961 3730],[1602 1502  998 3693],[1609 1495  965 3726],[1607 1497  989 3702]
5,0.003,"[160, 150, 96, 374]","[155, 156, 100, 369]","[162, 149, 101, 368]","[183, 128, 108, 361]","[153, 158, 94, 375]","[143, 167, 83, 386]",[1584 1520  975 3716],[1558 1546  946 3745],[1545 1559  926 3765],[1584 1520  948 3743],[1591 1513  951 3740]
6,0.004,"[151, 159, 88, 382]","[151, 160, 96, 373]","[159, 152, 97, 372]","[179, 132, 103, 366]","[149, 162, 92, 377]","[147, 163, 84, 385]",[1552 1552  942 3749],[1515 1589  922 3769],[1516 1588  923 3768],[1633 1471 1009 3682],[1574 1530  952 3739]
7,0.005,"[148, 162, 88, 382]","[148, 163, 93, 376]","[157, 154, 96, 373]","[159, 152, 81, 388]","[154, 157, 97, 372]","[140, 170, 83, 386]",[1520 1584  924 3767],[1487 1617  911 3780],[1489 1615  901 3790],[1542 1562  939 3752],[1556 1548  944 3747]
8,0.01,"[139, 171, 81, 389]","[133, 178, 86, 383]","[149, 162, 83, 386]","[141, 170, 71, 398]","[134, 177, 75, 394]","[130, 180, 92, 377]",[1362 1742  819 3872],[1348 1756  790 3901],[1389 1715  828 3863],[1359 1745  822 3869],[1372 1732  804 3887]
