,Alpha,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,50,"[164, 146, 101, 369]","[147, 164, 94, 375]","[180, 131, 97, 372]","[132, 179, 65, 404]","[155, 156, 93, 376]","[151, 159, 96, 373]",[1607 1497  940 3751],[1609 1495  914 3777],[1629 1475  969 3722],[1614 1490  959 3732],[1601 1503  951 3740]
1,0.0001,100,"[162, 148, 99, 371]","[151, 160, 95, 374]","[182, 129, 98, 371]","[148, 163, 73, 396]","[165, 146, 107, 362]","[154, 156, 102, 367]",[1638 1466  976 3715],[1603 1501  921 3770],[1616 1488  954 3737],[1619 1485  974 3717],[1620 1484  956 3735]
2,0.0001,150,"[165, 145, 102, 368]","[146, 165, 92, 377]","[182, 129, 97, 372]","[156, 155, 77, 392]","[164, 147, 103, 366]","[152, 158, 99, 370]",[1639 1465  958 3733],[1619 1485  923 3768],[1611 1493  957 3734],[1612 1492  948 3743],[1602 1502  935 3756]
3,0.001,50,"[173, 137, 107, 363]","[149, 162, 100, 369]","[181, 130, 98, 371]","[164, 147, 83, 386]","[158, 153, 95, 374]","[155, 155, 101, 368]",[1636 1468  962 3729],[1616 1488  932 3759],[1612 1492  932 3759],[1623 1481  952 3739],[1629 1475  944 3747]
4,0.001,100,"[175, 135, 109, 361]","[148, 163, 101, 368]","[183, 128, 97, 372]","[164, 147, 83, 386]","[157, 154, 94, 375]","[152, 158, 101, 368]",[1630 1474  954 3737],[1613 1491  920 3771],[1607 1497  926 3765],[1626 1478  948 3743],[1614 1490  942 3749]
5,0.001,150,"[175, 135, 107, 363]","[147, 164, 101, 368]","[183, 128, 93, 376]","[164, 147, 80, 389]","[155, 156, 92, 377]","[152, 158, 101, 368]",[1629 1475  948 3743],[1605 1499  918 3773],[1618 1486  931 3760],[1628 1476  945 3746],[1615 1489  936 3755]
6,0.01,50,"[145, 165, 84, 386]","[131, 180, 84, 385]","[147, 164, 85, 384]","[123, 188, 57, 412]","[135, 176, 74, 395]","[130, 180, 87, 382]",[1360 1744  808 3883],[1346 1758  787 3904],[1332 1772  784 3907],[1338 1766  788 3903],[1352 1752  771 3920]
7,0.01,100,"[144, 166, 84, 386]","[128, 183, 85, 384]","[148, 163, 83, 386]","[123, 188, 57, 412]","[135, 176, 75, 394]","[132, 178, 86, 383]",[1360 1744  801 3890],[1345 1759  786 3905],[1326 1778  776 3915],[1341 1763  789 3902],[1358 1746  779 3912]
8,0.01,150,"[142, 168, 84, 386]","[128, 183, 84, 385]","[147, 164, 84, 385]","[123, 188, 57, 412]","[133, 178, 74, 395]","[131, 179, 86, 383]",[1356 1748  801 3890],[1352 1752  788 3903],[1329 1775  783 3908],[1340 1764  796 3895],[1359 1745  780 3911]
