,Kernel,C,Gamma,Degree,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,0.1,,,"[165, 145, 97, 373]",0.6825400898011547,0.7087514994828077,0.802131741632914,0.752546581237244
1,rbf,0.1,1.0,,"[14, 296, 3, 467]",0.618242463117383,0.6152686494648865,0.9762097633766788,0.7547758674667486
2,poly,0.1,1.0,2.0,"[155, 155, 100, 370]",0.6772033354714561,0.7064872651241917,0.7932210616073332,0.7473138499599671
3,poly,0.1,1.0,3.0,"[116, 194, 206, 264]",0.5637459910198845,0.6024880899172775,0.808313792368365,0.6902828023894044
4,rbf,0.1,10.0,,"[0, 310, 0, 470]",0.6026427196921104,0.6025068740127443,0.9983798763589853,0.7514962454861192
5,poly,0.1,10.0,2.0,"[86, 224, 160, 310]",0.5303399615137908,0.5896388734675276,0.7218503517373696,0.6490134655744316
6,poly,0.1,10.0,3.0,"[72, 238, 180, 290]",0.5430660679923027,0.5942115613052568,0.7592410999786825,0.6666442709634718
7,linear,1.0,,,"[164, 146, 96, 374]",0.6824118024374599,0.7086800978294118,0.8019612023022809,0.7524320912320003
8,rbf,1.0,1.0,,"[148, 162, 106, 364]",0.66578576010263,0.6965599549638044,0.7878490726923897,0.7393929171957508
9,poly,1.0,1.0,2.0,"[54, 256, 138, 332]",0.548890314304041,0.595585581995066,0.7799189938179493,0.6753537627664261
10,poly,1.0,1.0,3.0,"[62, 248, 161, 309]",0.5441949967928159,0.5932718309576513,0.771093583457685,0.6704231602122745
11,rbf,1.0,10.0,,"[76, 234, 49, 421]",0.6278896728672226,0.6426409065354262,0.859774035386911,0.7354839022517837
12,poly,1.0,10.0,2.0,"[101, 209, 114, 356]",0.5352405388069276,0.5928182979363148,0.7267959923257301,0.652950573965337
13,poly,1.0,10.0,3.0,"[60, 250, 139, 331]",0.5476587556125722,0.5952476209554739,0.7760392240460456,0.673700828593887
14,linear,10.0,,,"[164, 146, 96, 374]",0.6825657472738935,0.7089648160764901,0.8016201236410148,0.7524432729767406
15,rbf,10.0,1.0,,"[141, 169, 123, 347]",0.6484926234765875,0.6942199471981082,0.7432956725644851,0.7179134134528867
16,poly,10.0,1.0,2.0,"[78, 232, 141, 329]",0.5282617062219372,0.5885693001828723,0.7173736943082499,0.6465210334363094
17,poly,10.0,1.0,3.0,"[78, 232, 149, 321]",0.5473765234124439,0.5951362552503832,0.7736943082498401,0.6726457317040851
18,rbf,10.0,10.0,,"[76, 234, 49, 421]",0.6278896728672226,0.6426409065354262,0.859774035386911,0.7354839022517837
19,poly,10.0,10.0,2.0,"[69, 241, 163, 307]",0.5194098781270046,0.5834153716752697,0.7035600085269665,0.6376329036135219
20,poly,10.0,10.0,3.0,"[67, 243, 86, 384]",0.5481205901218731,0.5958820810235151,0.7738648475804732,0.6732161134874175
21,linear,100.0,,,"[163, 147, 92, 378]",0.6815907633098138,0.7089533344558081,0.7988914943508847,0.7512342602885635
22,rbf,100.0,1.0,,"[141, 169, 123, 347]",0.6484926234765875,0.6942199471981082,0.7432956725644851,0.7179134134528867
23,poly,100.0,1.0,2.0,"[93, 217, 121, 349]",0.5306991661321361,0.5905472898321318,0.7179705819654657,0.6480285458976757
24,poly,100.0,1.0,3.0,"[76, 234, 121, 349]",0.5455291853752406,0.5953114452962102,0.7644851843956513,0.6693052535623432
25,rbf,100.0,10.0,,"[76, 234, 49, 421]",0.6278896728672226,0.6426409065354262,0.859774035386911,0.7354839022517837
26,poly,100.0,10.0,2.0,"[81, 229, 165, 305]",0.5293393200769725,0.5885973273768789,0.723896823704967,0.649211038260018
27,poly,100.0,10.0,3.0,"[68, 242, 93, 377]",0.5259012187299551,0.5921793583565329,0.680793007887444,0.6316441247751357
28,linear,1000.0,,,"[96, 214, 82, 388]",0.6093136626042335,0.6714280341629435,0.6911959070560647,0.6791556104644985
29,rbf,1000.0,1.0,,"[141, 169, 123, 347]",0.6484926234765875,0.6942199471981082,0.7432956725644851,0.7179134134528867
30,poly,1000.0,1.0,2.0,"[70, 240, 149, 321]",0.5198973701090444,0.583434960209577,0.7047537838413984,0.6380393200321985
31,poly,1000.0,1.0,3.0,"[68, 242, 101, 369]",0.5549198203976908,0.5982605459685806,0.7926241739501172,0.6818455392921103
32,rbf,1000.0,10.0,,"[76, 234, 49, 421]",0.6278896728672226,0.6426409065354262,0.859774035386911,0.7354839022517837
33,poly,1000.0,10.0,2.0,"[69, 241, 163, 307]",0.5296472097498396,0.5896940833329101,0.7176295033041995,0.6471198615669043
34,poly,1000.0,10.0,3.0,"[68, 242, 128, 342]",0.51445798588839,0.5937913410249178,0.6117245789810275,0.5936039218324064
