,Kernel,C,Gamma,Degree,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,100.0,,,50,0.5,"[169, 141, 104, 366]",0.6873893521488134,0.7155183587367376,0.7976977190364527,0.7543742173479172
1,linear,1000.0,,,50,0.5,"[170, 140, 104, 366]",0.6873636946760744,0.7159217075721998,0.7965892133873373,0.7541011540262825
