,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,"[165, 145, 97, 373]","[159, 152, 97, 372]","[183, 128, 88, 381]","[144, 167, 85, 384]","[161, 150, 95, 374]","[155, 155, 102, 367]",[1600 1504  939 3752],[1533 1571  914 3777],[1532 1572  922 3769],[1549 1555  918 3773],[1574 1530  948 3743]
1,rbf,0.1,1.0,,"[14, 296, 3, 467]","[4, 307, 2, 467]","[23, 288, 6, 463]","[16, 295, 4, 465]","[59, 252, 23, 446]","[17, 293, 11, 458]",[ 216 2888   92 4599],[ 203 2901  101 4590],[ 199 2905  101 4590],[ 204 2900   89 4602],[ 377 2727  175 4516]
2,poly,0.1,1.0,2.0,"[155, 155, 100, 370]","[161, 150, 92, 377]","[165, 146, 97, 372]","[141, 170, 92, 377]","[159, 152, 94, 375]","[167, 143, 106, 363]",[1615 1489 1026 3665],[1560 1544  963 3728],[1526 1578  940 3751],[1575 1529  985 3706],[1513 1591  936 3755]
3,poly,0.1,1.0,3.0,"[116, 194, 206, 264]","[81, 230, 134, 335]","[36, 275, 48, 421]","[88, 223, 138, 331]","[50, 261, 85, 384]","[72, 238, 133, 336]",[ 647 2457 1034 3657],[ 671 2433  947 3744],[ 570 2534  938 3753],[ 618 2486  859 3832],[ 507 2597  718 3973]
4,rbf,0.1,10.0,,"[0, 310, 0, 470]","[0, 311, 0, 469]","[0, 311, 0, 469]","[4, 307, 1, 468]","[2, 309, 2, 467]","[0, 310, 0, 469]",[   6 3098    3 4688],[  13 3091    5 4686],[  16 3088    8 4683],[   5 3099    3 4688],[  31 3073   19 4672]
5,poly,0.1,10.0,2.0,"[86, 224, 160, 310]","[75, 236, 134, 335]","[76, 235, 142, 327]","[87, 224, 132, 337]","[44, 267, 103, 366]","[86, 224, 192, 277]",[ 789 2315 1466 3225],[ 760 2344 1277 3414],[ 782 2322 1306 3385],[ 740 2364 1231 3460],[ 668 2436 1244 3447]
6,poly,0.1,10.0,3.0,"[72, 238, 180, 290]","[69, 242, 123, 346]","[78, 233, 134, 335]","[74, 237, 116, 353]","[33, 278, 50, 419]","[88, 222, 189, 280]",[ 602 2502 1088 3603],[ 707 2397 1110 3581],[ 676 2428 1096 3595],[ 646 2458 1187 3504],[ 727 2377 1166 3525]
7,linear,1.0,,,"[164, 146, 96, 374]","[159, 152, 97, 372]","[183, 128, 88, 381]","[145, 166, 85, 384]","[161, 150, 95, 374]","[155, 155, 102, 367]",[1600 1504  939 3752],[1532 1572  917 3774],[1533 1571  926 3765],[1550 1554  916 3775],[1572 1532  947 3744]
8,rbf,1.0,1.0,,"[148, 162, 106, 364]","[148, 163, 99, 370]","[140, 171, 79, 390]","[161, 150, 102, 367]","[162, 149, 102, 367]","[144, 166, 98, 371]",[1492 1612  969 3722],[1508 1596  976 3715],[1451 1653 1031 3660],[1504 1600  976 3715],[1515 1589 1024 3667]
9,poly,1.0,1.0,2.0,"[54, 256, 138, 332]","[63, 248, 128, 341]","[53, 258, 76, 393]","[68, 243, 147, 322]","[48, 263, 81, 388]","[99, 211, 128, 341]",[ 595 2509 1064 3627],[ 555 2549 1010 3681],[ 600 2504  926 3765],[ 656 2448 1165 3526],[ 694 2410  997 3694]
10,poly,1.0,1.0,3.0,"[62, 248, 161, 309]","[88, 223, 148, 321]","[56, 255, 115, 354]","[59, 252, 144, 325]","[53, 258, 78, 391]","[76, 234, 164, 305]",[ 646 2458 1227 3464],[ 638 2466 1095 3596],[ 673 2431 1094 3597],[ 684 2420 1124 3567],[ 483 2621  829 3862]
11,rbf,1.0,10.0,,"[76, 234, 49, 421]","[84, 227, 65, 404]","[86, 225, 49, 420]","[79, 232, 58, 411]","[124, 187, 92, 377]","[74, 236, 65, 404]",[ 852 2252  607 4084],[ 867 2237  656 4035],[ 857 2247  687 4004],[ 814 2290  595 4096],[ 916 2188  744 3947]
12,poly,1.0,10.0,2.0,"[101, 209, 114, 356]","[81, 230, 172, 297]","[95, 216, 156, 313]","[89, 222, 123, 346]","[49, 262, 78, 391]","[105, 205, 123, 346]",[ 795 2309 1290 3401],[ 811 2293 1372 3319],[ 734 2370 1122 3569],[ 746 2358 1294 3397],[ 728 2376 1330 3361]
13,poly,1.0,10.0,3.0,"[60, 250, 139, 331]","[75, 236, 132, 337]","[48, 263, 80, 389]","[70, 241, 112, 357]","[47, 264, 94, 375]","[71, 239, 119, 350]",[ 591 2513 1031 3660],[ 696 2408 1114 3577],[ 624 2480  987 3704],[ 620 2484 1093 3598],[ 612 2492 1028 3663]
14,linear,10.0,,,"[164, 146, 96, 374]","[158, 153, 98, 371]","[183, 128, 88, 381]","[145, 166, 85, 384]","[161, 150, 95, 374]","[156, 154, 101, 368]",[1600 1504  939 3752],[1534 1570  920 3771],[1538 1566  929 3762],[1553 1551  918 3773],[1576 1528  947 3744]
15,rbf,10.0,1.0,,"[141, 169, 123, 347]","[150, 161, 126, 343]","[152, 159, 102, 367]","[165, 146, 117, 352]","[165, 146, 121, 348]","[158, 152, 125, 344]",[1539 1565 1177 3514],[1603 1501 1182 3509],[1550 1554 1236 3455],[1596 1508 1172 3519],[1553 1551 1254 3437]
16,poly,10.0,1.0,2.0,"[78, 232, 141, 329]","[66, 245, 146, 323]","[71, 240, 149, 320]","[118, 193, 152, 317]","[46, 265, 98, 371]","[101, 209, 236, 233]",[ 795 2309 1521 3170],[ 761 2343 1275 3416],[ 787 2317 1338 3353],[ 734 2370 1298 3393],[ 686 2418 1197 3494]
17,poly,10.0,1.0,3.0,"[78, 232, 149, 321]","[64, 247, 114, 355]","[105, 206, 177, 292]","[83, 228, 187, 282]","[44, 267, 72, 397]","[80, 230, 210, 259]",[ 666 2438 1187 3504],[ 624 2480  930 3761],[ 614 2490  895 3796],[ 645 2459 1289 3402],[ 638 2466 1007 3684]
18,rbf,10.0,10.0,,"[76, 234, 49, 421]","[84, 227, 65, 404]","[86, 225, 49, 420]","[79, 232, 58, 411]","[124, 187, 92, 377]","[74, 236, 65, 404]",[ 852 2252  607 4084],[ 867 2237  656 4035],[ 857 2247  687 4004],[ 814 2290  595 4096],[ 916 2188  744 3947]
19,poly,10.0,10.0,2.0,"[69, 241, 163, 307]","[75, 236, 143, 326]","[87, 224, 130, 339]","[72, 239, 173, 296]","[79, 232, 134, 335]","[92, 218, 175, 294]",[ 786 2318 1521 3170],[ 688 2416 1245 3446],[ 704 2400 1249 3442],[ 888 2216 1604 3087],[ 676 2428 1334 3357]
20,poly,10.0,10.0,3.0,"[67, 243, 86, 384]","[44, 267, 69, 400]","[42, 269, 79, 390]","[79, 232, 143, 326]","[54, 257, 119, 350]","[90, 220, 133, 336]",[ 567 2537  885 3806],[ 659 2445 1129 3562],[ 714 2390 1148 3543],[ 604 2500 1031 3660],[ 668 2436 1111 3580]
21,linear,100.0,,,"[163, 147, 92, 378]","[163, 148, 102, 367]","[178, 133, 90, 379]","[147, 164, 90, 379]","[164, 147, 96, 373]","[155, 155, 100, 369]",[1608 1496  949 3742],[1546 1558  934 3757],[1555 1549  955 3736],[1551 1553  925 3766],[1567 1537  954 3737]
22,rbf,100.0,1.0,,"[141, 169, 123, 347]","[150, 161, 126, 343]","[152, 159, 102, 367]","[165, 146, 117, 352]","[165, 146, 121, 348]","[158, 152, 125, 344]",[1539 1565 1177 3514],[1603 1501 1182 3509],[1550 1554 1236 3455],[1596 1508 1172 3519],[1553 1551 1254 3437]
23,poly,100.0,1.0,2.0,"[93, 217, 121, 349]","[77, 234, 155, 314]","[60, 251, 134, 335]","[109, 202, 161, 308]","[87, 224, 196, 273]","[82, 228, 185, 284]",[ 791 2313 1374 3317],[ 803 2301 1366 3325],[ 781 2323 1331 3360],[ 767 2337 1252 3439],[ 702 2402 1292 3399]
24,poly,100.0,1.0,3.0,"[76, 234, 121, 349]","[73, 238, 142, 327]","[47, 264, 75, 394]","[61, 250, 166, 303]","[53, 258, 127, 342]","[61, 249, 107, 362]",[ 618 2486 1084 3607],[ 640 2464 1140 3551],[ 745 2359 1071 3620],[ 726 2378 1239 3452],[ 602 2502  990 3701]
