,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
19,poly,10.0,10.0,2.0,50,"[55, 255, 120, 350]","[43, 268, 79, 390]","[38, 273, 67, 402]","[42, 269, 113, 356]","[52, 259, 85, 384]","[74, 236, 149, 320]",[ 487 2617  988 3703],[ 473 2631  925 3766],[ 459 2645  888 3803],[ 459 2645  885 3806],[ 489 2615  944 3747]
20,poly,10.0,10.0,3.0,50,"[63, 247, 138, 332]","[40, 271, 82, 387]","[45, 266, 71, 398]","[48, 263, 108, 361]","[55, 256, 114, 355]","[67, 243, 147, 322]",[ 522 2582  981 3710],[ 508 2596  909 3782],[ 502 2602  903 3788],[ 451 2653  808 3883],[ 497 2607  977 3714]
21,linear,100.0,,,50,"[163, 147, 93, 377]","[151, 160, 90, 379]","[171, 140, 94, 375]","[156, 155, 87, 382]","[159, 152, 94, 375]","[158, 152, 107, 362]",[1595 1509  944 3747],[1593 1511  938 3753],[1597 1507  949 3742],[1601 1503  953 3738],[1582 1522  944 3747]
22,rbf,100.0,1.0,,50,"[169, 141, 135, 335]","[152, 159, 117, 352]","[164, 147, 119, 350]","[170, 141, 115, 354]","[161, 150, 113, 356]","[152, 158, 126, 343]",[1618 1486 1228 3463],[1621 1483 1240 3451],[1642 1462 1246 3445],[1619 1485 1235 3456],[1617 1487 1226 3465]
23,poly,100.0,1.0,2.0,50,"[49, 261, 107, 363]","[51, 260, 107, 362]","[38, 273, 77, 392]","[48, 263, 114, 355]","[50, 261, 75, 394]","[68, 242, 155, 314]",[ 492 2612  973 3718],[ 469 2635  952 3739],[ 456 2648  907 3784],[ 453 2651  916 3775],[ 459 2645  880 3811]
24,poly,100.0,1.0,3.0,50,"[59, 251, 98, 372]","[43, 268, 88, 381]","[36, 275, 62, 407]","[45, 266, 92, 377]","[50, 261, 79, 390]","[68, 242, 138, 331]",[ 477 2627  813 3878],[ 465 2639  839 3852],[ 451 2653  793 3898],[ 432 2672  699 3992],[ 466 2638  822 3869]
25,rbf,100.0,10.0,,50,"[112, 198, 101, 369]","[117, 194, 86, 383]","[121, 190, 90, 379]","[136, 175, 87, 382]","[120, 191, 82, 387]","[90, 220, 68, 401]",[1220 1884  897 3794],[1251 1853  897 3794],[1239 1865  885 3806],[1238 1866  906 3785],[1228 1876  871 3820]
26,poly,100.0,10.0,2.0,50,"[56, 254, 145, 325]","[37, 274, 108, 361]","[40, 271, 75, 394]","[43, 268, 105, 364]","[54, 257, 90, 379]","[76, 234, 164, 305]",[ 484 2620 1034 3657],[ 468 2636  917 3774],[ 459 2645  875 3816],[ 485 2619  849 3842],[ 480 2624  957 3734]
27,poly,100.0,10.0,3.0,50,"[67, 243, 133, 337]","[61, 250, 128, 341]","[29, 282, 46, 423]","[37, 274, 103, 366]","[48, 263, 67, 402]","[61, 249, 136, 333]",[ 492 2612  985 3706],[ 511 2593  910 3781],[ 497 2607  896 3795],[ 484 2620  878 3813],[ 511 2593  962 3729]
28,linear,1000.0,,,50,"[172, 138, 100, 370]","[159, 152, 102, 367]","[141, 170, 80, 389]","[156, 155, 89, 380]","[124, 187, 63, 406]","[186, 124, 142, 327]",[1604 1500 1015 3676],[1578 1526  983 3708],[1504 1600  923 3768],[1593 1511 1033 3658],[1673 1431 1051 3640]
29,rbf,1000.0,1.0,,50,"[169, 141, 135, 335]","[152, 159, 117, 352]","[164, 147, 119, 350]","[170, 141, 115, 354]","[161, 150, 113, 356]","[152, 158, 126, 343]",[1618 1486 1228 3463],[1621 1483 1240 3451],[1642 1462 1246 3445],[1619 1485 1235 3456],[1617 1487 1226 3465]
30,poly,1000.0,1.0,2.0,50,"[57, 253, 96, 374]","[44, 267, 100, 369]","[45, 266, 65, 404]","[42, 269, 128, 341]","[54, 257, 73, 396]","[70, 240, 152, 317]",[ 509 2595  925 3766],[ 473 2631  937 3754],[ 474 2630  932 3759],[ 481 2623  901 3790],[ 469 2635  964 3727]
31,poly,1000.0,1.0,3.0,50,"[58, 252, 110, 360]","[48, 263, 86, 383]","[49, 262, 86, 383]","[56, 255, 120, 349]","[60, 251, 115, 354]","[63, 247, 132, 337]",[ 538 2566  982 3709],[ 516 2588  959 3732],[ 513 2591  946 3745],[ 496 2608  912 3779],[ 522 2582  928 3763]
32,rbf,1000.0,10.0,,50,"[112, 198, 101, 369]","[117, 194, 86, 383]","[121, 190, 90, 379]","[136, 175, 87, 382]","[120, 191, 82, 387]","[90, 220, 68, 401]",[1220 1884  897 3794],[1251 1853  897 3794],[1239 1865  885 3806],[1238 1866  906 3785],[1228 1876  871 3820]
33,poly,1000.0,10.0,2.0,50,"[51, 259, 110, 360]","[47, 264, 108, 361]","[47, 264, 83, 386]","[46, 265, 123, 346]","[52, 259, 108, 361]","[70, 240, 157, 312]",[ 486 2618 1033 3658],[ 462 2642  903 3788],[ 450 2654  892 3799],[ 457 2647  870 3821],[ 462 2642  955 3736]
34,poly,1000.0,10.0,3.0,50,"[63, 247, 140, 330]","[62, 249, 116, 353]","[46, 265, 70, 399]","[63, 248, 120, 349]","[54, 257, 96, 373]","[63, 247, 137, 332]",[ 540 2564 1003 3688],[ 526 2578  913 3778],[ 495 2609  874 3817],[ 514 2590  955 3736],[ 481 2623  860 3831]
