,Neighbors,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,5,"[159, 151, 134, 336]",0.6445157152020526,0.6915660086968887,0.7388190151353656,0.7144058556836033
1,10,"[185, 125, 142, 328]",0.6547530468248878,0.7198236763569312,0.6979748454487316,0.7087298844745085
2,12,"[173, 137, 140, 330]",0.6576779987171264,0.7177925966074976,0.7105094862502666,0.7141323183132097
3,14,"[176, 134, 133, 337]",0.6602180885182809,0.7159537142500667,0.7217224472393946,0.7188258288533244
4,16,"[178, 132, 136, 334]",0.6628094932649135,0.7149356856510979,0.7312726497548496,0.7230114972953018
5,20,"[171, 139, 129, 341]",0.6663502245028864,0.7131382384490209,0.7454274141973992,0.7289253122005381
