,Kernel,C,Gamma,Degree,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,0.1,,,"[145, 165, 100, 370]",0.6651186658114175,0.6971080411535483,0.7843530164144106,0.7381498074432831
1,rbf,0.1,1.0,,"[164, 146, 118, 352]",0.6698652982681206,0.707701585233296,0.7690897463227457,0.7370936385505317
2,poly,0.1,1.0,2.0,"[177, 133, 144, 326]",0.6521872995509942,0.7162894485611622,0.6988701769345556,0.7074345686607761
3,poly,0.1,1.0,3.0,"[178, 132, 144, 326]",0.6414111610006413,0.6761121802936325,0.7810701342997228,0.7233288224234526
4,rbf,0.1,10.0,,"[161, 149, 112, 358]",0.6578319435535599,0.6843724625778235,0.8010232359837989,0.7380224095617696
5,poly,0.1,10.0,2.0,"[299, 11, 464, 6]",0.5577934573444515,0.6132907408953132,0.7151566830100192,0.6542462160907518
6,poly,0.1,10.0,3.0,"[272, 38, 372, 98]",0.5255933290570878,0.6080650315296428,0.5946706459177148,0.59874979287905
7,linear,1.0,,,"[145, 165, 100, 370]",0.6650673508659397,0.697146033950149,0.7840972074184609,0.7380575914790389
8,rbf,1.0,1.0,,"[166, 144, 118, 352]",0.6664785118665811,0.7083035522970446,0.7579194201662759,0.7322599283166291
9,poly,1.0,1.0,2.0,"[177, 133, 144, 326]",0.6519563822963439,0.7104289954205975,0.7120869750586228,0.7111841885215561
10,poly,1.0,1.0,3.0,"[186, 124, 155, 315]",0.5727517639512508,0.6273860261337103,0.7168194414836921,0.6616291839353258
11,rbf,1.0,10.0,,"[167, 143, 118, 352]",0.6634509300833867,0.7030971187403974,0.7629503304199531,0.7317821654512613
12,poly,1.0,10.0,2.0,"[10, 300, 6, 464]",0.5625914047466324,0.6035041187889385,0.7950543594116393,0.6841924840618991
13,poly,1.0,10.0,3.0,"[21, 289, 15, 455]",0.5234637588197563,0.6018686340664994,0.6147516520997656,0.6059403676080899
14,linear,10.0,,,"[145, 165, 100, 370]",0.6650160359204619,0.6968470038541806,0.7848219995736516,0.738206141594332
15,rbf,10.0,1.0,,"[168, 142, 118, 352]",0.6647081462475947,0.707165650204834,0.75583031336602,0.7306820471557165
16,poly,10.0,1.0,2.0,"[291, 19, 448, 22]",0.5561770365618987,0.6117340992997793,0.7243231720315497,0.6559744572923752
17,poly,10.0,1.0,3.0,"[3, 307, 4, 466]",0.5395253367543298,0.6137971438811831,0.634193135791942,0.6219400492288036
18,rbf,10.0,10.0,,"[167, 143, 118, 352]",0.6634509300833867,0.7030971187403974,0.7629503304199531,0.7317821654512613
19,poly,10.0,10.0,2.0,"[178, 132, 144, 326]",0.5401411161000641,0.600180674899135,0.7117032615646983,0.6460259326180535
20,poly,10.0,10.0,3.0,"[4, 306, 6, 464]",0.5476587556125722,0.6038812038026391,0.7215945427414198,0.654359713122647
21,linear,100.0,,,"[155, 155, 109, 361]",0.6654265554842848,0.697608282301152,0.7839693029204859,0.7382112363768114
22,rbf,100.0,1.0,,"[168, 142, 118, 352]",0.6647081462475947,0.707165650204834,0.75583031336602,0.7306820471557165
23,poly,100.0,1.0,2.0,"[29, 281, 23, 447]",0.5501988454137268,0.6129340522112685,0.6881688339373268,0.6426037870332084
24,poly,100.0,1.0,3.0,"[3, 307, 2, 468]",0.5345477870429762,0.6044876186144045,0.6572585802600724,0.6175226097654894
25,rbf,100.0,10.0,,"[167, 143, 118, 352]",0.6634509300833867,0.7030971187403974,0.7629503304199531,0.7317821654512613
26,poly,100.0,10.0,2.0,"[5, 305, 6, 464]",0.557613855035279,0.6001480399617533,0.7917714772969516,0.6754840040964779
27,poly,100.0,10.0,3.0,"[13, 297, 11, 459]",0.5270814624759461,0.6023922221668528,0.6299296525261139,0.6124901255605589
28,linear,1000.0,,,"[168, 142, 120, 350]",0.6430532392559332,0.6877068571467055,0.7481986783201876,0.7156122028801637
29,rbf,1000.0,1.0,,"[168, 142, 118, 352]",0.6647081462475947,0.707165650204834,0.75583031336602,0.7306820471557165
30,poly,1000.0,1.0,2.0,"[155, 155, 123, 347]",0.5194868505452214,0.5961773893655764,0.6227243658068643,0.6071568843228001
31,poly,1000.0,1.0,3.0,"[2, 308, 2, 468]",0.5456318152661963,0.6036890440802276,0.7129396717117886,0.6461007177620163
32,rbf,1000.0,10.0,,"[167, 143, 118, 352]",0.6634509300833867,0.7030971187403974,0.7629503304199531,0.7317821654512613
33,poly,1000.0,10.0,2.0,"[3, 307, 3, 467]",0.5301347017318794,0.5955996957196101,0.6759752717970582,0.6307256701728403
34,poly,1000.0,10.0,3.0,"[1, 309, 0, 470]",0.55325208466966,0.602370927421724,0.7576209763376679,0.6696137967878567
