,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,100,"[203, 107, 155, 315]","[193, 118, 160, 309]","[207, 104, 139, 330]","[216, 95, 146, 323]","[205, 106, 158, 311]","[194, 116, 153, 316]",[2039 1065 1574 3117],[2027 1077 1576 3115],[2017 1087 1574 3117],[2008 1096 1587 3104],[2008 1096 1553 3138]
1,200,"[202, 108, 155, 315]","[192, 119, 161, 308]","[206, 105, 139, 330]","[216, 95, 146, 323]","[205, 106, 159, 310]","[193, 117, 152, 317]",[2035 1069 1576 3115],[2027 1077 1576 3115],[2017 1087 1575 3116],[2010 1094 1594 3097],[2009 1095 1550 3141]
2,300,"[202, 108, 155, 315]","[192, 119, 161, 308]","[207, 104, 139, 330]","[216, 95, 146, 323]","[206, 105, 159, 310]","[194, 116, 151, 318]",[2038 1066 1576 3115],[2029 1075 1575 3116],[2016 1088 1574 3117],[2014 1090 1593 3098],[2012 1092 1553 3138]
3,400,"[202, 108, 155, 315]","[192, 119, 161, 308]","[207, 104, 139, 330]","[216, 95, 146, 323]","[205, 106, 159, 310]","[193, 117, 151, 318]",[2037 1067 1575 3116],[2027 1077 1576 3115],[2018 1086 1573 3118],[2014 1090 1595 3096],[2009 1095 1553 3138]
4,500,"[202, 108, 155, 315]","[192, 119, 161, 308]","[206, 105, 139, 330]","[216, 95, 146, 323]","[206, 105, 159, 310]","[193, 117, 151, 318]",[2037 1067 1577 3114],[2027 1077 1578 3113],[2017 1087 1573 3118],[2015 1089 1596 3095],[2011 1093 1553 3138]
5,800,"[203, 107, 155, 315]","[192, 119, 161, 308]","[207, 104, 139, 330]","[216, 95, 146, 323]","[206, 105, 159, 310]","[194, 116, 151, 318]",[2040 1064 1578 3113],[2025 1079 1575 3116],[2018 1086 1571 3120],[2014 1090 1595 3096],[2012 1092 1556 3135]
6,1000,"[202, 108, 155, 315]","[192, 119, 160, 309]","[207, 104, 139, 330]","[216, 95, 146, 323]","[206, 105, 159, 310]","[194, 116, 151, 318]",[2040 1064 1577 3114],[2025 1079 1575 3116],[2018 1086 1572 3119],[2013 1091 1595 3096],[2010 1094 1555 3136]
