,Estimators,Learning Rate,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,25,0.1,"[131, 179, 74, 396]","[124, 187, 82, 387]","[132, 179, 81, 388]","[130, 181, 64, 405]","[131, 180, 76, 393]","[128, 182, 79, 390]",[1303 1801  803 3888],[1311 1793  780 3911],[1326 1778  791 3900],[1315 1789  782 3909],[1330 1774  779 3912]
1,25,0.2,"[155, 155, 91, 379]","[144, 167, 95, 374]","[147, 164, 93, 376]","[154, 157, 74, 395]","[154, 157, 87, 382]","[149, 161, 91, 378]",[1505 1599  926 3765],[1519 1585  915 3776],[1514 1590  922 3769],[1509 1595  915 3776],[1516 1588  936 3755]
2,25,0.3,"[161, 149, 94, 376]","[148, 163, 99, 370]","[154, 157, 94, 375]","[157, 154, 81, 388]","[159, 152, 88, 381]","[152, 158, 97, 372]",[1553 1551  953 3738],[1555 1549  947 3744],[1562 1542  945 3746],[1569 1535  943 3748],[1570 1534  958 3733]
3,25,0.4,"[161, 149, 94, 376]","[151, 160, 100, 369]","[152, 159, 95, 374]","[160, 151, 82, 387]","[160, 151, 90, 379]","[151, 159, 99, 370]",[1569 1535  958 3733],[1568 1536  947 3744],[1580 1524  945 3746],[1595 1509  960 3731],[1601 1503  966 3725]
4,25,0.5,"[6, 304, 3, 467]","[145, 166, 97, 372]","[21, 290, 4, 465]","[3, 308, 0, 469]","[32, 279, 11, 458]","[11, 299, 1, 468]",[ 362 2742  194 4497],[ 279 2825  115 4576],[ 486 2618  224 4467],[ 290 2814  130 4561],[ 243 2861   85 4606]
5,50,0.1,"[155, 155, 90, 380]","[144, 167, 94, 375]","[147, 164, 93, 376]","[153, 158, 74, 395]","[154, 157, 87, 382]","[148, 162, 91, 378]",[1503 1601  921 3770],[1516 1588  913 3778],[1512 1592  920 3771],[1507 1597  913 3778],[1516 1588  933 3758]
6,50,0.2,"[161, 149, 94, 376]","[151, 160, 100, 369]","[152, 159, 95, 374]","[160, 151, 82, 387]","[161, 150, 90, 379]","[151, 159, 98, 371]",[1569 1535  957 3734],[1567 1537  946 3745],[1580 1524  942 3749],[1593 1511  961 3730],[1601 1503  967 3724]
7,50,0.3,"[164, 146, 94, 376]","[151, 160, 105, 364]","[160, 151, 97, 372]","[158, 153, 86, 383]","[163, 148, 89, 380]","[151, 159, 101, 368]",[1586 1518  964 3727],[1586 1518  954 3737],[1592 1512  961 3730],[1603 1501  969 3722],[1620 1484  965 3726]
8,50,0.4,"[168, 142, 92, 378]","[155, 156, 108, 361]","[164, 147, 97, 372]","[159, 152, 86, 383]","[163, 148, 87, 382]","[155, 155, 102, 367]",[1602 1502  962 3729],[1579 1525  964 3727],[1603 1501  958 3733],[1610 1494  969 3722],[1633 1471  959 3732]
9,50,0.5,"[298, 12, 358, 112]","[154, 157, 107, 362]","[272, 39, 268, 201]","[299, 12, 327, 142]","[270, 41, 265, 204]","[292, 18, 345, 124]",[2601  503 2684 2007],[2699  405 2816 1875],[2490  614 2505 2186],[2681  423 2815 1876],[2704  400 2816 1875]
10,75,0.1,"[161, 149, 94, 376]","[148, 163, 99, 370]","[154, 157, 93, 376]","[157, 154, 81, 388]","[160, 151, 88, 381]","[152, 158, 97, 372]",[1554 1550  953 3738],[1553 1551  945 3746],[1559 1545  942 3749],[1566 1538  943 3748],[1568 1536  959 3732]
11,75,0.2,"[164, 146, 94, 376]","[151, 160, 105, 364]","[160, 151, 97, 372]","[158, 153, 86, 383]","[163, 148, 89, 380]","[151, 159, 101, 368]",[1585 1519  964 3727],[1586 1518  954 3737],[1593 1511  960 3731],[1603 1501  969 3722],[1621 1483  965 3726]
12,75,0.3,"[168, 142, 94, 376]","[155, 156, 108, 361]","[166, 145, 97, 372]","[160, 151, 84, 385]","[163, 148, 87, 382]","[155, 155, 102, 367]",[1602 1502  963 3728],[1583 1521  964 3727],[1604 1500  959 3732],[1610 1494  970 3721],[1628 1476  965 3726]
13,75,0.4,"[168, 142, 95, 375]","[153, 158, 108, 361]","[164, 147, 99, 370]","[158, 153, 85, 384]","[166, 145, 89, 380]","[159, 151, 101, 368]",[1608 1496  965 3726],[1595 1509  969 3722],[1600 1504  953 3738],[1612 1492  961 3730],[1630 1474  966 3725]
14,75,0.5,"[18, 292, 3, 467]","[154, 157, 106, 363]","[29, 282, 7, 462]","[9, 302, 2, 467]","[39, 272, 10, 459]","[14, 296, 3, 466]",[ 432 2672  218 4473],[ 334 2770  128 4563],[ 547 2557  265 4426],[ 368 2736  156 4535],[ 316 2788  103 4588]
