,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,"[161, 149, 108, 362]","[156, 155, 93, 376]","[175, 136, 94, 375]","[164, 147, 80, 389]","[161, 150, 94, 375]","[159, 151, 98, 371]",[1644 1460  946 3745],[1623 1481  942 3749],[1640 1464  959 3732],[1637 1467  960 3731],[1646 1458  941 3750]
1,rbf,0.1,1.0,,"[0, 310, 0, 470]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 310, 0, 469]",[   0 3104    0 4691],[   0 3104    0 4691],[   0 3104    0 4691],[   0 3104    0 4691],[   0 3104    0 4691]
2,poly,0.1,1.0,2.0,"[109, 201, 137, 333]","[106, 205, 148, 321]","[138, 173, 145, 324]","[123, 188, 131, 338]","[95, 216, 127, 342]","[117, 193, 166, 303]",[1131 1973 1418 3273],[1152 1952 1553 3138],[1171 1933 1486 3205],[1101 2003 1393 3298],[1131 1973 1362 3329]
3,poly,0.1,1.0,3.0,"[161, 149, 143, 327]","[129, 182, 141, 328]","[148, 163, 147, 322]","[152, 159, 141, 328]","[152, 159, 136, 333]","[170, 140, 150, 319]",[1570 1534 1411 3280],[1525 1579 1415 3276],[1540 1564 1440 3251],[1523 1581 1414 3277],[1539 1565 1444 3247]
4,rbf,0.1,10.0,,"[0, 310, 0, 470]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 310, 0, 469]",[   0 3104    0 4691],[   0 3104    0 4691],[   0 3104    0 4691],[   0 3104    0 4691],[   0 3104    0 4691]
5,poly,0.1,10.0,2.0,"[130, 180, 140, 330]","[98, 213, 139, 330]","[107, 204, 155, 314]","[105, 206, 133, 336]","[99, 212, 144, 325]","[112, 198, 132, 337]",[1163 1941 1416 3275],[1096 2008 1437 3254],[1247 1857 1512 3179],[1160 1944 1460 3231],[1168 1936 1472 3219]
6,poly,0.1,10.0,3.0,"[161, 149, 143, 327]","[132, 179, 144, 325]","[155, 156, 145, 324]","[164, 147, 147, 322]","[153, 158, 133, 336]","[170, 140, 150, 319]",[1566 1538 1395 3296],[1540 1564 1422 3269],[1546 1558 1432 3259],[1530 1574 1426 3265],[1545 1559 1429 3262]
7,linear,1.0,,,"[163, 147, 108, 362]","[153, 158, 95, 374]","[174, 137, 92, 377]","[165, 146, 78, 391]","[161, 150, 97, 372]","[162, 148, 96, 373]",[1649 1455  949 3742],[1624 1480  944 3747],[1637 1467  958 3733],[1640 1464  962 3729],[1647 1457  948 3743]
8,rbf,1.0,1.0,,"[0, 310, 1, 469]","[1, 310, 0, 469]","[0, 311, 0, 469]","[0, 311, 3, 466]","[1, 310, 1, 468]","[1, 309, 3, 466]",[   5 3099   16 4675],[   5 3099   13 4678],[   1 3103   14 4677],[   6 3098   13 4678],[   3 3101   14 4677]
9,poly,1.0,1.0,2.0,"[130, 180, 140, 330]","[95, 216, 148, 321]","[126, 185, 131, 338]","[123, 188, 141, 328]","[128, 183, 162, 307]","[112, 198, 132, 337]",[1202 1902 1389 3302],[1117 1987 1464 3227],[1166 1938 1503 3188],[1192 1912 1538 3153],[1148 1956 1427 3264]
