,Neighbors,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,12,50,"[156, 154, 120, 350]",0.663758819756254,0.7010317741051691,0.7693881901513536,0.733620905121782
1,12,100,"[155, 155, 117, 353]",0.6645542014111611,0.7013632530052625,0.770795139629077,0.7344414529810038
2,12,150,"[159, 151, 115, 355]",0.6641693393200769,0.7010790248093605,0.7704540609678108,0.734129563627959
3,14,50,"[157, 153, 119, 351]",0.6641436818473381,0.7007100853357919,0.7713920272862929,0.7343528594634033
4,14,100,"[154, 156, 121, 349]",0.6644259140474664,0.7006342791359786,0.7724152632700917,0.7347754541361853
5,14,150,"[158, 152, 119, 351]",0.6651699807568955,0.7011723547736204,0.7730974205926242,0.7353796850963193
6,16,50,"[153, 157, 115, 355]",0.6656061577934573,0.7010104066646935,0.7748028138989554,0.736061280536237
7,16,100,"[152, 158, 117, 353]",0.6655805003207185,0.7008430367137904,0.77518652739288,0.7361420936901252
8,16,150,"[155, 155, 115, 355]",0.6660936497754971,0.7010910193409823,0.7759965892133872,0.7366437904471088
