,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,"[167, 143, 99, 371]","[144, 167, 102, 367]","[172, 139, 89, 380]","[151, 160, 79, 390]","[161, 150, 89, 380]","[162, 148, 106, 363]",[1597 1507  932 3759],[1580 1524  937 3754],[1589 1515  927 3764],[1583 1521  919 3772],[1606 1498  937 3754]
1,rbf,0.1,1.0,,"[0, 310, 0, 470]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 310, 0, 469]",[   0 3104    0 4691],[   0 3104    0 4691],[   0 3104    0 4691],[   0 3104    0 4691],[   0 3104    0 4691]
2,poly,0.1,1.0,2.0,"[125, 185, 88, 382]","[91, 220, 99, 370]","[135, 176, 102, 367]","[157, 154, 111, 358]","[148, 163, 91, 378]","[138, 172, 114, 355]",[1325 1779  982 3709],[1231 1873  969 3722],[1104 2000  898 3793],[1153 1951  983 3708],[1172 1932  980 3711]
3,poly,0.1,1.0,3.0,"[84, 226, 101, 369]","[93, 218, 132, 337]","[108, 203, 126, 343]","[98, 213, 156, 313]","[88, 223, 134, 335]","[107, 203, 171, 298]",[1007 2097 1376 3315],[1091 2013 1338 3353],[1029 2075 1355 3336],[1022 2082 1389 3302],[1049 2055 1411 3280]
4,rbf,0.1,10.0,,"[0, 310, 0, 470]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 310, 0, 469]",[   0 3104    0 4691],[   0 3104    0 4691],[   0 3104    0 4691],[   0 3104    0 4691],[   0 3104    0 4691]
5,poly,0.1,10.0,2.0,"[83, 227, 157, 313]","[90, 221, 145, 324]","[109, 202, 148, 321]","[136, 175, 168, 301]","[63, 248, 124, 345]","[112, 198, 163, 306]",[ 953 2151 1480 3211],[1004 2100 1516 3175],[ 936 2168 1433 3258],[ 890 2214 1534 3157],[ 921 2183 1588 3103]
6,poly,0.1,10.0,3.0,"[98, 212, 130, 340]","[104, 207, 133, 336]","[123, 188, 139, 330]","[108, 203, 133, 336]","[92, 219, 121, 348]","[116, 194, 182, 287]",[1040 2064 1380 3311],[1101 2003 1430 3261],[1026 2078 1328 3363],[1039 2065 1365 3326],[1087 2017 1349 3342]
7,linear,1.0,,,"[167, 143, 100, 370]","[145, 166, 102, 367]","[173, 138, 89, 380]","[151, 160, 79, 390]","[161, 150, 92, 377]","[163, 147, 108, 361]",[1601 1503  940 3751],[1583 1521  937 3754],[1589 1515  929 3762],[1585 1519  915 3776],[1610 1494  938 3753]
8,rbf,1.0,1.0,,"[63, 247, 35, 435]","[45, 266, 39, 430]","[65, 246, 49, 420]","[94, 217, 53, 416]","[88, 223, 59, 410]","[55, 255, 42, 427]",[ 633 2471  417 4274],[ 495 2609  324 4367],[ 524 2580  359 4332],[ 475 2629  322 4369],[ 627 2477  420 4271]
9,poly,1.0,1.0,2.0,"[62, 248, 128, 342]","[100, 211, 155, 314]","[65, 246, 138, 331]","[81, 230, 204, 265]","[103, 208, 142, 327]","[93, 217, 197, 272]",[ 875 2229 1541 3150],[ 940 2164 1543 3148],[ 949 2155 1359 3332],[ 905 2199 1482 3209],[ 904 2200 1480 3211]
