,N_Estimators,Max_Depth,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,200,5,"[148, 162, 85, 385]",0.683951250801796,0.7002149373538709,0.8303133660200384,0.7597335310778375
1,200,7,"[156, 154, 94, 376]",0.6916998075689544,0.7145102741758308,0.8122361969729269,0.7602453624576878
2,200,10,"[161, 149, 100, 370]",0.6936241180243746,0.7194205285673461,0.8047751012577276,0.7597046927259496
3,300,5,"[151, 159, 87, 383]",0.684361770365619,0.7006014725820859,0.8303560008526967,0.759979216286303
4,300,7,"[161, 149, 95, 375]",0.6921872995509941,0.7148106205641859,0.8127904497974845,0.7606578543229254
5,300,10,"[162, 148, 99, 371]",0.6945221295702372,0.7198617689498397,0.8060967810701343,0.7605392898883696
6,400,5,"[150, 160, 86, 384]",0.6848492623476587,0.7009792925225381,0.8306544446813046,0.7603264261637083
7,400,7,"[160, 150, 95, 375]",0.6924695317511225,0.7150078623263345,0.8130462587934343,0.7608816327815795
8,400,10,"[161, 149, 97, 373]",0.6940346375881976,0.7194726059234814,0.8057557024088681,0.7601707393520133
9,500,5,"[150, 160, 86, 384]",0.6844644002565747,0.7009192640592382,0.8297164783628224,0.7598979704867366
10,500,7,"[160, 150, 94, 376]",0.6925978191148172,0.7151747064170313,0.8129609891281178,0.7609386073379307
11,500,10,"[158, 152, 97, 373]",0.6941372674791533,0.7195478205353838,0.8058409720741846,0.7602506259288062
