,Neighbors,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,5,"[166, 144, 118, 352]","[160, 151, 128, 341]","[162, 149, 127, 342]","[172, 139, 111, 358]","[156, 155, 118, 351]","[151, 159, 121, 348]",[1607 1497 1236 3455],[1614 1490 1236 3455],[1587 1517 1264 3427],[1604 1500 1216 3475],[1591 1513 1226 3465]
1,10,"[187, 123, 141, 329]","[180, 131, 155, 314]","[190, 121, 142, 327]","[196, 115, 122, 347]","[179, 132, 129, 340]","[180, 130, 132, 337]",[1855 1249 1413 3278],[1838 1266 1399 3292],[1820 1284 1397 3294],[1832 1272 1370 3321],[1860 1244 1418 3273]
2,12,"[185, 125, 135, 335]","[177, 134, 139, 330]","[183, 128, 122, 347]","[183, 128, 116, 353]","[182, 129, 126, 343]","[179, 131, 124, 345]",[1820 1284 1307 3384],[1804 1300 1314 3377],[1769 1335 1331 3360],[1812 1292 1331 3360],[1837 1267 1365 3326]
3,14,"[177, 133, 132, 338]","[169, 142, 141, 328]","[181, 130, 118, 351]","[186, 125, 116, 353]","[181, 130, 110, 359]","[175, 135, 124, 345]",[1787 1317 1266 3425],[1788 1316 1244 3447],[1740 1364 1298 3393],[1782 1322 1289 3402],[1801 1303 1307 3384]
4,16,"[178, 132, 134, 336]","[172, 139, 132, 337]","[182, 129, 117, 352]","[192, 119, 110, 359]","[178, 133, 103, 366]","[172, 138, 124, 345]",[1784 1320 1230 3461],[1760 1344 1239 3452],[1711 1393 1260 3431],[1737 1367 1229 3462],[1772 1332 1270 3421]
5,20,"[173, 137, 123, 347]","[166, 145, 124, 345]","[180, 131, 110, 359]","[178, 133, 114, 355]","[188, 123, 110, 359]","[174, 136, 116, 353]",[1748 1356 1183 3508],[1731 1373 1198 3493],[1696 1408 1216 3475],[1727 1377 1182 3509],[1749 1355 1208 3483]
