,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,50,"[165, 145, 98, 372]","[161, 150, 99, 370]","[183, 128, 87, 382]","[147, 164, 87, 382]","[162, 149, 95, 374]","[156, 154, 102, 367]",[1605 1499  944 3747],[1538 1566  930 3761],[1530 1574  931 3760],[1554 1550  918 3773],[1575 1529  950 3741]
1,rbf,0.1,1.0,,50,"[20, 290, 7, 463]","[5, 306, 3, 466]","[24, 287, 7, 462]","[20, 291, 6, 463]","[66, 245, 27, 442]","[20, 290, 14, 455]",[ 243 2861  112 4579],[ 247 2857  121 4570],[ 232 2872  111 4580],[ 238 2866  100 4591],[ 415 2689  187 4504]
2,poly,0.1,1.0,2.0,50,"[157, 153, 97, 373]","[155, 156, 96, 373]","[171, 140, 103, 366]","[154, 157, 91, 378]","[168, 143, 99, 370]","[161, 149, 96, 373]",[1622 1482 1010 3681],[1576 1528  966 3725],[1554 1550  950 3741],[1604 1500  989 3702],[1568 1536  969 3722]
3,poly,0.1,1.0,3.0,50,"[62, 248, 98, 372]","[66, 245, 117, 352]","[57, 254, 79, 390]","[76, 235, 123, 346]","[47, 264, 85, 384]","[77, 233, 125, 344]",[ 615 2489  921 3770],[ 605 2499  875 3816],[ 645 2459  926 3765],[ 583 2521  849 3842],[ 536 2568  724 3967]
4,rbf,0.1,10.0,,50,"[0, 310, 0, 470]","[0, 311, 0, 469]","[1, 310, 0, 469]","[4, 307, 1, 468]","[2, 309, 2, 467]","[0, 310, 0, 469]",[   7 3097    3 4688],[  24 3080   10 4681],[  35 3069   16 4675],[  11 3093    9 4682],[  36 3068   24 4667]
5,poly,0.1,10.0,2.0,50,"[71, 239, 152, 318]","[69, 242, 141, 328]","[66, 245, 127, 342]","[72, 239, 161, 308]","[52, 259, 110, 359]","[82, 228, 155, 314]",[ 663 2441 1309 3382],[ 650 2454 1134 3557],[ 655 2449 1120 3571],[ 661 2443 1211 3480],[ 575 2529 1040 3651]
6,poly,0.1,10.0,3.0,50,"[70, 240, 123, 347]","[65, 246, 127, 342]","[55, 256, 98, 371]","[76, 235, 155, 314]","[50, 261, 104, 365]","[88, 222, 152, 317]",[ 628 2476 1109 3582],[ 643 2461 1043 3648],[ 660 2444 1070 3621],[ 654 2450 1099 3592],[ 600 2504  945 3746]
7,linear,1.0,,,50,"[165, 145, 98, 372]","[160, 151, 99, 370]","[184, 127, 88, 381]","[147, 164, 88, 381]","[162, 149, 95, 374]","[156, 154, 102, 367]",[1606 1498  946 3745],[1537 1567  925 3766],[1530 1574  936 3755],[1551 1553  921 3770],[1574 1530  950 3741]
8,rbf,1.0,1.0,,50,"[135, 175, 112, 358]","[148, 163, 99, 370]","[146, 165, 82, 387]","[162, 149, 103, 366]","[161, 150, 116, 353]","[148, 162, 102, 367]",[1491 1613 1012 3679],[1480 1624  999 3692],[1473 1631 1080 3611],[1502 1602  999 3692],[1524 1580 1065 3626]
9,poly,1.0,1.0,2.0,50,"[56, 254, 102, 368]","[54, 257, 120, 349]","[45, 266, 102, 367]","[66, 245, 127, 342]","[43, 268, 77, 392]","[72, 238, 132, 337]",[ 531 2573  972 3719],[ 497 2607  837 3854],[ 552 2552  904 3787],[ 560 2544  907 3784],[ 459 2645  718 3973]
