,Neighbors,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,5,"[150, 160, 124, 346]",0.6518794098781271,0.6997143339135781,0.738435301641441,0.7185491205771107
1,10,"[179, 131, 145, 325]",0.6596536241180243,0.7248216171632607,0.7003197612449371,0.7123505796477234
2,12,"[184, 126, 137, 333]",0.6648364336112893,0.7236872312473277,0.7167341718183756,0.7201882199259939
3,14,"[181, 129, 135, 335]",0.6672995509942271,0.7231366001088367,0.7245789810274995,0.7238443682456772
4,16,"[178, 132, 138, 332]",0.6692751763951251,0.7223060005270442,0.7318269025794074,0.7270284475630494
5,20,"[170, 140, 119, 351]",0.6703271327774214,0.7188920341430661,0.7426135152419526,0.7305481869141841
