,Max_depth,N_estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,3,50,"[167, 143, 118, 352]",0.6706350224502886,0.7103637833257187,0.7643572798976764,0.7363574702771809
1,3,75,"[165, 145, 118, 352]",0.6710455420141115,0.7112421857550395,0.7632487742485611,0.736321743662842
2,3,100,"[165, 145, 118, 352]",0.670917254650417,0.7114203372855247,0.7624387124280536,0.7360404192286603
3,3,125,"[167, 143, 118, 352]",0.6709172546504168,0.7117060092024785,0.7617139202728629,0.7358549003130129
4,3,150,"[167, 143, 118, 352]",0.6707633098139832,0.7116708191104801,0.7613728416115967,0.7356763888159519
5,4,50,"[167, 143, 118, 352]",0.6703784477228993,0.7117045616566549,0.7602217011298231,0.7351529587465471
6,4,75,"[167, 143, 118, 352]",0.6704297626683771,0.7120139132384048,0.7595821786399488,0.7350207602484105
7,4,100,"[168, 142, 118, 352]",0.6704554201411161,0.7125331658502003,0.7583457684928587,0.7347182020496297
8,4,125,"[168, 142, 118, 352]",0.6701475304682489,0.7122747285438306,0.7581325943295673,0.7344816558481753
9,4,150,"[168, 142, 118, 352]",0.6701475304682489,0.7121894379753925,0.7583457684928587,0.7345374025868544
10,5,50,"[168, 142, 118, 352]",0.6701731879409878,0.7122689540540963,0.7582178639948839,0.7345181950238604
11,5,75,"[168, 142, 118, 352]",0.6698909557408597,0.7120054905272443,0.7580899594969089,0.7343174044868943
12,5,100,"[168, 142, 118, 352]",0.6697626683771649,0.7117611696355556,0.7583457684928587,0.734308351634944
13,5,125,"[168, 142, 118, 352]",0.669711353431687,0.7117728999493431,0.7581752291622256,0.7342338128930381
14,5,150,"[168, 142, 118, 352]",0.669737010904426,0.7118516501277846,0.7580473246642507,0.7342153115134542
15,6,50,"[168, 142, 118, 352]",0.6699935856318152,0.7124066898973387,0.7573651673417181,0.7341933045062403
16,6,75,"[168, 142, 118, 352]",0.6699679281590762,0.7122097754446797,0.757791515668301,0.7342862414429645
17,6,100,"[168, 142, 118, 352]",0.6700705580500321,0.712188692163465,0.7581325943295673,0.7344349581838301
18,6,125,"[168, 142, 118, 352]",0.6695574085952533,0.7117527223319008,0.757791515668301,0.7340434693549651
19,6,150,"[168, 142, 118, 352]",0.6697370109044258,0.7118992402591391,0.7579194201662759,0.7341815358683759
20,7,50,"[168, 142, 118, 352]",0.669326491340603,0.7122241030061001,0.7559582178639948,0.7334351984230547
21,7,75,"[168, 142, 118, 352]",0.6691982039769082,0.7117629462529806,0.7567682796845023,0.7335645415367914
22,7,100,"[168, 142, 118, 352]",0.6689929441949968,0.7113813921296293,0.7571519931784267,0.7335434965625872
23,7,125,"[168, 142, 118, 352]",0.6688646568313021,0.7110505764929359,0.757620976337668,0.7335901290662415
24,7,150,"[168, 142, 118, 352]",0.6686850545221296,0.7107497843242616,0.7578767853336176,0.7335495776052965
