,Max_depth,N_estimators,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
19,3,"[50, 100, 150]",100,"[166, 144, 118, 352]","[153, 158, 99, 370]","[174, 137, 121, 348]","[154, 157, 97, 372]","[171, 140, 100, 369]","[160, 150, 108, 361]",[1646 1458 1110 3581],[1632 1472 1063 3628],[1647 1457 1104 3587],[1645 1459 1112 3579],[1657 1447 1127 3564]
20,3,"[50, 100, 150]",150,"[166, 144, 118, 352]","[153, 158, 99, 370]","[174, 137, 121, 348]","[154, 157, 97, 372]","[170, 141, 100, 369]","[160, 150, 107, 362]",[1645 1459 1109 3582],[1630 1474 1064 3627],[1644 1460 1101 3590],[1650 1454 1110 3581],[1654 1450 1125 3566]
21,3,"[50, 100, 150]",50,"[165, 145, 118, 352]","[155, 156, 98, 371]","[174, 137, 121, 348]","[152, 159, 95, 374]","[174, 137, 102, 367]","[162, 148, 107, 362]",[1650 1454 1105 3586],[1634 1470 1066 3625],[1654 1450 1119 3572],[1656 1448 1115 3576],[1659 1445 1138 3553]
22,3,"[50, 100, 150]",100,"[165, 145, 118, 352]","[156, 155, 98, 371]","[174, 137, 121, 348]","[152, 159, 95, 374]","[174, 137, 102, 367]","[164, 146, 108, 361]",[1653 1451 1113 3578],[1632 1472 1066 3625],[1653 1451 1114 3577],[1657 1447 1115 3576],[1658 1446 1136 3555]
23,3,"[50, 100, 150]",150,"[165, 145, 118, 352]","[156, 155, 98, 371]","[174, 137, 121, 348]","[152, 159, 95, 374]","[174, 137, 103, 366]","[164, 146, 108, 361]",[1653 1451 1114 3577],[1633 1471 1066 3625],[1652 1452 1114 3577],[1661 1443 1121 3570],[1657 1447 1137 3554]
24,3,"[50, 100, 150]",50,"[165, 145, 118, 352]","[156, 155, 98, 371]","[174, 137, 121, 348]","[152, 159, 95, 374]","[176, 135, 102, 367]","[163, 147, 108, 361]",[1652 1452 1113 3578],[1641 1463 1069 3622],[1651 1453 1118 3573],[1670 1434 1127 3564],[1655 1449 1142 3549]
25,3,"[50, 100, 150]",100,"[165, 145, 118, 352]","[156, 155, 98, 371]","[174, 137, 124, 345]","[152, 159, 95, 374]","[176, 135, 102, 367]","[164, 146, 108, 361]",[1654 1450 1117 3574],[1645 1459 1065 3626],[1650 1454 1119 3572],[1673 1431 1131 3560],[1658 1446 1140 3551]
26,3,"[50, 100, 150]",150,"[165, 145, 118, 352]","[156, 155, 98, 371]","[174, 137, 124, 345]","[152, 159, 95, 374]","[176, 135, 102, 367]","[164, 146, 108, 361]",[1654 1450 1118 3573],[1644 1460 1068 3623],[1650 1454 1120 3571],[1670 1434 1131 3560],[1657 1447 1144 3547]
27,4,"[50, 100, 150]",50,"[167, 143, 118, 352]","[153, 158, 100, 369]","[174, 137, 121, 348]","[152, 159, 96, 373]","[173, 138, 103, 366]","[162, 148, 108, 361]",[1648 1456 1116 3575],[1642 1462 1073 3618],[1650 1454 1118 3573],[1666 1438 1130 3561],[1673 1431 1164 3527]
28,4,"[50, 100, 150]",100,"[167, 143, 118, 352]","[155, 156, 99, 370]","[174, 137, 121, 348]","[156, 155, 99, 370]","[171, 140, 102, 367]","[162, 148, 108, 361]",[1654 1450 1118 3573],[1644 1460 1073 3618],[1650 1454 1118 3573],[1666 1438 1131 3560],[1670 1434 1155 3536]
29,4,"[50, 100, 150]",150,"[167, 143, 118, 352]","[156, 155, 102, 367]","[174, 137, 121, 348]","[152, 159, 96, 373]","[171, 140, 102, 367]","[162, 148, 108, 361]",[1651 1453 1119 3572],[1643 1461 1074 3617],[1653 1451 1123 3568],[1660 1444 1130 3561],[1661 1443 1151 3540]
30,4,"[50, 100, 150]",50,"[168, 142, 118, 352]","[157, 154, 104, 365]","[174, 137, 121, 348]","[152, 159, 96, 373]","[175, 136, 103, 366]","[161, 149, 106, 363]",[1656 1448 1121 3570],[1650 1454 1080 3611],[1650 1454 1119 3572],[1675 1429 1140 3551],[1661 1443 1153 3538]
31,4,"[50, 100, 150]",100,"[166, 144, 118, 352]","[157, 154, 105, 364]","[176, 135, 125, 344]","[154, 157, 97, 372]","[175, 136, 103, 366]","[163, 147, 108, 361]",[1663 1441 1135 3556],[1651 1453 1081 3610],[1652 1452 1124 3567],[1674 1430 1139 3552],[1664 1440 1157 3534]
32,4,"[50, 100, 150]",150,"[166, 144, 118, 352]","[157, 154, 105, 364]","[176, 135, 125, 344]","[154, 157, 97, 372]","[174, 137, 102, 367]","[163, 147, 108, 361]",[1663 1441 1137 3554],[1651 1453 1080 3611],[1653 1451 1127 3564],[1676 1428 1139 3552],[1663 1441 1156 3535]
33,4,"[50, 100, 150]",50,"[166, 144, 118, 352]","[157, 154, 105, 364]","[176, 135, 125, 344]","[152, 159, 96, 373]","[177, 134, 104, 365]","[161, 149, 106, 363]",[1662 1442 1131 3560],[1650 1454 1082 3609],[1654 1450 1122 3569],[1679 1425 1143 3548],[1661 1443 1163 3528]
34,4,"[50, 100, 150]",100,"[166, 144, 118, 352]","[157, 154, 105, 364]","[176, 135, 125, 344]","[154, 157, 97, 372]","[176, 135, 103, 366]","[163, 147, 108, 361]",[1666 1438 1140 3551],[1650 1454 1079 3612],[1655 1449 1127 3564],[1682 1422 1143 3548],[1661 1443 1166 3525]
35,4,"[50, 100, 150]",150,"[166, 144, 118, 352]","[157, 154, 105, 364]","[176, 135, 125, 344]","[154, 157, 97, 372]","[175, 136, 102, 367]","[162, 148, 108, 361]",[1664 1440 1140 3551],[1650 1454 1081 3610],[1653 1451 1127 3564],[1680 1424 1142 3549],[1663 1441 1165 3526]
