,Max_depth,N_estimators,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
19,3,"[50, 100, 150]",100,"[162, 148, 102, 368]","[142, 169, 87, 382]","[163, 148, 91, 378]","[148, 163, 76, 393]","[165, 146, 98, 371]","[156, 154, 92, 377]",[1579 1525  943 3748],[1563 1541  924 3767],[1585 1519  925 3766],[1588 1516  938 3753],[1588 1516  923 3768]
20,3,"[50, 100, 150]",150,"[162, 148, 101, 369]","[142, 169, 88, 381]","[163, 148, 91, 378]","[148, 163, 76, 393]","[165, 146, 97, 372]","[157, 153, 95, 374]",[1580 1524  943 3748],[1562 1542  921 3770],[1584 1520  926 3765],[1594 1510  942 3749],[1590 1514  926 3765]
21,3,"[50, 100, 150]",50,"[166, 144, 104, 366]","[156, 155, 90, 379]","[176, 135, 97, 372]","[159, 152, 82, 387]","[167, 144, 97, 372]","[163, 147, 100, 369]",[1645 1459  977 3714],[1633 1471  972 3719],[1633 1471  977 3714],[1645 1459  979 3712],[1650 1454  988 3703]
22,3,"[50, 100, 150]",100,"[167, 143, 104, 366]","[157, 154, 91, 378]","[174, 137, 96, 373]","[158, 153, 85, 384]","[168, 143, 97, 372]","[162, 148, 98, 371]",[1647 1457  979 3712],[1628 1476  975 3716],[1640 1464  990 3701],[1640 1464  979 3712],[1647 1457  989 3702]
23,3,"[50, 100, 150]",150,"[169, 141, 104, 366]","[156, 155, 91, 378]","[176, 135, 94, 375]","[157, 154, 84, 385]","[167, 144, 97, 372]","[163, 147, 100, 369]",[1653 1451  979 3712],[1627 1477  972 3719],[1641 1463  984 3707],[1645 1459  981 3710],[1644 1460  985 3706]
24,3,"[50, 100, 150]",50,"[166, 144, 104, 366]","[159, 152, 90, 379]","[178, 133, 99, 370]","[165, 146, 88, 381]","[171, 140, 106, 363]","[167, 143, 101, 368]",[1667 1437  999 3692],[1652 1452  998 3693],[1655 1449 1006 3685],[1673 1431 1000 3691],[1659 1445  999 3692]
25,3,"[50, 100, 150]",100,"[167, 143, 104, 366]","[159, 152, 90, 379]","[178, 133, 99, 370]","[165, 146, 89, 380]","[171, 140, 104, 365]","[165, 145, 100, 369]",[1669 1435  998 3693],[1649 1455  994 3697],[1657 1447 1001 3690],[1665 1439 1000 3691],[1665 1439  997 3694]
26,3,"[50, 100, 150]",150,"[167, 143, 104, 366]","[157, 154, 90, 379]","[177, 134, 97, 372]","[170, 141, 91, 378]","[169, 142, 103, 366]","[165, 145, 100, 369]",[1670 1434  997 3694],[1646 1458  986 3705],[1658 1446 1001 3690],[1672 1432 1003 3688],[1660 1444  999 3692]
27,4,"[50, 100, 150]",50,"[165, 145, 104, 366]","[149, 162, 87, 382]","[171, 140, 94, 375]","[160, 151, 78, 391]","[167, 144, 98, 371]","[160, 150, 103, 366]",[1630 1474  974 3717],[1613 1491  965 3726],[1624 1480  973 3718],[1635 1469  987 3704],[1640 1464  979 3712]
28,4,"[50, 100, 150]",100,"[165, 145, 103, 367]","[148, 163, 88, 381]","[171, 140, 94, 375]","[155, 156, 77, 392]","[170, 141, 98, 371]","[160, 150, 105, 364]",[1624 1480  975 3716],[1618 1486  979 3712],[1640 1464  976 3715],[1637 1467  980 3711],[1645 1459  972 3719]
29,4,"[50, 100, 150]",150,"[165, 145, 102, 368]","[148, 163, 92, 377]","[172, 139, 95, 374]","[155, 156, 76, 393]","[169, 142, 98, 371]","[160, 150, 105, 364]",[1626 1478  979 3712],[1615 1489  977 3714],[1639 1465  977 3714],[1637 1467  983 3708],[1636 1468  965 3726]
30,4,"[50, 100, 150]",50,"[165, 145, 103, 367]","[156, 155, 91, 378]","[178, 133, 99, 370]","[169, 142, 91, 378]","[173, 138, 99, 370]","[165, 145, 102, 367]",[1671 1433 1000 3691],[1650 1454 1001 3690],[1649 1455  991 3700],[1660 1444  989 3702],[1657 1447 1001 3690]
31,4,"[50, 100, 150]",100,"[166, 144, 103, 367]","[156, 155, 90, 379]","[177, 134, 99, 370]","[168, 143, 90, 379]","[172, 139, 101, 368]","[162, 148, 103, 366]",[1666 1438  994 3697],[1646 1458 1009 3682],[1661 1443  994 3697],[1660 1444  984 3707],[1660 1444  999 3692]
32,4,"[50, 100, 150]",150,"[166, 144, 104, 366]","[157, 154, 91, 378]","[176, 135, 97, 372]","[169, 142, 89, 380]","[169, 142, 101, 368]","[163, 147, 104, 365]",[1669 1435  996 3695],[1642 1462 1005 3686],[1661 1443 1002 3689],[1666 1438  990 3701],[1658 1446 1004 3687]
33,4,"[50, 100, 150]",50,"[167, 143, 105, 365]","[158, 153, 91, 378]","[180, 131, 101, 368]","[168, 143, 90, 379]","[173, 138, 102, 367]","[165, 145, 100, 369]",[1679 1425 1002 3689],[1650 1454 1012 3679],[1656 1448 1007 3684],[1667 1437  996 3695],[1665 1439 1009 3682]
34,4,"[50, 100, 150]",100,"[167, 143, 108, 362]","[157, 154, 91, 378]","[176, 135, 101, 368]","[168, 143, 92, 377]","[173, 138, 103, 366]","[162, 148, 101, 368]",[1677 1427 1013 3678],[1648 1456 1011 3680],[1661 1443 1010 3681],[1668 1436 1000 3691],[1665 1439 1012 3679]
35,4,"[50, 100, 150]",150,"[168, 142, 107, 363]","[158, 153, 91, 378]","[176, 135, 101, 368]","[168, 143, 89, 380]","[170, 141, 103, 366]","[163, 147, 103, 366]",[1677 1427 1014 3677],[1647 1457 1008 3683],[1657 1447 1007 3684],[1682 1422 1011 3680],[1660 1444  999 3692]
