,Neighbors,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,5,"[159, 151, 119, 351]","[158, 153, 122, 347]","[164, 147, 101, 368]","[173, 138, 122, 347]","[164, 147, 115, 354]","[166, 144, 126, 343]",[1614 1490 1187 3504],[1609 1495 1251 3440],[1620 1484 1252 3439],[1598 1506 1214 3477],[1615 1489 1270 3421]
1,10,"[177, 133, 136, 334]","[179, 132, 146, 323]","[197, 114, 128, 341]","[186, 125, 140, 329]","[205, 106, 148, 321]","[192, 118, 148, 321]",[1881 1223 1411 3280],[1833 1271 1412 3279],[1828 1276 1406 3285],[1854 1250 1434 3257],[1887 1217 1509 3182]
2,12,"[179, 131, 137, 333]","[176, 135, 135, 334]","[190, 121, 125, 344]","[186, 125, 133, 336]","[193, 118, 145, 324]","[188, 122, 143, 326]",[1851 1253 1366 3325],[1807 1297 1346 3345],[1820 1284 1366 3325],[1819 1285 1354 3337],[1842 1262 1461 3230]
3,14,"[173, 137, 134, 336]","[181, 130, 127, 342]","[189, 122, 121, 348]","[187, 124, 132, 337]","[198, 113, 147, 322]","[181, 129, 139, 330]",[1839 1265 1341 3350],[1802 1302 1331 3360],[1775 1329 1332 3359],[1790 1314 1310 3381],[1833 1271 1416 3275]
4,16,"[165, 145, 127, 343]","[178, 133, 122, 347]","[186, 125, 117, 352]","[181, 130, 114, 355]","[194, 117, 141, 328]","[180, 130, 133, 336]",[1797 1307 1282 3409],[1756 1348 1289 3402],[1769 1335 1302 3389],[1766 1338 1232 3459],[1797 1307 1343 3348]
5,20,"[166, 144, 130, 340]","[171, 140, 120, 349]","[185, 126, 115, 354]","[171, 140, 115, 354]","[191, 120, 132, 337]","[182, 128, 120, 349]",[1785 1319 1242 3449],[1726 1378 1248 3443],[1703 1401 1241 3450],[1759 1345 1201 3490],[1780 1324 1321 3370]
