,Kernel,C,Gamma,Degree,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,100.0,,,50,0.5,"[165, 145, 102, 368]",0.688338678640154,0.7169120561561076,0.7967171178853123,0.7547102449405244
1,linear,1000.0,,,50,0.5,"[166, 144, 103, 367]",0.6885439384220655,0.7177330023964568,0.7951822639096141,0.754474808814983
