,Neighbors,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,12,50,"[171, 139, 124, 346]",0.6697626683771649,0.7106382257099672,0.7612023022809635,0.7350490517692476
1,12,100,"[170, 140, 117, 353]",0.670506735086594,0.7110387962869158,0.7622681730974207,0.7357598658907598
2,12,150,"[167, 143, 115, 355]",0.6704041051956382,0.7111783503016937,0.7616286506075463,0.7355366739926958
3,14,50,"[168, 142, 120, 350]",0.671635663887107,0.7120661038049526,0.7628224259219782,0.7365691885811371
4,14,100,"[166, 144, 115, 355]",0.672097498396408,0.7125754857015829,0.7628224259219782,0.7368397905033065
5,14,150,"[167, 143, 116, 354]",0.6724310455420143,0.7126418562807617,0.7635898529098274,0.737234487559459
6,16,50,"[168, 142, 119, 351]",0.6734830019243104,0.7137704260770227,0.7636751225751439,0.7378791309902655
7,16,100,"[167, 143, 117, 353]",0.6729698524695318,0.7134900388212859,0.7629503304199531,0.7373903765656544
8,16,150,"[164, 146, 113, 357]",0.673277742142399,0.7133386490783684,0.7641867405670432,0.7378857779800657
