,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
19,poly,10.0,10.0,2.0,"[178, 132, 144, 326]","[299, 12, 457, 12]","[1, 310, 1, 468]","[7, 304, 6, 463]","[35, 276, 110, 359]","[34, 276, 26, 443]",[ 841 2263 1132 3559],[ 470 2634  765 3926],[1619 1485 2363 2328],[ 836 2268 1357 3334],[ 593 2511 1145 3546]
20,poly,10.0,10.0,3.0,"[4, 306, 6, 464]","[304, 7, 466, 3]","[1, 310, 3, 466]","[7, 304, 6, 463]","[306, 5, 463, 6]","[48, 262, 46, 423]",[1136 1968 1628 3063],[ 959 2145 1462 3229],[1244 1860 1888 2803],[ 698 2406 1017 3674],[ 383 2721  535 4156]
21,linear,100.0,,,"[155, 155, 109, 361]","[147, 164, 101, 368]","[160, 151, 114, 355]","[151, 160, 93, 376]","[160, 151, 99, 370]","[155, 155, 108, 361]",[1568 1536 1078 3613],[1562 1542 1040 3651],[1444 1660  927 3764],[1494 1610 1010 3681],[1479 1625 1012 3679]
22,rbf,100.0,1.0,,"[168, 142, 118, 352]","[151, 160, 113, 356]","[173, 138, 123, 346]","[151, 160, 96, 373]","[156, 155, 101, 368]","[154, 156, 107, 362]",[1626 1478 1143 3548],[1624 1480 1116 3575],[1640 1464 1126 3565],[1655 1449 1154 3537],[1634 1470 1188 3503]
23,poly,100.0,1.0,2.0,"[29, 281, 23, 447]","[299, 12, 457, 12]","[25, 286, 68, 401]","[16, 295, 16, 453]","[15, 296, 15, 454]","[31, 279, 58, 411]",[1012 2092 1493 3198],[1315 1789 1928 2763],[1068 2036 1417 3274],[1569 1535 2124 2567],[ 339 2765  352 4339]
24,poly,100.0,1.0,3.0,"[3, 307, 2, 468]","[20, 291, 20, 449]","[0, 311, 3, 466]","[306, 5, 465, 4]","[298, 13, 456, 13]","[17, 293, 26, 443]",[ 965 2139 1456 3235],[1392 1712 2025 2666],[1871 1233 2801 1890],[ 128 2976  174 4517],[1062 2042 1583 3108]
25,rbf,100.0,10.0,,"[167, 143, 118, 352]","[143, 168, 103, 366]","[173, 138, 123, 346]","[150, 161, 95, 374]","[145, 166, 87, 382]","[140, 170, 100, 369]",[1585 1519 1110 3581],[1552 1552 1057 3634],[1611 1493 1104 3587],[1615 1489 1125 3566],[1600 1504 1164 3527]
26,poly,100.0,10.0,2.0,"[5, 305, 6, 464]","[7, 304, 6, 463]","[27, 284, 73, 396]","[6, 305, 5, 464]","[21, 290, 23, 446]","[14, 296, 20, 449]",[ 514 2590  845 3846],[ 122 2982  153 4538],[ 721 2383 1007 3684],[1501 1603 2325 2366],[ 304 2800  554 4137]
27,poly,100.0,10.0,3.0,"[13, 297, 11, 459]","[304, 7, 466, 3]","[0, 311, 3, 466]","[6, 305, 4, 465]","[304, 7, 461, 8]","[39, 271, 52, 417]",[1290 1814 1942 2749],[1263 1841 1885 2806],[1550 1554 2341 2350],[ 940 2164 1441 3250],[ 725 2379 1071 3620]
28,linear,1000.0,,,"[168, 142, 120, 350]","[149, 162, 111, 358]","[70, 241, 44, 425]","[65, 246, 41, 428]","[224, 87, 196, 273]","[98, 212, 65, 404]",[1272 1832  966 3725],[1289 1815  902 3789],[1751 1353 1424 3267],[1571 1533 1315 3376],[1631 1473 1299 3392]
29,rbf,1000.0,1.0,,"[168, 142, 118, 352]","[151, 160, 113, 356]","[173, 138, 123, 346]","[151, 160, 96, 373]","[156, 155, 101, 368]","[154, 156, 107, 362]",[1626 1478 1143 3548],[1624 1480 1116 3575],[1640 1464 1126 3565],[1655 1449 1154 3537],[1634 1470 1188 3503]
30,poly,1000.0,1.0,2.0,"[155, 155, 123, 347]","[299, 12, 457, 12]","[1, 310, 8, 461]","[301, 10, 458, 11]","[30, 281, 43, 426]","[44, 266, 109, 360]",[1227 1877 1824 2867],[ 771 2333 1251 3440],[ 988 2116 1493 3198],[1322 1782 2119 2572],[1333 1771 2162 2529]
31,poly,1000.0,1.0,3.0,"[2, 308, 2, 468]","[5, 306, 5, 464]","[1, 310, 2, 467]","[4, 307, 2, 467]","[5, 306, 6, 463]","[40, 270, 44, 425]",[ 373 2731  533 4158],[1551 1553 2329 2362],[1267 1837 1890 2801],[ 973 2131 1449 3242],[ 380 2724  532 4159]
32,rbf,1000.0,10.0,,"[167, 143, 118, 352]","[143, 168, 103, 366]","[173, 138, 123, 346]","[150, 161, 95, 374]","[145, 166, 87, 382]","[140, 170, 100, 369]",[1585 1519 1110 3581],[1552 1552 1057 3634],[1611 1493 1104 3587],[1615 1489 1125 3566],[1600 1504 1164 3527]
33,poly,1000.0,10.0,2.0,"[3, 307, 3, 467]","[8, 303, 5, 464]","[310, 1, 466, 3]","[8, 303, 6, 463]","[21, 290, 23, 446]","[19, 291, 29, 440]",[ 767 2337 1208 3483],[ 723 2381 1123 3568],[ 991 2113 1461 3230],[1359 1745 2341 2350],[ 967 2137 1467 3224]
34,poly,1000.0,10.0,3.0,"[1, 309, 0, 470]","[304, 7, 466, 3]","[0, 311, 0, 469]","[2, 309, 1, 468]","[9, 302, 6, 463]","[295, 15, 434, 35]",[ 916 2188 1370 3321],[ 656 2448  966 3725],[ 907 2197 1401 3290],[ 360 2744  520 4171],[ 954 2150 1428 3263]
