,Estimators,Learning Rate,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,25,0.1,"[124, 186, 71, 399]","[122, 189, 76, 393]","[135, 176, 79, 390]","[131, 180, 61, 408]","[130, 181, 63, 406]","[123, 187, 76, 393]",[1289 1815  764 3927],[1261 1843  743 3948],[1283 1821  749 3942],[1257 1847  766 3925],[1270 1834  753 3938]
1,25,0.2,"[151, 159, 91, 379]","[146, 165, 91, 378]","[152, 159, 92, 377]","[148, 163, 73, 396]","[152, 159, 87, 382]","[147, 163, 92, 377]",[1505 1599  927 3764],[1486 1618  912 3779],[1493 1611  900 3791],[1480 1624  896 3795],[1505 1599  899 3792]
2,25,0.3,"[157, 153, 96, 374]","[150, 161, 94, 375]","[154, 157, 96, 373]","[155, 156, 75, 394]","[155, 156, 90, 379]","[156, 154, 99, 370]",[1560 1544  961 3730],[1518 1586  942 3749],[1540 1564  924 3767],[1543 1561  935 3756],[1560 1544  934 3757]
3,25,0.4,"[164, 146, 95, 375]","[150, 161, 96, 373]","[158, 153, 97, 372]","[156, 155, 77, 392]","[159, 152, 92, 377]","[157, 153, 100, 369]",[1582 1522  960 3731],[1559 1545  955 3736],[1550 1554  940 3751],[1567 1537  941 3750],[1578 1526  945 3746]
4,25,0.5,"[163, 147, 100, 370]","[148, 163, 99, 370]","[161, 150, 100, 369]","[158, 153, 77, 392]","[158, 153, 91, 378]","[160, 150, 102, 367]",[1585 1519  971 3720],[1583 1521  963 3728],[1558 1546  944 3747],[1586 1518  954 3737],[1595 1509  957 3734]
5,50,0.1,"[151, 159, 90, 380]","[145, 166, 91, 378]","[152, 159, 92, 377]","[148, 163, 72, 397]","[152, 159, 87, 382]","[146, 164, 92, 377]",[1500 1604  925 3766],[1485 1619  910 3781],[1490 1614  899 3792],[1478 1626  892 3799],[1501 1603  897 3794]
6,50,0.2,"[163, 147, 95, 375]","[150, 161, 96, 373]","[158, 153, 97, 372]","[156, 155, 77, 392]","[159, 152, 92, 377]","[157, 153, 100, 369]",[1579 1525  960 3731],[1557 1547  952 3739],[1550 1554  940 3751],[1567 1537  940 3751],[1577 1527  942 3749]
7,50,0.3,"[163, 147, 99, 371]","[147, 164, 102, 367]","[161, 150, 99, 370]","[161, 150, 77, 392]","[161, 150, 92, 377]","[160, 150, 103, 366]",[1590 1514  973 3718],[1586 1518  971 3720],[1566 1538  948 3743],[1591 1513  948 3743],[1600 1504  961 3730]
8,50,0.4,"[164, 146, 101, 369]","[147, 164, 99, 370]","[166, 145, 99, 370]","[160, 151, 82, 387]","[162, 149, 93, 376]","[160, 150, 104, 365]",[1599 1505  975 3716],[1589 1515  975 3716],[1573 1531  951 3740],[1599 1505  953 3738],[1617 1487  964 3727]
9,50,0.5,"[165, 145, 101, 369]","[146, 165, 98, 371]","[165, 146, 99, 370]","[159, 152, 84, 385]","[163, 148, 94, 375]","[163, 147, 105, 364]",[1601 1503  983 3708],[1588 1516  974 3717],[1574 1530  957 3734],[1598 1506  953 3738],[1616 1488  969 3722]
10,75,0.1,"[156, 154, 95, 375]","[147, 164, 94, 375]","[154, 157, 96, 373]","[155, 156, 75, 394]","[155, 156, 90, 379]","[156, 154, 98, 371]",[1554 1550  959 3732],[1513 1591  940 3751],[1539 1565  923 3768],[1539 1565  932 3759],[1555 1549  931 3760]
11,75,0.2,"[164, 146, 99, 371]","[147, 164, 102, 367]","[161, 150, 99, 370]","[161, 150, 77, 392]","[160, 151, 92, 377]","[160, 150, 103, 366]",[1590 1514  974 3717],[1586 1518  971 3720],[1566 1538  948 3743],[1591 1513  947 3744],[1600 1504  961 3730]
12,75,0.3,"[164, 146, 101, 369]","[147, 164, 99, 370]","[166, 145, 99, 370]","[158, 153, 82, 387]","[164, 147, 93, 376]","[162, 148, 105, 364]",[1600 1504  980 3711],[1590 1514  974 3717],[1572 1532  954 3737],[1598 1506  952 3739],[1618 1486  969 3722]
13,75,0.4,"[166, 144, 101, 369]","[147, 164, 98, 371]","[169, 142, 100, 369]","[160, 151, 86, 383]","[165, 146, 95, 374]","[163, 147, 104, 365]",[1614 1490  988 3703],[1593 1511  979 3712],[1572 1532  962 3729],[1599 1505  951 3740],[1615 1489  974 3717]
14,75,0.5,"[166, 144, 100, 370]","[148, 163, 99, 370]","[170, 141, 98, 371]","[159, 152, 83, 386]","[167, 144, 93, 376]","[162, 148, 104, 365]",[1614 1490  979 3712],[1595 1509  976 3715],[1575 1529  959 3732],[1597 1507  942 3749],[1615 1489  957 3734]
