,Neighbors,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,5,"[154, 156, 126, 344]","[154, 157, 127, 342]","[160, 151, 130, 339]","[177, 134, 116, 353]","[150, 161, 105, 364]","[164, 146, 122, 347]",[1607 1497 1259 3432],[1548 1556 1201 3490],[1579 1525 1242 3449],[1595 1509 1233 3458],[1574 1530 1231 3460]
1,10,"[179, 131, 151, 319]","[172, 139, 143, 326]","[185, 126, 146, 323]","[200, 111, 136, 333]","[173, 138, 131, 338]","[189, 121, 129, 340]",[1849 1255 1441 3250],[1815 1289 1391 3300],[1805 1299 1392 3299],[1803 1301 1410 3281],[1850 1254 1432 3259]
2,12,"[179, 131, 135, 335]","[170, 141, 133, 336]","[182, 129, 135, 334]","[199, 112, 131, 338]","[176, 135, 123, 346]","[183, 127, 132, 337]",[1828 1276 1348 3343],[1789 1315 1356 3335],[1759 1345 1348 3343],[1780 1324 1334 3357],[1816 1288 1363 3328]
3,14,"[170, 140, 135, 335]","[164, 147, 124, 345]","[183, 128, 123, 346]","[193, 118, 128, 341]","[177, 134, 119, 350]","[175, 135, 124, 345]",[1788 1316 1278 3413],[1747 1357 1286 3405],[1758 1346 1301 3390],[1725 1379 1308 3383],[1793 1311 1317 3374]
4,16,"[175, 135, 134, 336]","[170, 141, 121, 348]","[187, 124, 119, 350]","[187, 124, 117, 352]","[172, 139, 118, 351]","[166, 144, 126, 343]",[1758 1346 1244 3447],[1715 1389 1255 3436],[1726 1378 1274 3417],[1703 1401 1269 3422],[1769 1335 1278 3413]
5,20,"[170, 140, 129, 341]","[163, 148, 117, 352]","[183, 128, 106, 363]","[179, 132, 117, 352]","[181, 130, 109, 360]","[175, 135, 125, 344]",[1746 1358 1205 3486],[1675 1429 1206 3485],[1678 1426 1214 3477],[1678 1426 1195 3496],[1727 1377 1206 3485]
