,Alpha,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,0.0001,"[155, 155, 110, 360]",0.6600128287363695,0.6950159907273872,0.7756128757194628,0.7329705171950389
1,0.0005,"[175, 135, 144, 326]",0.6634765875561257,0.7026579476732602,0.7643146450650181,0.7321353195845289
2,0.0008,"[176, 134, 142, 328]",0.6635022450288647,0.6991989683135394,0.7739074824131316,0.7345860174849752
3,0.001,"[144, 166, 99, 371]",0.6646568313021167,0.698897229017985,0.77791515668301,0.7362798233145734
4,0.002,"[144, 166, 99, 371]",0.66529826812059,0.6963245771339451,0.7871242805371989,0.7389253112038835
5,0.003,"[146, 164, 99, 371]",0.6657601026298909,0.6965126464704364,0.7879769771903646,0.7393903992409114
6,0.004,"[158, 152, 109, 361]",0.66578576010263,0.6955795203296111,0.7907908761458111,0.7400977538438674
7,0.005,"[158, 152, 109, 361]",0.6647338037203335,0.6924539670792674,0.7969302920486037,0.7409905712980578
8,0.01,"[75, 235, 50, 420]",0.656651699807569,0.6697237665493897,0.8478789170752504,0.7482514055433248
