,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,100,"[195, 115, 139, 331]","[183, 128, 127, 342]","[207, 104, 130, 339]","[205, 106, 126, 343]","[200, 111, 137, 332]","[193, 117, 141, 328]",[1956 1148 1361 3330],[1969 1135 1365 3326],[1955 1149 1344 3347],[1968 1136 1362 3329],[1980 1124 1367 3324]
1,200,"[195, 115, 139, 331]","[182, 129, 128, 341]","[208, 103, 131, 338]","[205, 106, 126, 343]","[200, 111, 137, 332]","[192, 118, 142, 327]",[1955 1149 1365 3326],[1967 1137 1364 3327],[1955 1149 1346 3345],[1967 1137 1367 3324],[1982 1122 1363 3328]
2,300,"[195, 115, 139, 331]","[182, 129, 128, 341]","[208, 103, 131, 338]","[205, 106, 126, 343]","[200, 111, 137, 332]","[192, 118, 142, 327]",[1957 1147 1366 3325],[1970 1134 1365 3326],[1957 1147 1346 3345],[1966 1138 1368 3323],[1980 1124 1366 3325]
3,400,"[195, 115, 139, 331]","[182, 129, 127, 342]","[208, 103, 131, 338]","[205, 106, 126, 343]","[200, 111, 137, 332]","[192, 118, 142, 327]",[1957 1147 1365 3326],[1970 1134 1365 3326],[1957 1147 1348 3343],[1967 1137 1367 3324],[1982 1122 1366 3325]
4,500,"[195, 115, 139, 331]","[182, 129, 127, 342]","[208, 103, 131, 338]","[205, 106, 126, 343]","[200, 111, 137, 332]","[192, 118, 141, 328]",[1957 1147 1364 3327],[1970 1134 1364 3327],[1957 1147 1347 3344],[1967 1137 1368 3323],[1980 1124 1366 3325]
5,800,"[195, 115, 139, 331]","[182, 129, 127, 342]","[208, 103, 131, 338]","[205, 106, 126, 343]","[200, 111, 137, 332]","[191, 119, 141, 328]",[1955 1149 1363 3328],[1971 1133 1366 3325],[1957 1147 1348 3343],[1968 1136 1368 3323],[1978 1126 1366 3325]
6,1000,"[195, 115, 139, 331]","[182, 129, 127, 342]","[208, 103, 131, 338]","[205, 106, 126, 343]","[200, 111, 137, 332]","[192, 118, 141, 328]",[1957 1147 1364 3327],[1971 1133 1366 3325],[1957 1147 1347 3344],[1966 1138 1369 3322],[1980 1124 1366 3325]
