,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,100,"[141, 169, 97, 373]","[172, 139, 127, 342]","[152, 159, 104, 365]","[137, 174, 82, 387]","[169, 142, 110, 359]","[171, 139, 128, 341]",[1537 1567 1074 3617],[1631 1473 1145 3546],[1611 1493 1100 3591],[1568 1536 1093 3598],[1531 1573 1083 3608]
1,200,"[141, 169, 97, 373]","[172, 139, 127, 342]","[156, 155, 107, 362]","[137, 174, 82, 387]","[169, 142, 110, 359]","[171, 139, 128, 341]",[1541 1563 1077 3614],[1631 1473 1144 3547],[1611 1493 1101 3590],[1569 1535 1093 3598],[1531 1573 1080 3611]
2,300,"[141, 169, 97, 373]","[172, 139, 127, 342]","[156, 155, 107, 362]","[137, 174, 82, 387]","[169, 142, 110, 359]","[171, 139, 128, 341]",[1541 1563 1077 3614],[1631 1473 1144 3547],[1611 1493 1101 3590],[1568 1536 1093 3598],[1531 1573 1080 3611]
3,400,"[141, 169, 97, 373]","[172, 139, 127, 342]","[156, 155, 107, 362]","[137, 174, 82, 387]","[169, 142, 110, 359]","[171, 139, 128, 341]",[1541 1563 1077 3614],[1631 1473 1144 3547],[1611 1493 1101 3590],[1572 1532 1098 3593],[1531 1573 1080 3611]
4,500,"[141, 169, 97, 373]","[172, 139, 127, 342]","[156, 155, 107, 362]","[137, 174, 82, 387]","[169, 142, 110, 359]","[171, 139, 128, 341]",[1541 1563 1077 3614],[1631 1473 1144 3547],[1611 1493 1101 3590],[1572 1532 1098 3593],[1531 1573 1079 3612]
5,800,"[141, 169, 97, 373]","[172, 139, 127, 342]","[156, 155, 107, 362]","[137, 174, 82, 387]","[169, 142, 110, 359]","[171, 139, 128, 341]",[1541 1563 1077 3614],[1631 1473 1144 3547],[1611 1493 1101 3590],[1572 1532 1098 3593],[1531 1573 1079 3612]
6,1000,"[141, 169, 97, 373]","[172, 139, 127, 342]","[156, 155, 107, 362]","[137, 174, 82, 387]","[169, 142, 110, 359]","[171, 139, 128, 341]",[1541 1563 1077 3614],[1631 1473 1143 3548],[1611 1493 1101 3590],[1572 1532 1098 3593],[1531 1573 1079 3612]
