,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,"[166, 144, 103, 367]","[155, 156, 88, 381]","[181, 130, 88, 381]","[159, 152, 83, 386]","[165, 146, 100, 369]","[155, 155, 100, 369]",[1636 1468  936 3755],[1629 1475  936 3755],[1604 1500  928 3763],[1607 1497  957 3734],[1619 1485  921 3770]
1,rbf,0.1,1.0,,"[0, 310, 0, 470]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 310, 0, 469]",[   0 3104    0 4691],[   0 3104    0 4691],[   0 3104    0 4691],[   0 3104    0 4691],[   0 3104    0 4691]
2,poly,0.1,1.0,2.0,"[91, 219, 130, 340]","[123, 188, 128, 341]","[98, 213, 121, 348]","[119, 192, 145, 324]","[116, 195, 124, 345]","[129, 181, 146, 323]",[1137 1967 1306 3385],[ 992 2112 1345 3346],[1136 1968 1457 3234],[1052 2052 1352 3339],[1030 2074 1382 3309]
3,poly,0.1,1.0,3.0,"[148, 162, 154, 316]","[129, 182, 149, 320]","[143, 168, 141, 328]","[151, 160, 158, 311]","[155, 156, 133, 336]","[169, 141, 145, 324]",[1516 1588 1455 3236],[1518 1586 1435 3256],[1520 1584 1417 3274],[1470 1634 1405 3286],[1479 1625 1400 3291]
4,rbf,0.1,10.0,,"[0, 310, 0, 470]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 310, 0, 469]",[   0 3104    0 4691],[   0 3104    0 4691],[   0 3104    0 4691],[   0 3104    0 4691],[   0 3104    0 4691]
5,poly,0.1,10.0,2.0,"[114, 196, 133, 337]","[71, 240, 139, 330]","[108, 203, 148, 321]","[87, 224, 135, 334]","[102, 209, 151, 318]","[100, 210, 155, 314]",[1030 2074 1452 3239],[1031 2073 1438 3253],[1181 1923 1477 3214],[1111 1993 1540 3151],[ 985 2119 1465 3226]
6,poly,0.1,10.0,3.0,"[140, 170, 152, 318]","[129, 182, 149, 320]","[146, 165, 133, 336]","[151, 160, 158, 311]","[150, 161, 132, 337]","[169, 141, 150, 319]",[1513 1591 1466 3225],[1502 1602 1435 3256],[1520 1584 1421 3270],[1472 1632 1411 3280],[1492 1612 1429 3262]
7,linear,1.0,,,"[167, 143, 105, 365]","[155, 156, 89, 380]","[180, 131, 89, 380]","[159, 152, 83, 386]","[166, 145, 102, 367]","[157, 153, 100, 369]",[1642 1462  945 3746],[1626 1478  940 3751],[1596 1508  928 3763],[1603 1501  958 3733],[1620 1484  925 3766]
8,rbf,1.0,1.0,,"[1, 309, 2, 468]","[2, 309, 0, 469]","[0, 311, 1, 468]","[1, 310, 3, 466]","[2, 309, 2, 467]","[1, 309, 3, 466]",[  19 3085   23 4668],[  20 3084   17 4674],[  23 3081   25 4666],[  26 3078   26 4665],[  29 3075   29 4662]
9,poly,1.0,1.0,2.0,"[94, 216, 147, 323]","[95, 216, 143, 326]","[108, 203, 148, 321]","[87, 224, 135, 334]","[123, 188, 179, 290]","[135, 175, 153, 316]",[1108 1996 1536 3155],[1109 1995 1334 3357],[1124 1980 1507 3184],[1034 2070 1517 3174],[1105 1999 1492 3199]
10,poly,1.0,1.0,3.0,"[149, 161, 149, 321]","[129, 182, 149, 320]","[143, 168, 141, 328]","[146, 165, 151, 318]","[152, 159, 132, 337]","[169, 141, 145, 324]",[1506 1598 1439 3252],[1500 1604 1444 3247],[1517 1587 1416 3275],[1457 1647 1407 3284],[1504 1600 1444 3247]
11,rbf,1.0,10.0,,"[0, 310, 1, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 2, 467]","[0, 311, 1, 468]","[1, 309, 2, 467]",[   3 3101   12 4679],[   5 3099    9 4682],[   4 3100    9 4682],[   3 3101    6 4685],[   3 3101   13 4678]
12,poly,1.0,10.0,2.0,"[90, 220, 130, 340]","[79, 232, 118, 351]","[108, 203, 148, 321]","[87, 224, 135, 334]","[102, 209, 151, 318]","[135, 175, 153, 316]",[1050 2054 1448 3243],[1040 2064 1419 3272],[1096 2008 1564 3127],[1226 1878 1477 3214],[1064 2040 1419 3272]
13,poly,1.0,10.0,3.0,"[149, 161, 159, 311]","[137, 174, 145, 324]","[146, 165, 133, 336]","[147, 164, 152, 317]","[155, 156, 138, 331]","[170, 140, 143, 326]",[1530 1574 1448 3243],[1504 1600 1430 3261],[1515 1589 1404 3287],[1464 1640 1407 3284],[1517 1587 1424 3267]
14,linear,10.0,,,"[166, 144, 104, 366]","[155, 156, 89, 380]","[181, 130, 89, 380]","[160, 151, 84, 385]","[165, 146, 102, 367]","[156, 154, 100, 369]",[1642 1462  943 3748],[1625 1479  939 3752],[1604 1500  933 3758],[1603 1501  960 3731],[1615 1489  923 3768]
15,rbf,10.0,1.0,,"[2, 308, 2, 468]","[2, 309, 0, 469]","[0, 311, 2, 467]","[1, 310, 3, 466]","[4, 307, 2, 467]","[1, 309, 3, 466]",[  23 3081   24 4667],[  21 3083   21 4670],[  23 3081   30 4661],[  28 3076   32 4659],[  30 3074   31 4660]
16,poly,10.0,1.0,2.0,"[94, 216, 147, 323]","[119, 192, 129, 340]","[104, 207, 146, 323]","[87, 224, 135, 334]","[123, 188, 179, 290]","[104, 206, 146, 323]",[1084 2020 1456 3235],[1063 2041 1443 3248],[1121 1983 1501 3190],[1103 2001 1521 3170],[1163 1941 1525 3166]
17,poly,10.0,1.0,3.0,"[152, 158, 157, 313]","[129, 182, 149, 320]","[146, 165, 133, 336]","[143, 168, 144, 325]","[153, 158, 135, 334]","[169, 141, 145, 324]",[1511 1593 1452 3239],[1523 1581 1436 3255],[1495 1609 1435 3256],[1456 1648 1406 3285],[1500 1604 1421 3270]
18,rbf,10.0,10.0,,"[0, 310, 1, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 2, 467]","[0, 311, 1, 468]","[1, 309, 2, 467]",[   3 3101   12 4679],[   5 3099    9 4682],[   4 3100    9 4682],[   3 3101    6 4685],[   3 3101   13 4678]
19,poly,10.0,10.0,2.0,"[97, 213, 143, 327]","[95, 216, 143, 326]","[108, 203, 148, 321]","[87, 224, 135, 334]","[102, 209, 151, 318]","[120, 190, 143, 326]",[1058 2046 1463 3228],[1103 2001 1404 3287],[1106 1998 1412 3279],[ 998 2106 1441 3250],[1080 2024 1475 3216]
20,poly,10.0,10.0,3.0,"[149, 161, 159, 311]","[139, 172, 146, 323]","[146, 165, 133, 336]","[149, 162, 136, 333]","[150, 161, 132, 337]","[170, 140, 143, 326]",[1530 1574 1434 3257],[1485 1619 1434 3257],[1492 1612 1410 3281],[1478 1626 1398 3293],[1491 1613 1448 3243]
21,linear,100.0,,,"[178, 132, 122, 348]","[122, 189, 72, 397]","[173, 138, 107, 362]","[166, 145, 88, 381]","[132, 179, 69, 400]","[174, 136, 111, 358]",[1639 1465 1020 3671],[1512 1592  921 3770],[1612 1492 1022 3669],[1503 1601  957 3734],[1558 1546  986 3705]
22,rbf,100.0,1.0,,"[2, 308, 2, 468]","[2, 309, 0, 469]","[0, 311, 2, 467]","[1, 310, 3, 466]","[4, 307, 2, 467]","[1, 309, 3, 466]",[  23 3081   24 4667],[  21 3083   21 4670],[  23 3081   30 4661],[  28 3076   32 4659],[  30 3074   31 4660]
23,poly,100.0,1.0,2.0,"[108, 202, 152, 318]","[85, 226, 142, 327]","[104, 207, 146, 323]","[87, 224, 135, 334]","[102, 209, 151, 318]","[109, 201, 188, 281]",[1075 2029 1445 3246],[1087 2017 1401 3290],[1135 1969 1503 3188],[1059 2045 1425 3266],[1086 2018 1427 3264]
24,poly,100.0,1.0,3.0,"[149, 161, 149, 321]","[137, 174, 145, 324]","[146, 165, 133, 336]","[143, 168, 144, 325]","[153, 158, 135, 334]","[167, 143, 143, 326]",[1518 1586 1429 3262],[1495 1609 1411 3280],[1489 1615 1421 3270],[1453 1651 1407 3284],[1485 1619 1418 3273]
