,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
19,poly,10.0,10.0,2.0,"[70, 240, 215, 255]","[41, 270, 49, 420]","[53, 258, 94, 375]","[48, 263, 133, 336]","[52, 259, 112, 357]","[83, 227, 154, 315]",[ 561 2543 1103 3588],[ 619 2485 1241 3450],[ 630 2474 1086 3605],[ 647 2457 1312 3379],[ 746 2358 1340 3351]
20,poly,10.0,10.0,3.0,"[294, 16, 459, 11]","[83, 228, 125, 344]","[64, 247, 66, 403]","[292, 19, 454, 15]","[70, 241, 70, 399]","[92, 218, 195, 274]",[1065 2039 1702 2989],[ 848 2256 1449 3242],[1132 1972 1808 2883],[ 916 2188 1611 3080],[1081 2023 1927 2764]
21,linear,100.0,,,"[164, 146, 91, 379]","[151, 160, 92, 377]","[167, 144, 94, 375]","[155, 156, 87, 382]","[166, 145, 98, 371]","[157, 153, 104, 365]",[1601 1503  942 3749],[1586 1518  945 3746],[1583 1521  944 3747],[1577 1527  940 3751],[1574 1530  944 3747]
22,rbf,100.0,1.0,,"[170, 140, 137, 333]","[151, 160, 119, 350]","[159, 152, 121, 348]","[177, 134, 118, 351]","[165, 146, 123, 346]","[153, 157, 138, 331]",[1626 1478 1271 3420],[1613 1491 1250 3441],[1640 1464 1267 3424],[1584 1520 1257 3434],[1599 1505 1263 3428]
23,poly,100.0,1.0,2.0,"[54, 256, 80, 390]","[48, 263, 54, 415]","[42, 269, 64, 405]","[60, 251, 160, 309]","[61, 250, 120, 349]","[72, 238, 127, 342]",[ 581 2523 1055 3636],[ 554 2550 1205 3486],[ 566 2538 1126 3565],[ 729 2375 1302 3389],[ 596 2508 1235 3456]
24,poly,100.0,1.0,3.0,"[54, 256, 113, 357]","[69, 242, 130, 339]","[56, 255, 133, 336]","[32, 279, 33, 436]","[27, 284, 43, 426]","[84, 226, 169, 300]",[ 517 2587  966 3725],[ 974 2130 1927 2764],[ 574 2530 1192 3499],[ 723 2381 1390 3301],[ 524 2580  917 3774]
25,rbf,100.0,10.0,,"[115, 195, 99, 371]","[114, 197, 79, 390]","[120, 191, 89, 380]","[134, 177, 84, 385]","[116, 195, 83, 386]","[91, 219, 70, 399]",[1213 1891  882 3809],[1244 1860  907 3784],[1254 1850  898 3793],[1232 1872  892 3799],[1221 1883  871 3820]
26,poly,100.0,10.0,2.0,"[73, 237, 168, 302]","[55, 256, 59, 410]","[60, 251, 66, 403]","[49, 262, 86, 383]","[51, 260, 76, 393]","[94, 216, 156, 313]",[ 632 2472 1156 3535],[ 639 2465 1239 3452],[ 624 2480 1185 3506],[ 787 2317 1502 3189],[ 601 2503 1148 3543]
27,poly,100.0,10.0,3.0,"[60, 250, 123, 347]","[76, 235, 137, 332]","[31, 280, 30, 439]","[40, 271, 113, 356]","[53, 258, 164, 305]","[74, 236, 141, 328]",[ 686 2418 1229 3462],[ 619 2485 1177 3514],[ 916 2188 1467 3224],[ 649 2455  987 3704],[ 656 2448 1286 3405]
28,linear,1000.0,,,"[145, 165, 101, 369]","[182, 129, 150, 319]","[42, 269, 13, 456]","[91, 220, 58, 411]","[210, 101, 170, 299]","[176, 134, 138, 331]",[1374 1730  981 3710],[1582 1522 1198 3493],[1307 1797 1119 3572],[1386 1718 1084 3607],[1640 1464 1406 3285]
29,rbf,1000.0,1.0,,"[170, 140, 137, 333]","[151, 160, 119, 350]","[159, 152, 121, 348]","[177, 134, 118, 351]","[165, 146, 123, 346]","[153, 157, 138, 331]",[1626 1478 1271 3420],[1613 1491 1250 3441],[1640 1464 1267 3424],[1584 1520 1257 3434],[1599 1505 1263 3428]
30,poly,1000.0,1.0,2.0,"[78, 232, 186, 284]","[50, 261, 132, 337]","[37, 274, 61, 408]","[35, 276, 104, 365]","[58, 253, 140, 329]","[126, 184, 234, 235]",[ 598 2506 1151 3540],[ 633 2471 1431 3260],[ 550 2554  923 3768],[ 549 2555 1013 3678],[ 630 2474 1123 3568]
31,poly,1000.0,1.0,3.0,"[24, 286, 56, 414]","[25, 286, 34, 435]","[26, 285, 26, 443]","[41, 270, 94, 375]","[298, 13, 456, 13]","[57, 253, 95, 374]",[ 671 2433 1149 3542],[1140 1964 1991 2700],[ 509 2595  747 3944],[ 663 2441 1203 3488],[1300 1804 2240 2451]
32,rbf,1000.0,10.0,,"[115, 195, 99, 371]","[114, 197, 79, 390]","[120, 191, 89, 380]","[134, 177, 84, 385]","[116, 195, 83, 386]","[91, 219, 70, 399]",[1213 1891  882 3809],[1244 1860  907 3784],[1254 1850  898 3793],[1232 1872  892 3799],[1221 1883  871 3820]
33,poly,1000.0,10.0,2.0,"[43, 267, 71, 399]","[45, 266, 69, 400]","[36, 275, 70, 399]","[49, 262, 86, 383]","[60, 251, 92, 377]","[75, 235, 152, 317]",[ 554 2550  963 3728],[ 515 2589  954 3737],[ 514 2590  764 3927],[ 571 2533  978 3713],[ 666 2438 1254 3437]
34,poly,1000.0,10.0,3.0,"[256, 54, 422, 48]","[292, 19, 446, 23]","[53, 258, 120, 349]","[40, 271, 44, 425]","[109, 202, 228, 241]","[64, 246, 135, 334]",[1252 1852 2027 2664],[ 965 2139 1769 2922],[ 505 2599 1039 3652],[ 959 2145 1557 3134],[ 728 2376 1390 3301]
